proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,https,130,89,https_connect_probe,2026-09-19T17:26:06Z,JP,elite,protocol,True,github_raw,25,1862,dbip,unknown,0,unknown,2026-09-19T09:59:23Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1289,fresh
42.96.16.226:80,42.96.16.226,80,http,488,72,http_fallback,2026-09-19T16:54:32Z,VN,elite,headers,False,active_scan,1,473,dbip,unknown,0,unknown,2026-09-17T07:14:16Z,unknown,unknown,,131423,Branch of Long Van System Solution JSC - Hanoi,,,unknown,unknown,100.0,473,fresh
104.36.71.248:80,104.36.71.248,80,http,609,71,http_fallback,2026-09-19T16:54:32Z,US,elite,headers,False,active_scan,1,103,dbip,unknown,0,unknown,2026-09-16T04:41:51Z,unknown,hosting,,25820,IT7 Networks Inc,Los Angeles,California,geolite2,unknown,100.0,103,fresh
83.147.217.103:1080,83.147.217.103,1080,socks5,1559,70,socks5_probe,2026-09-19T17:00:54Z,US,elite,protocol,True,api,16,40,dbip,unknown,0,unknown,2026-09-18T09:41:06Z,unknown,unknown,,214861,CloudExa-Hosting LTD,,,unknown,unknown,100.0,40,fresh
85.93.9.12:1080,85.93.9.12,1080,socks4,1657,70,socks4_probe,2026-09-19T17:26:16Z,DE,elite,protocol,True,github_raw,12,39,dbip,unknown,0,unknown,2026-09-18T08:34:49Z,unknown,unknown,,214902,PFWeb Solutions,,,unknown,unknown,100.0,39,fresh
27.124.12.186:1080,27.124.12.186,1080,socks4,1805,69,socks4_probe,2026-09-19T17:26:16Z,HK,elite,protocol,True,github_raw,13,126,dbip,unknown,0,unknown,2026-09-15T06:23:41Z,unknown,unknown,,152194,CTG Server Limited,Shatin,Sha Tin,geolite2,unknown,100.0,126,fresh
172.234.31.108:31288,172.234.31.108,31288,https,1308,67,https_connect_probe,2026-09-19T16:54:33Z,US,elite,protocol,True,github_raw,1,276,dbip,unknown,0,unknown,2026-09-16T22:41:29Z,unknown,hosting,,63949,Akamai Connected Cloud,Chicago,Illinois,geolite2,unknown,100.0,276,fresh
171.244.199.151:1337,171.244.199.151,1337,https,1776,67,https_connect_probe,2026-09-19T16:54:33Z,VN,elite,protocol,True,html_table,4,45,dbip,unknown,0,unknown,2026-09-18T04:35:24Z,unknown,unknown,,38731,CHT Compamy Ltd,,,unknown,unknown,100.0,45,fresh
95.168.164.27:1080,95.168.164.27,1080,socks5,2346,67,socks5_probe,2026-09-19T17:26:19Z,NL,elite,protocol,True,api,15,31,dbip,unknown,0,unknown,2026-09-18T17:52:00Z,unknown,hosting,,60781,LeaseWeb Netherlands B.V.,,,unknown,unknown,100.0,31,fresh
85.93.9.12:1080,85.93.9.12,1080,socks5,2349,67,socks5_probe,2026-09-19T16:54:45Z,DE,elite,protocol,True,github_raw,16,41,dbip,unknown,0,unknown,2026-09-18T08:34:49Z,unknown,unknown,,214902,PFWeb Solutions,,,unknown,unknown,100.0,41,fresh
