proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
185.190.90.2:4145,185.190.90.2,4145,socks4,2327,66,socks4_probe,2026-09-26T19:41:16Z,AL,elite,protocol,True,api,16,8,dbip,unknown,0,unknown,2026-09-20T08:51:28Z,unknown,residential,Lightnet Sh.p.k.,212637,LightNet Sh.p.k.,Durres,Durres,ip2proxy,botnet/scanner,89.806,1223,fresh
80.78.78.106:65530,80.78.78.106,65530,socks4,2705,62,socks4_fallback,2026-09-26T19:22:25Z,AL,elite,protocol,False,api,11,7,dbip,likely_residential,70,ip2proxy_lite,2026-09-25T08:13:53Z,exit,residential,Vodafone Albania Sh.A.,21183,Vodafone Albania Sh.A.,Tirana,Tirana,geolite2,scanner/spam,87.907,1747,fresh
37.26.86.206:4145,37.26.86.206,4145,socks4,2043,62,socks4_probe,2026-09-26T19:29:15Z,AL,elite,protocol,True,github_raw,12,3,dbip,unknown,0,unknown,2026-09-20T07:50:50Z,unknown,residential,Albanian Telecommunications Union SH. P.K.,198279,Albanian Telecommunications Union SH. P.K.,Tirana,Tirana,geolite2,botnet/scanner,82.098,1463,fresh
79.106.79.154:8989,79.106.79.154,8989,http,4248,55,http_probe,2026-09-26T19:34:59Z,AL,anonymous,headers,True,github_raw,9,3,dbip,unknown,0,unknown,2026-09-22T02:40:56Z,unknown,unknown,,42313,One Albania Sh.a.,Tirana,Tirana,geolite2,unknown,62.468,578,fresh
185.196.182.22:8080,185.196.182.22,8080,https,3116,57,https_connect_probe,2026-09-26T18:56:28Z,AL,elite,protocol,True,github_raw,29,0,dbip,unknown,0,unknown,2026-09-26T11:33:48Z,unknown,residential,shqiponjaisp.al LLC,206088,shqiponjaisp.al LLC,Krume,Kukës County,geolite2,botnet/scanner,57.352,2099,fresh
79.106.108.156:8079,79.106.108.156,8079,https,5776,49,https_fallback,2026-09-26T19:47:31Z,AL,elite,protocol,True,github_raw,3,1,dbip,unknown,0,unknown,2026-09-22T20:41:39Z,unknown,unknown,,42313,One Albania Sh.a.,Tepelenë,Gjirokastër County,geolite2,unknown,52.587,351,fresh
185.196.182.22:8080,185.196.182.22,8080,http,4491,52,http_probe,2026-09-26T19:09:20Z,AL,anonymous,headers,True,api,22,0,dbip,unknown,0,unknown,2026-09-26T11:33:48Z,unknown,residential,shqiponjaisp.al LLC,206088,shqiponjaisp.al LLC,Krume,Kukës County,geolite2,botnet/scanner,51.221,1576,fresh
79.106.231.17:8080,79.106.231.17,8080,https,4121,55,https_connect_probe,2026-09-26T19:47:30Z,AL,elite,protocol,True,github_raw,6,1,dbip,unknown,0,unknown,2026-09-26T14:26:40Z,unknown,wireless,One Albania Sh.A.,42313,One Albania Sh.a.,Peqin,Elbasan County,geolite2,none,41.984,1667,fresh
188.164.218.209:8080,188.164.218.209,8080,http,4850,52,http_probe,2026-09-26T19:02:55Z,AL,anonymous,headers,True,github_raw,19,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-20T21:08:18Z,exit,residential,Vodafone Al Prefix188,21183,Vodafone Albania Sh.A.,Tirana,Tirana,geolite2,none,32.718,1139,fresh
77.242.21.133:8080,77.242.21.133,8080,https,10410,46,https_connect_probe,2026-09-26T18:50:28Z,AL,elite,protocol,True,github_raw,4,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-20T02:26:06Z,exit,residential,Abissnet sh.a.,35047,Abissnet sh.a.,Tirana,Tirana,geolite2,none,13.482,1622,fresh
