proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
200.16.211.68:4153,200.16.211.68,4153,socks4,3370,64,socks4_probe,2026-09-13T08:56:07Z,AR,elite,protocol,True,api,15,11,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,unknown,,10834,Telefonica de Argentina,Buenos Aires,Buenos Aires F.D.,geolite2,unknown,96.11,1445,fresh
190.18.170.230:5678,190.18.170.230,5678,socks4,7589,56,socks4_probe,2026-09-13T09:02:50Z,AR,elite,protocol,True,github_raw,14,7,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T11:22:53Z,exit,residential,Telecom Argentina S.A.,7303,Telecom Argentina S.A.,Córdoba,Cordoba,geolite2,scanner,95.757,1291,fresh
201.234.24.89:4153,201.234.24.89,4153,socks4,2537,67,socks4_probe,2026-09-13T09:33:44Z,AR,elite,protocol,True,github_raw,13,9,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Cirion Technologies Argentina S.A.,265758,COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA,Buenos Aires,Buenos Aires F.D.,geolite2,botnet,94.546,1235,fresh
200.80.227.234:4145,200.80.227.234,4145,socks4,2445,64,socks4_probe,2026-09-13T09:02:50Z,AR,elite,protocol,True,api,13,6,dbip,unknown,0,unknown,2026-09-10T06:45:36Z,unknown,residential,Hipodromo Argentino de Palermo S.A. - Casino Club,11664,Techtel LMDS Comunicaciones Interactivas S.A.,Buenos Aires,Ciudad Autonoma de Buenos Aires,ip2proxy,botnet/scanner/spam,90.262,1097,fresh
45.232.0.2:8080,45.232.0.2,8080,https,5907,58,https_connect_probe,2026-09-13T09:15:48Z,AR,elite,protocol,True,github_raw,5,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T12:51:00Z,exit,residential,Sistemas Informaticos S.A.S.,266754,SISTEMAS INFORMATICOS S.A.S. (INTERFLASH),San Miguel de Tucumán,Tucuman,geolite2,none,90.261,1293,fresh
187.102.219.34:999,187.102.219.34,999,https,2742,58,https_connect_probe,2026-09-13T09:09:19Z,AR,elite,protocol,True,github_raw,3,4,dbip,unknown,0,unknown,2026-09-13T08:46:19Z,unknown,residential,,270004,CRETTON LISANDRO MAXIMILIANO (MISIOTECH),Eldorado,Misiones,geolite2,unknown,89.595,381,fresh
186.138.177.33:4145,186.138.177.33,4145,socks4,2584,63,socks4_probe,2026-09-13T09:33:45Z,AR,elite,protocol,True,github_raw,15,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-06T20:11:19Z,exit,residential,Telecom Argentina S.A.,7303,Telecom Argentina S.A.,Córdoba,Cordoba,geolite2,scanner,89.264,1072,fresh
168.196.24.29:60606,168.196.24.29,60606,socks4,3975,57,socks4_fallback,2026-09-13T08:49:45Z,AR,elite,protocol,False,github_raw,9,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T12:28:37Z,exit,residential,ISP Group SRL,264758,ISP GROUP SRL,San Antonio Oeste,Rio Negro,geolite2,scanner,89.122,1041,fresh
190.182.137.250:1085,190.182.137.250,1085,socks4,3093,59,socks4_probe,2026-09-13T09:33:45Z,AR,elite,protocol,True,github_raw,15,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Red Difusora SA,27983,Red Intercable Digital S.A.,Miguel Riglos,La Pampa,geolite2,scanner,84.174,1230,fresh
177.136.86.5:1080,177.136.86.5,1080,socks4,3064,58,socks4_fallback,2026-09-13T09:15:57Z,AR,elite,protocol,False,github_raw,5,5,dbip,unknown,0,unknown,2026-09-09T11:03:37Z,unknown,residential,Access Air Sociedad Simple,271784,ACCESS AIR SOCIEDAD SIMPLE,Eldorado,Misiones,ip2proxy,none,83.735,231,fresh
