proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
167.233.169.253:1084,167.233.169.253,1084,http,3832,61,http_probe,2026-09-06T20:17:11Z,AU,anonymous,headers,True,github_raw,19,43,dbip,unknown,0,unknown,2026-09-06T11:14:09Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,100.0,43,fresh
167.233.169.253:1085,167.233.169.253,1085,https,3793,60,https_connect_probe,2026-09-06T20:17:12Z,AU,elite,protocol,True,github_raw,2,45,dbip,unknown,0,unknown,2026-09-06T10:51:40Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,100.0,45,fresh
167.233.169.253:1084,167.233.169.253,1084,https,3036,62,https_connect_probe,2026-09-06T20:17:12Z,AU,elite,protocol,True,github_raw,3,40,dbip,unknown,0,unknown,2026-09-06T11:14:09Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,99.998,46,fresh
167.233.169.253:1081,167.233.169.253,1081,http,3042,63,http_probe,2026-09-06T20:36:00Z,AU,anonymous,headers,True,api,17,15,dbip,unknown,0,unknown,2026-09-06T10:51:40Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,99.297,56,fresh
167.233.169.253:1081,167.233.169.253,1081,https,2625,62,https_connect_probe,2026-09-06T20:36:01Z,AU,elite,protocol,True,github_raw,2,15,dbip,unknown,0,unknown,2026-09-06T10:51:40Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,99.297,52,fresh
167.233.169.253:1085,167.233.169.253,1085,http,2913,64,http_probe,2026-09-06T20:36:00Z,AU,anonymous,headers,True,api,19,17,dbip,unknown,0,unknown,2026-09-06T10:51:40Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,99.262,50,fresh
103.248.47.230:1080,103.248.47.230,1080,socks5,3716,58,socks5_fallback,2026-09-06T20:17:21Z,AU,elite,protocol,False,api,17,5,dbip,unknown,0,unknown,2026-09-03T19:36:36Z,unknown,hosting,Dicker Data Ltd,133417,Dicker Data Ltd,Sydney,New South Wales,geolite2,scanner,87.033,501,fresh
103.30.211.34:80,103.30.211.34,80,http,4677,54,http_fallback,2026-09-06T20:48:47Z,AU,elite,headers,False,github_raw,14,3,dbip,unknown,0,unknown,2026-09-02T08:34:07Z,unknown,hosting,,199524,G-Core Labs S.A.,Sydney,New South Wales,geolite2,unknown,65.107,984,fresh
3.27.62.106:27588,3.27.62.106,27588,socks4,503,61,socks4_fallback,2026-09-06T20:48:58Z,AU,unknown,unknown,False,github_raw,1,2,dbip,unknown,0,unknown,2026-08-30T23:46:06Z,unknown,business,,16509,"Amazon.com, Inc.",Sydney,New South Wales,geolite2,unknown,49.238,118,fresh
61.29.96.146:80,61.29.96.146,80,http,7214,49,http_probe,2026-09-06T21:01:28Z,AU,anonymous,headers,True,github_raw,19,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T20:58:50Z,exit,residential,AAPT Limited,2764,AAPT Limited,Glen Iris,Victoria,geolite2,botnet/scanner,45.01,543,fresh
3.27.62.106:54327,3.27.62.106,54327,socks5,818,56,socks5_fallback,2026-09-06T20:42:45Z,AU,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-08-30T23:46:06Z,unknown,business,,16509,"Amazon.com, Inc.",Sydney,New South Wales,geolite2,unknown,43.422,42,fresh
111.235.128.218:60606,111.235.128.218,60606,socks4,2300,55,socks4_fallback,2026-09-06T20:42:43Z,AU,elite,protocol,False,github_raw,4,0,dbip,unknown,0,unknown,2026-09-06T16:55:06Z,unknown,unknown,Burnie City Council,134181,Burnie City Council,Burnie,Tasmania,ip2proxy,none,42.555,70,fresh
