proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
103.149.75.82:1080,103.149.75.82,1080,socks4,900,75,socks4_probe,2026-09-19T17:19:42Z,BD,elite,protocol,True,github_raw,11,154,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T09:59:23Z,exit,residential,Amader Net,63969,Race Online Limited,Dhaka,Dhaka,ip2proxy,scanner/spam,99.998,1263,fresh
103.177.118.145:8118,103.177.118.145,8118,https,4931,62,https_connect_probe,2026-09-19T16:54:33Z,BD,elite,protocol,True,github_raw,26,39,dbip,unknown,0,unknown,2026-09-15T14:14:42Z,unknown,residential,,23688,Link3 Technologies Ltd.,Tangail,Dhaka Division,geolite2,unknown,99.995,931,fresh
203.76.117.226:8118,203.76.117.226,8118,https,3219,62,https_connect_probe,2026-09-19T17:26:06Z,BD,elite,protocol,True,github_raw,3,22,dbip,unknown,0,unknown,2026-09-15T14:14:42Z,unknown,residential,,23688,Link3 Technologies Ltd.,Tangail,Dhaka Division,geolite2,unknown,99.853,99,fresh
27.147.153.179:1080,27.147.153.179,1080,socks4,2122,68,socks4_probe,2026-09-19T17:07:36Z,BD,elite,protocol,True,github_raw,15,16,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T04:49:56Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,scanner,99.387,1036,fresh
123.200.15.226:1080,123.200.15.226,1080,socks4,4903,60,socks4_fallback,2026-09-19T17:00:52Z,BD,elite,protocol,False,api,14,14,dbip,likely_residential,70,ip2proxy_lite,2026-09-17T16:51:19Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,scanner,98.859,1135,fresh
103.177.118.145:8118,103.177.118.145,8118,http,2346,65,http_probe,2026-09-19T17:39:08Z,BD,anonymous,headers,True,github_raw,26,12,dbip,unknown,0,unknown,2026-09-15T14:14:42Z,unknown,residential,,23688,Link3 Technologies Ltd.,Tangail,Dhaka Division,geolite2,unknown,98.588,955,fresh
203.76.117.226:8118,203.76.117.226,8118,http,1261,70,http_probe,2026-09-19T17:19:33Z,BD,anonymous,headers,True,api,20,10,dbip,unknown,0,unknown,2026-09-15T14:14:42Z,unknown,residential,,23688,Link3 Technologies Ltd.,Tangail,Dhaka Division,geolite2,unknown,97.33,122,fresh
119.148.20.109:22122,119.148.20.109,22122,socks5,6659,59,socks5_probe,2026-09-19T17:39:18Z,BD,elite,protocol,True,api,17,10,dbip,unknown,0,unknown,2026-09-19T13:57:54Z,unknown,hosting,Agni Systems Limited,23923,Agni Systems Limited,Dhaka,Dhaka Division,geolite2,scanner,96.412,1386,fresh
220.158.232.118:1080,220.158.232.118,1080,socks5,6237,54,socks5_fallback,2026-09-19T17:13:38Z,BD,elite,protocol,False,github_raw,17,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T09:59:23Z,exit,residential,Viettel (Cambodia) Pte. Ltd,38623,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,Dhaka,Dhaka,ip2proxy,scanner/spam,93.251,1465,fresh
103.114.97.59:80,103.114.97.59,80,socks4,5399,57,socks4_probe,2026-09-19T17:32:42Z,BD,elite,protocol,True,github_raw,14,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T17:30:30Z,exit,residential,Skynet Chowmuhani,137449,SKYNET CHOWMUHANI,Hajiganj,Chattogram,ip2proxy,scanner,92.919,666,fresh
202.5.50.151:1080,202.5.50.151,1080,socks4,1076,66,socks4_probe,2026-09-19T17:26:17Z,BD,elite,protocol,True,html_table,11,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-18T20:22:57Z,exit,residential,BBTS Network,45326,Broad Band Telecom Services Ltd,Khulna,Khulna,ip2proxy,scanner/spam,86.277,1200,fresh
27.147.153.179:8158,27.147.153.179,8158,http,3433,50,http_fallback,2026-09-19T17:39:08Z,BD,transparent,headers,False,github_raw,21,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T04:49:56Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,scanner,82.354,217,fresh
103.79.183.133:8080,103.79.183.133,8080,http,7108,53,http_fallback,2026-09-19T17:39:08Z,BD,elite,headers,False,github_raw,20,5,dbip,unknown,0,unknown,2026-09-17T04:43:33Z,unknown,residential,,136009,SpeedNet,,,unknown,unknown,81.982,140,fresh
27.147.138.166:8158,27.147.138.166,8158,https,4429,50,https_connect_probe,2026-09-19T16:35:40Z,BD,elite,protocol,True,github_raw,2,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T14:40:44Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,none,79.942,198,fresh
61.247.178.178:1080,61.247.178.178,1080,socks5,3958,53,socks5_fallback,2026-09-19T17:26:18Z,BD,elite,protocol,False,api,16,1,dbip,unknown,0,unknown,2026-09-17T06:30:30Z,unknown,residential,,38031,OptiMax Communication Ltd.,,,unknown,unknown,78.658,356,fresh
27.147.168.150:8158,27.147.168.150,8158,http,6492,54,http_probe,2026-09-19T17:39:08Z,BD,anonymous,headers,True,github_raw,20,6,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T21:48:48Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,scanner/spam,78.424,216,fresh
103.145.45.237:8090,103.145.45.237,8090,http,6184,54,http_probe,2026-09-19T17:07:25Z,BD,anonymous,headers,True,github_raw,19,5,dbip,unknown,0,unknown,2026-09-16T18:20:15Z,unknown,unknown,,139780,Brother's ICT Connectivity,,,unknown,unknown,78.052,1131,fresh
103.170.185.162:46,103.170.185.162,46,https,2178,61,https_connect_probe,2026-09-19T17:26:12Z,BD,elite,protocol,True,github_raw,25,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T18:12:50Z,exit,residential,Hawlader Trading and Distribution,137385,Saddam Hossain t/a Asian Network,Dhaka,Dhaka,ip2proxy,scanner,75.153,1572,fresh
27.131.14.9:8812,27.131.14.9,8812,https,11437,50,https_connect_probe,2026-09-19T17:13:27Z,BD,elite,protocol,True,github_raw,6,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T09:59:23Z,exit,residential,Suit # 10-A Haque Chamber,55492,Dhaka Fiber Net Limited,Dhaka,Dhaka Division,geolite2,botnet/scanner/spam,73.041,1684,fresh
123.200.8.170:10000,123.200.8.170,10000,https,2611,58,https_connect_probe,2026-09-19T17:26:06Z,BD,elite,protocol,True,github_raw,22,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T11:46:55Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,none,72.278,1735,fresh
59.153.30.16:8888,59.153.30.16,8888,https,7375,47,https_connect_probe,2026-09-19T17:26:06Z,BD,elite,protocol,True,github_raw,3,1,dbip,unknown,0,unknown,2026-09-18T11:29:10Z,unknown,residential,,154462,Yournet Communications,,,unknown,unknown,71.179,896,fresh
103.189.218.76:6969,103.189.218.76,6969,socks5,2081,58,socks5_fallback,2026-09-19T16:54:46Z,BD,elite,protocol,False,text_site,14,0,dbip,unknown,0,unknown,2026-09-13T22:05:22Z,unknown,business,Comfort Solutions,149868,Comfort Solutions,Dhaka,Dhaka,ip2proxy,scanner,70.889,1096,fresh
182.252.89.130:8080,182.252.89.130,8080,http,5907,45,http_fallback,2026-09-19T17:26:06Z,BD,transparent,headers,False,github_raw,20,4,dbip,unknown,0,unknown,2026-09-19T09:13:53Z,unknown,hosting,Agni Systems Limited,23923,Agni Systems Limited,Dhaka,Dhaka Division,geolite2,none,70.843,352,fresh
119.148.7.10:22122,119.148.7.10,22122,socks5,2504,62,socks5_probe,2026-09-19T17:26:20Z,BD,elite,protocol,True,api,17,4,dbip,unknown,0,unknown,2026-09-13T17:00:21Z,unknown,hosting,Agni Systems Limited,23923,Agni Systems Limited,Dhaka,Dhaka Division,geolite2,scanner/spam,69.641,1714,fresh
114.130.89.94:1080,114.130.89.94,1080,socks4,3846,56,socks4_probe,2026-09-19T17:19:43Z,BD,elite,protocol,True,github_raw,15,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T09:11:24Z,exit,residential,Mango Teleservices IIG of Bangladesh,17806,Tire-1 IP Transit Provider of Bangladesh,Dhaka,Dhaka,ip2proxy,scanner,68.807,1188,fresh
182.160.124.54:12331,182.160.124.54,12331,https,2056,58,https_connect_probe,2026-09-19T17:39:10Z,BD,elite,protocol,True,github_raw,3,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T09:59:23Z,exit,residential,Assigned for Dhaka EPZ POP Customers,24323,"aamra networks limited,",Dhaka,Dhaka Division,geolite2,scanner,68.587,1732,fresh
123.200.8.170:10000,123.200.8.170,10000,http,1122,55,http_fallback,2026-09-19T17:07:25Z,BD,transparent,headers,False,github_raw,25,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T11:46:55Z,exit,residential,Link3 Technologies Ltd,23688,Link3 Technologies Ltd.,Dhaka,Dhaka Division,geolite2,none,67.462,1538,fresh
59.152.97.233:1080,59.152.97.233,1080,socks5,1051,66,socks5_fallback,2026-09-19T17:19:46Z,BD,elite,protocol,False,api,16,3,dbip,unknown,0,unknown,,unknown,unknown,,0,,,,unknown,unknown,67.383,1454,fresh
103.118.85.144:6321,103.118.85.144,6321,https,10976,49,https_connect_probe,2026-09-19T17:39:10Z,BD,elite,protocol,True,github_raw,5,4,dbip,unknown,0,unknown,2026-09-12T21:55:00Z,unknown,unknown,,137961,MD. Mokhlesur Rahman,,,unknown,unknown,66.589,1233,fresh
103.155.71.88:8080,103.155.71.88,8080,https,2484,60,https_connect_probe,2026-09-19T17:26:11Z,BD,elite,protocol,True,github_raw,4,4,dbip,unknown,0,unknown,2026-09-13T10:34:28Z,unknown,residential,Global Network,137453,Orange Communication,Gazipur,Dhaka,ip2proxy,none,66.52,380,fresh
203.190.8.59:1088,203.190.8.59,1088,socks4,4123,55,socks4_probe,2026-09-19T17:32:41Z,BD,elite,protocol,True,github_raw,10,1,dbip,unknown,0,unknown,2026-09-13T21:00:13Z,unknown,residential,,58768,Daffodil Online Ltd.,,,unknown,unknown,65.989,1179,fresh
