proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
181.233.94.101:1080,181.233.94.101,1080,socks4,2301,67,socks4_probe,2026-09-13T09:09:27Z,BR,elite,protocol,True,api,15,26,dbip,unknown,0,unknown,2026-09-13T08:46:19Z,unknown,unknown,,53006,ALGAR TELECOM S/A,Olinda,Pernambuco,geolite2,unknown,99.934,320,fresh
177.85.65.177:4153,177.85.65.177,4153,socks4,1759,68,socks4_fallback,2026-09-13T08:49:43Z,BR,elite,protocol,False,api,12,13,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,ASE Telecomunicacoes Ltda ME,262600,ASE TELECOMUNICACOES LTDA ME,Simões Filho,Bahia,geolite2,botnet/scanner,98.587,1198,fresh
177.66.43.189:4145,177.66.43.189,4145,socks4,3457,64,socks4_probe,2026-09-13T09:15:57Z,BR,elite,protocol,True,github_raw,8,15,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,52843,Magnos A. Both e Cia Ltda,Santo Cristo,Rio Grande do Sul,geolite2,unknown,98.518,1376,fresh
177.23.148.2:1088,177.23.148.2,1088,socks5,2711,66,socks5_probe,2026-09-13T08:56:10Z,BR,elite,protocol,True,api,15,15,dbip,unknown,0,unknown,2026-09-11T11:40:19Z,unknown,residential,,262896,SpeedWeb Net Telecomunicacoes,Rio de Janeiro,Rio de Janeiro,geolite2,unknown,97.922,38,fresh
170.244.0.179:4145,170.244.0.179,4145,socks4,2803,64,socks4_fallback,2026-09-13T08:56:07Z,BR,elite,protocol,False,api,12,13,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T10:02:38Z,exit,residential,Itanet Conecta Ltda,52699,ITANET CONECTA LTDA,Itaperuna,Rio de Janeiro,geolite2,botnet/scanner,97.848,733,fresh
200.71.123.77:60606,200.71.123.77,60606,socks4,1734,68,socks4_fallback,2026-09-13T09:09:27Z,BR,elite,protocol,False,github_raw,9,13,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Forza Telecomunicacoes Ltda,61765,Forza Telecomunicacoes LTDA,Constantina,Rio Grande do Sul,geolite2,scanner,97.728,1189,fresh
200.188.246.122:60606,200.188.246.122,60606,socks4,2836,66,socks4_probe,2026-09-13T09:02:50Z,BR,elite,protocol,True,html_table,13,15,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T10:16:43Z,exit,residential,Empresa Catarinense de Tecnologia em Telecom. Ltda,11844,Empresa Catarinense de Tecnologia em Telecom. Ltda,São José,Santa Catarina,geolite2,scanner,97.662,1018,fresh
167.250.137.129:1080,167.250.137.129,1080,socks4,6916,57,socks4_fallback,2026-09-13T08:49:44Z,BR,elite,protocol,False,api,15,12,dbip,unknown,0,unknown,2026-09-07T08:51:57Z,unknown,residential,DB3 Servicos de Telecomunicacoes S.A,28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,Barbalha,Ceará,geolite2,scanner,97.219,977,fresh
186.194.234.18:4153,186.194.234.18,4153,socks4,6478,59,socks4_probe,2026-09-13T08:49:43Z,BR,elite,protocol,True,api,11,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T11:44:56Z,exit,residential,Cabonnet Internet Ltda,53143,CABONNET INTERNET LTDA,Presidente Prudente,São Paulo,geolite2,botnet/scanner,96.09,1397,fresh
177.152.106.74:1080,177.152.106.74,1080,socks4,3100,64,socks4_probe,2026-09-13T09:09:27Z,BR,elite,protocol,True,github_raw,9,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T14:17:55Z,exit,residential,Figueiredo Provedores Eireli,270587,figueiredo provedores eireli,Riachinho,Minas Gerais,geolite2,spam,95.954,1356,fresh
143.208.130.155:5678,143.208.130.155,5678,socks4,3413,64,socks4_probe,2026-09-13T09:27:48Z,BR,elite,protocol,True,github_raw,13,9,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Lanservi Tecnologia,264091,LANSERVI TECNOLOGIA,Recife,Pernambuco,geolite2,scanner/spam,95.873,1273,fresh
