proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
40.177.65.8:80,40.177.65.8,80,http,655,75,http_fallback,2026-09-15T23:04:07Z,CA,elite,headers,False,text_site,6,423,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Calgary,Alberta,geolite2,none,99.998,1145,fresh
152.69.211.50:40001,152.69.211.50,40001,socks5,688,77,socks5_probe,2026-09-15T23:23:01Z,CA,elite,protocol,True,api,16,27,dbip,unknown,0,unknown,2026-09-12T08:53:16Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,99.93,915,fresh
184.75.221.82:3118,184.75.221.82,3118,https,1407,71,https_connect_probe,2026-09-15T23:04:07Z,CA,elite,protocol,True,github_raw,25,18,dbip,unknown,0,unknown,2026-09-14T22:32:05Z,unknown,hosting,,32489,Amanah Tech Inc.,,,unknown,unknown,99.462,599,fresh
192.158.15.201:50877,192.158.15.201,50877,socks4,4044,61,socks4_fallback,2026-09-15T23:04:08Z,CA,elite,protocol,False,api,12,14,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Unixchosting.com,40028,1651884 Ontario Inc.,Milton,Ontario,geolite2,botnet/scanner,99.118,1468,fresh
152.69.211.50:40001,152.69.211.50,40001,socks4,806,76,socks4_probe,2026-09-15T23:10:19Z,CA,elite,protocol,True,api,14,11,dbip,unknown,0,unknown,2026-09-12T08:53:16Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,98.239,592,fresh
161.35.90.93:1081,161.35.90.93,1081,socks5,7271,58,socks5_probe,2026-09-15T22:52:01Z,CA,elite,protocol,True,api,17,9,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,unknown,,9009,M247 Europe SRL,Toronto,Ontario,geolite2,unknown,94.844,1511,fresh
184.75.221.82:3118,184.75.221.82,3118,http,1385,66,http_probe,2026-09-15T23:16:30Z,CA,anonymous,headers,True,api,25,6,dbip,unknown,0,unknown,2026-09-14T22:32:05Z,unknown,hosting,,32489,Amanah Tech Inc.,,,unknown,unknown,94.174,719,fresh
152.69.211.50:40001,152.69.211.50,40001,https,10967,47,https_connect_probe,2026-09-15T22:57:59Z,CA,elite,protocol,True,github_raw,2,5,dbip,unknown,0,unknown,2026-09-12T08:53:16Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,91.75,1340,fresh
45.73.0.118:5678,45.73.0.118,5678,socks4,5567,53,socks4_probe,2026-09-15T23:22:59Z,CA,elite,protocol,True,api,17,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T10:16:43Z,exit,residential,Videotron Ltee,5769,Videotron Ltee,Montreal,Quebec,geolite2,botnet/scanner,78.574,1469,fresh
144.217.82.40:8089,144.217.82.40,8089,https,1421,62,https_connect_probe,2026-09-15T22:51:58Z,CA,elite,protocol,True,github_raw,1,5,dbip,unknown,0,unknown,2026-09-11T04:50:59Z,unknown,hosting,,16276,OVH SAS,,,unknown,unknown,75.963,142,fresh
38.49.210.79:40000,38.49.210.79,40000,socks5,1627,64,socks5_probe,2026-09-15T23:35:46Z,CA,elite,protocol,True,api,17,3,dbip,unknown,0,unknown,2026-09-13T23:35:05Z,unknown,hosting,,13335,"Cloudflare, Inc.",Montreal,Quebec,geolite2,unknown,65.786,657,fresh
24.37.245.42:51056,24.37.245.42,51056,socks4,2121,59,socks4_fallback,2026-09-15T23:35:44Z,CA,elite,protocol,False,api,17,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-09T02:33:13Z,exit,residential,Videotron Ltee,5769,Videotron Ltee,Montreal,Quebec,geolite2,botnet/scanner,65.093,1303,fresh
162.216.185.241:1084,162.216.185.241,1084,socks4,4056,56,socks4_probe,2026-09-15T23:35:44Z,CA,elite,protocol,True,api,11,2,dbip,unknown,0,unknown,2026-09-15T21:48:48Z,unknown,residential,Lyttonnet,46915,Lyttonnet,Lytton,British Columbia,geolite2,scanner,64.025,258,fresh
152.69.211.50:40001,152.69.211.50,40001,http,1011,64,http_probe,2026-09-15T23:22:59Z,CA,anonymous,headers,True,github_raw,14,1,dbip,unknown,0,unknown,2026-09-12T08:53:16Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,62.708,1199,fresh
149.248.18.106:1080,149.248.18.106,1080,socks4,6496,52,socks4_probe,2026-09-15T23:16:31Z,CA,elite,protocol,True,github_raw,11,2,dbip,unknown,0,unknown,2026-09-14T06:39:33Z,unknown,unknown,,212238,Datacamp Limited,Vancouver,British Columbia,geolite2,unknown,61.37,224,fresh
135.181.79.187:40001,135.181.79.187,40001,socks5,2434,61,socks5_probe,2026-09-15T23:35:45Z,CA,elite,protocol,True,api,15,3,dbip,unknown,0,unknown,2026-09-11T12:23:30Z,unknown,hosting,,13335,"Cloudflare, Inc.",Helsinki,Uusimaa,geolite2,unknown,55.387,438,fresh
135.181.79.187:40001,135.181.79.187,40001,socks4,2195,61,socks4_probe,2026-09-15T23:23:01Z,CA,elite,protocol,True,api,11,2,dbip,unknown,0,unknown,2026-09-11T12:23:30Z,unknown,hosting,,13335,"Cloudflare, Inc.",Helsinki,Uusimaa,geolite2,unknown,50.946,427,fresh
144.217.82.40:8089,144.217.82.40,8089,http,1520,61,http_probe,2026-09-15T23:22:59Z,CA,anonymous,headers,True,github_raw,8,1,dbip,unknown,0,unknown,2026-09-11T04:50:59Z,unknown,hosting,,16276,OVH SAS,,,unknown,unknown,49.474,43,fresh
15.235.21.254:8080,15.235.21.254,8080,http,897,63,http_fallback,2026-09-15T23:29:54Z,CA,anonymous,headers,False,api,18,1,dbip,unknown,0,unknown,2026-09-14T07:21:02Z,unknown,hosting,,16276,OVH SAS,,,unknown,unknown,26.472,1367,fresh
192.99.70.178:3128,192.99.70.178,3128,https,1427,59,https_connect_probe,2026-09-15T23:23:17Z,CA,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-13T06:55:56Z,unknown,hosting,OVH Hosting Inc.,16276,OVH SAS,Beauharnois,Quebec,ip2proxy,none,20.13,501,fresh
198.245.60.202:3128,198.245.60.202,3128,http,1452,61,http_probe,2026-09-15T23:35:58Z,CA,anonymous,headers,True,github_raw,7,1,dbip,unknown,0,unknown,2026-09-12T04:11:36Z,unknown,hosting,OVH Hosting Inc.,16276,OVH SAS,Montreal,Quebec,ip2proxy,none,20.091,576,fresh
16.174.78.75:18673,16.174.78.75,18673,socks4,421,62,socks4_fallback,2026-09-15T22:39:31Z,CA,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-11T06:17:45Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Calgary,Alberta,geolite2,none,11.183,47,fresh
