proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
16.63.207.85:80,16.63.207.85,80,http,1233,66,http_fallback,2026-09-19T16:54:32Z,CH,elite,headers,False,github_raw,2,530,dbip,unknown,0,unknown,2026-09-19T09:59:23Z,unknown,business,Amazon Data Services Switzerland,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,none,99.998,1258,fresh
16.18.22.211:2833,16.18.22.211,2833,socks5,942,55,socks5_fallback,2026-09-19T17:39:18Z,CH,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-19T04:10:23Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,scanner,65.682,146,fresh
195.225.116.15:4145,195.225.116.15,4145,socks4,3059,56,socks4_fallback,2026-09-19T17:13:35Z,CH,elite,protocol,False,api,15,2,dbip,unknown,0,unknown,2026-09-18T08:34:49Z,unknown,business,Rolf Tschumi,48971,Datawire Ag,Zurich,Zurich,ip2proxy,none,46.725,801,fresh
16.18.22.211:20497,16.18.22.211,20497,socks5,896,56,socks5_fallback,2026-09-19T17:39:17Z,CH,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-19T04:10:23Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,scanner,45.252,89,fresh
16.18.37.186:1556,16.18.37.186,1556,socks5,950,55,socks5_fallback,2026-09-19T16:48:31Z,CH,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T12:27:15Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,none,28.405,57,fresh
16.18.22.211:41306,16.18.22.211,41306,socks4,670,58,socks4_fallback,2026-09-19T17:33:02Z,CH,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-19T04:10:23Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,scanner,26.814,119,fresh
51.34.28.236:21920,51.34.28.236,21920,socks4,731,57,socks4_fallback,2026-09-19T17:33:02Z,CH,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-19T09:59:23Z,unknown,business,A100 ROW Inc,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,none,20.581,54,fresh
16.18.37.186:42049,16.18.37.186,42049,socks4,753,57,socks4_fallback,2026-09-19T16:35:45Z,CH,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T12:27:15Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,none,18.185,63,fresh
16.18.22.211:36560,16.18.22.211,36560,socks5,933,55,socks5_fallback,2026-09-19T17:08:17Z,CH,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-19T04:10:23Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,scanner,16.41,35,fresh
16.18.37.186:13754,16.18.37.186,13754,socks5,954,55,socks5_fallback,2026-09-19T16:29:41Z,CH,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T12:27:15Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Zurich,Zurich,geolite2,none,10.259,59,fresh
