proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
45.91.248.107:80,45.91.248.107,80,http,914,73,http_fallback,2026-09-19T17:00:42Z,CL,elite,headers,False,api,18,14,dbip,unknown,0,unknown,2026-09-19T17:08:49Z,unknown,hosting,,13335,"Cloudflare, Inc.",Staten Island,New York,geolite2,unknown,99.074,346,fresh
38.7.195.50:999,38.7.195.50,999,https,5393,59,https_connect_probe,2026-09-19T17:00:43Z,CL,elite,protocol,True,github_raw,4,12,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,98.453,1799,fresh
38.7.195.52:999,38.7.195.52,999,https,5448,61,https_connect_probe,2026-09-19T17:00:43Z,CL,elite,protocol,True,github_raw,6,9,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,95.346,1859,fresh
38.7.195.51:999,38.7.195.51,999,http,3467,62,http_probe,2026-09-19T17:26:06Z,CL,anonymous,headers,True,github_raw,19,10,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,94.667,1459,fresh
38.7.195.55:999,38.7.195.55,999,https,5354,60,https_connect_probe,2026-09-19T17:39:09Z,CL,elite,protocol,True,github_raw,5,9,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,91.965,1872,fresh
38.7.195.51:999,38.7.195.51,999,https,5735,55,https_connect_probe,2026-09-19T17:32:35Z,CL,elite,protocol,True,github_raw,4,6,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,90.257,1791,fresh
38.7.195.53:999,38.7.195.53,999,https,2477,62,https_connect_probe,2026-09-19T17:32:35Z,CL,elite,protocol,True,github_raw,26,4,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,89.061,1866,fresh
190.54.100.74:5678,190.54.100.74,5678,socks4,3722,56,socks4_fallback,2026-09-19T17:26:17Z,CL,elite,protocol,False,api,15,3,dbip,unknown,0,unknown,2026-09-19T10:21:58Z,unknown,business,Subcentro Las Condes S.A.,6429,Telmex Chile Internet S.A.,Santiago,Santiago Metropolitan,geolite2,scanner,83.072,1607,fresh
38.7.195.50:999,38.7.195.50,999,http,5031,55,http_probe,2026-09-19T17:19:33Z,CL,anonymous,headers,True,api,19,5,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,81.121,1506,fresh
38.7.195.55:999,38.7.195.55,999,http,2915,57,http_probe,2026-09-19T17:26:06Z,CL,anonymous,headers,True,github_raw,19,2,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,Diamond IP Brokers Fzco,274099,VALLENET SPA,San Vicente de Tagua Tagua,O'Higgins Region,geolite2,none,74.309,1488,fresh
