proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
61.158.175.38:9002,61.158.175.38,9002,http,873,73,http_fallback,2026-09-15T23:29:40Z,CN,elite,headers,False,github_raw,19,83,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,business,Yingpanzxx SCH,4837,CHINA UNICOM China169 Backbone,Zhengzhou,Henan,ip2proxy,botnet/scanner/spam,99.998,1176,fresh
113.249.111.67:1080,113.249.111.67,1080,socks5,2043,68,socks5_probe,2026-09-15T23:23:01Z,CN,elite,protocol,True,api,16,68,dbip,unknown,0,unknown,2026-09-09T19:03:47Z,unknown,wireless,ChinaNet Chongqing Province Network,134420,Chongqing Telecom,Chongqing,Chongqing,ip2proxy,scanner/spam,99.998,634,fresh
119.188.131.55:17981,119.188.131.55,17981,http,1984,67,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,text_site,25,92,dbip,unknown,0,unknown,2026-09-12T13:34:07Z,unknown,unknown,,4837,CHINA UNICOM China169 Backbone,,,unknown,unknown,99.998,1382,fresh
113.45.195.147:3128,113.45.195.147,3128,http,1993,67,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,text_site,8,98,dbip,unknown,0,unknown,2026-09-09T19:03:47Z,unknown,hosting,,55990,Huawei Cloud Service data center,Guangzhou,Guangdong,geolite2,unknown,99.998,605,fresh
114.236.137.41:21000,114.236.137.41,21000,http,2055,66,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,text_site,25,79,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,4134,Chinanet,,,unknown,unknown,99.998,1219,fresh
47.84.84.1:3128,47.84.84.1,3128,http,2647,64,http_fallback,2026-09-15T23:04:07Z,CN,elite,headers,False,text_site,19,124,dbip,unknown,0,unknown,2026-09-12T10:59:54Z,unknown,hosting,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",Shanghai,Shanghai,geolite2,unknown,99.998,1017,fresh
111.206.4.163:18888,111.206.4.163,18888,socks5,2898,66,socks5_probe,2026-09-15T23:04:09Z,CN,elite,protocol,True,text_site,16,20,dbip,unknown,0,unknown,2026-09-15T21:48:48Z,unknown,hosting,China Unicom Beijing Province Network,4808,China Unicom Beijing Province Network,Beijing,Beijing,ip2proxy,scanner,99.755,479,fresh
113.204.79.230:9091,113.204.79.230,9091,http,1526,69,http_fallback,2026-09-15T23:04:07Z,CN,elite,headers,False,text_site,17,19,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,wireless,China Unicom Chongqing Province Network,4837,CHINA UNICOM China169 Backbone,Chongqing,Chongqing,ip2proxy,scanner/spam,99.47,1193,fresh
115.231.181.40:8128,115.231.181.40,8128,https,2164,67,https_connect_probe,2026-09-15T23:22:59Z,CN,elite,protocol,True,github_raw,5,18,dbip,unknown,0,unknown,2026-09-11T03:45:53Z,unknown,hosting,Jin Hua Chuanyun Ltd,136188,"NINGBO, ZHEJIANG Province, P.R.China.",Ningbo,Zhejiang,ip2proxy,botnet/scanner/spam,99.177,1116,fresh
27.185.218.213:17981,27.185.218.213,17981,http,2326,65,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,github_raw,25,15,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,unknown,,134760,"Shijiazhuang IDC network, CHINANET Hebei province",,,unknown,unknown,98.648,1243,fresh
111.206.4.163:18888,111.206.4.163,18888,http,5967,58,http_probe,2026-09-15T23:16:30Z,CN,anonymous,headers,True,api,17,12,dbip,unknown,0,unknown,2026-09-15T21:48:48Z,unknown,hosting,China Unicom Beijing Province Network,4808,China Unicom Beijing Province Network,Beijing,Beijing,ip2proxy,scanner,98.618,548,fresh
123.121.208.63:8888,123.121.208.63,8888,https,2731,63,https_connect_probe,2026-09-15T23:22:59Z,CN,elite,protocol,True,github_raw,3,15,dbip,unknown,0,unknown,2026-09-15T23:37:24Z,unknown,unknown,,4808,China Unicom Beijing Province Network,Beijing,Beijing,geolite2,unknown,98.425,861,fresh
123.121.122.28:8888,123.121.122.28,8888,https,1302,69,https_connect_probe,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,3,15,dbip,unknown,0,unknown,2026-09-15T16:24:21Z,unknown,unknown,,4808,China Unicom Beijing Province Network,Beijing,Beijing,geolite2,unknown,98.375,466,fresh
27.185.218.213:17981,27.185.218.213,17981,https,2259,68,https_connect_probe,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,25,15,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,unknown,,134760,"Shijiazhuang IDC network, CHINANET Hebei province",,,unknown,unknown,98.214,1285,fresh
119.188.131.55:17981,119.188.131.55,17981,https,1680,70,https_connect_probe,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,25,10,dbip,unknown,0,unknown,2026-09-12T13:34:07Z,unknown,unknown,,4837,CHINA UNICOM China169 Backbone,,,unknown,unknown,97.852,1486,fresh
114.236.137.41:21000,114.236.137.41,21000,https,1748,70,https_connect_probe,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,25,10,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,4134,Chinanet,,,unknown,unknown,97.852,1263,fresh
120.232.115.170:17981,120.232.115.170,17981,https,1590,70,https_connect_probe,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,26,10,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,unknown,,9808,"China Mobile Communications Group Co., Ltd.",,,unknown,unknown,97.656,1359,fresh
123.115.226.82:8888,123.115.226.82,8888,https,1866,66,https_fallback,2026-09-15T23:22:59Z,CN,elite,protocol,True,github_raw,3,15,dbip,unknown,0,unknown,2026-09-10T22:43:01Z,unknown,wireless,China Unicom Beijing Province Network,4808,China Unicom Beijing Province Network,Beijing,Beijing,ip2proxy,none,97.656,628,fresh
120.232.115.170:17981,120.232.115.170,17981,http,2295,65,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,text_site,26,10,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,9808,"China Mobile Communications Group Co., Ltd.",,,unknown,unknown,97.637,1246,fresh
60.217.64.237:35292,60.217.64.237,35292,socks4,3674,64,socks4_probe,2026-09-15T23:29:40Z,CN,elite,protocol,True,github_raw,11,10,dbip,unknown,0,unknown,2026-09-11T01:54:11Z,unknown,wireless,China Unicom Shandong Province Network,4837,CHINA UNICOM China169 Backbone,Jinan,Shandong,ip2proxy,botnet,97.549,1046,fresh
223.85.21.195:8080,223.85.21.195,8080,http,3829,61,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,text_site,26,11,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,unknown,,38283,CHINANET SiChuan Telecom Internet Data Center,,,unknown,unknown,97.474,1338,fresh
113.45.195.147:3128,113.45.195.147,3128,https,2069,64,https_connect_probe,2026-09-15T22:51:58Z,CN,elite,protocol,True,github_raw,2,9,dbip,unknown,0,unknown,2026-09-09T19:03:47Z,unknown,hosting,,55990,Huawei Cloud Service data center,Guangzhou,Guangdong,geolite2,unknown,97.254,591,fresh
114.249.213.204:8888,114.249.213.204,8888,https,7241,56,https_connect_probe,2026-09-15T23:29:40Z,CN,elite,protocol,True,github_raw,3,11,dbip,unknown,0,unknown,2026-09-15T15:42:00Z,unknown,unknown,,4808,China Unicom Beijing Province Network,Beijing,Beijing,geolite2,unknown,96.469,866,fresh
115.231.181.40:8128,115.231.181.40,8128,http,1525,69,http_probe,2026-09-15T22:51:57Z,CN,anonymous,headers,True,api,15,9,dbip,unknown,0,unknown,2026-09-11T03:45:53Z,unknown,hosting,Jin Hua Chuanyun Ltd,136188,"NINGBO, ZHEJIANG Province, P.R.China.",Ningbo,Zhejiang,ip2proxy,botnet/scanner/spam,96.396,980,fresh
219.148.171.178:9445,219.148.171.178,9445,https,1884,69,https_fallback,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,25,10,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Data Communication Division,4134,Chinanet,Hohhot,Nei Mongol,ip2proxy,none,96.314,1455,fresh
111.206.4.163:18888,111.206.4.163,18888,https,2170,65,https_connect_probe,2026-09-15T23:04:07Z,CN,elite,protocol,True,github_raw,4,8,dbip,unknown,0,unknown,2026-09-15T21:48:48Z,unknown,hosting,China Unicom Beijing Province Network,4808,China Unicom Beijing Province Network,Beijing,Beijing,ip2proxy,scanner,95.88,502,fresh
122.246.3.12:17981,122.246.3.12,17981,http,3492,62,http_probe,2026-09-15T23:04:07Z,CN,anonymous,headers,True,text_site,25,9,dbip,unknown,0,unknown,2026-09-14T04:06:28Z,unknown,unknown,,136188,"NINGBO, ZHEJIANG Province, P.R.China.",,,unknown,unknown,93.393,1526,fresh
