proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
190.0.246.210:4040,190.0.246.210,4040,https,1799,67,https_connect_probe,2026-09-26T19:15:40Z,CO,elite,protocol,True,github_raw,4,44,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Cable & TV Yopal S.A.S,27951,Media Commerce Partners S.A,Marinilla,Antioquia,geolite2,spam,99.998,1800,fresh
190.0.246.211:4040,190.0.246.211,4040,https,1835,65,https_connect_probe,2026-09-26T19:15:40Z,CO,elite,protocol,True,github_raw,2,48,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Cable & TV Yopal S.A.S,27951,Media Commerce Partners S.A,Marinilla,Antioquia,geolite2,spam,99.998,1750,fresh
186.180.19.131:8080,186.180.19.131,8080,http,1919,66,http_probe,2026-09-26T19:15:39Z,CO,anonymous,headers,True,github_raw,5,35,dbip,unknown,0,unknown,2026-09-22T09:52:24Z,unknown,residential,,13489,UNE EPM TELECOMUNICACIONES S.A.,Bogotá,Bogota D.C.,geolite2,unknown,99.988,140,fresh
190.0.246.211:4040,190.0.246.211,4040,http,1862,67,http_probe,2026-09-26T19:41:06Z,CO,anonymous,headers,True,github_raw,8,28,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Cable & TV Yopal S.A.S,27951,Media Commerce Partners S.A,Marinilla,Antioquia,geolite2,spam,99.962,1768,fresh
190.0.246.213:4040,190.0.246.213,4040,http,1912,67,http_probe,2026-09-26T19:15:39Z,CO,anonymous,headers,True,github_raw,7,12,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Cable & TV Yopal S.A.S,27951,Media Commerce Partners S.A,Marinilla,Antioquia,geolite2,spam,98.613,1165,fresh
190.0.246.210:4040,190.0.246.210,4040,http,1844,67,http_probe,2026-09-26T19:15:39Z,CO,anonymous,headers,True,github_raw,13,12,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Cable & TV Yopal S.A.S,27951,Media Commerce Partners S.A,Marinilla,Antioquia,geolite2,spam,98.594,1761,fresh
201.184.239.75:5678,201.184.239.75,5678,socks4,2956,66,socks4_probe,2026-09-26T19:47:42Z,CO,elite,protocol,True,api,13,13,dbip,likely_residential,70,ip2proxy_lite,2026-09-22T23:14:53Z,exit,residential,UNE Epm Telecomunicaciones S.A.,13489,UNE EPM TELECOMUNICACIONES S.A.,Medellín,Antioquia,geolite2,botnet/scanner,98.33,1593,fresh
200.10.31.45:8081,200.10.31.45,8081,https,3149,65,https_connect_probe,2026-09-26T19:41:08Z,CO,elite,protocol,True,github_raw,19,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Super Redes S.A.S,270075,SUPER REDES S.A.S,Pereira,Risaralda Department,geolite2,scanner,97.594,2118,fresh
200.10.31.45:8081,200.10.31.45,8081,http,4996,51,http_fallback,2026-09-26T19:02:54Z,CO,transparent,headers,False,github_raw,14,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Super Redes S.A.S,270075,SUPER REDES S.A.S,Pereira,Risaralda Department,geolite2,scanner,96.386,1979,fresh
181.57.178.146:1080,181.57.178.146,1080,socks4,2829,64,socks4_fallback,2026-09-26T19:03:04Z,CO,elite,protocol,False,api,15,10,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T11:56:30Z,exit,wireless,Telmex Colombia S.A.,14080,Telmex Colombia S.A.,Bogotá,Bogota D.C.,geolite2,scanner,96.126,1708,fresh
149.130.173.58:9443,149.130.173.58,9443,http,2804,64,http_probe,2026-09-26T19:15:39Z,CO,anonymous,headers,True,github_raw,8,11,dbip,unknown,0,unknown,2026-09-24T05:57:42Z,unknown,hosting,,31898,Oracle Corporation,Cota,Cundinamarca,geolite2,unknown,95.089,85,fresh
190.0.246.213:4040,190.0.246.213,4040,https,1877,62,https_connect_probe,2026-09-26T19:29:03Z,CO,elite,protocol,True,github_raw,2,6,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Cable & TV Yopal S.A.S,27951,Media Commerce Partners S.A,Marinilla,Antioquia,geolite2,spam,94.75,1145,fresh
