proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
103.119.19.218:3128,103.119.19.218,3128,https,2218,65,https_connect_probe,2026-09-26T19:29:03Z,CZ,elite,protocol,True,github_raw,3,10,dbip,unknown,0,unknown,2026-09-23T05:04:43Z,unknown,unknown,,215305,Mastersoft S.R.L.,Prague,Prague,geolite2,unknown,97.69,155,fresh
103.119.19.218:3128,103.119.19.218,3128,http,2218,65,http_probe,2026-09-26T19:22:14Z,CZ,anonymous,headers,True,github_raw,8,8,dbip,unknown,0,unknown,2026-09-23T05:04:43Z,unknown,unknown,,215305,Mastersoft S.R.L.,Prague,Prague,geolite2,unknown,93.748,190,fresh
31.31.74.185:9898,31.31.74.185,9898,https,5743,56,https_connect_probe,2026-09-26T19:29:03Z,CZ,elite,protocol,True,github_raw,3,8,dbip,unknown,0,unknown,2026-09-22T02:40:56Z,unknown,hosting,,197019,"WEDOS Internet, a.s.",,,unknown,unknown,91.191,198,fresh
31.31.74.185:9898,31.31.74.185,9898,http,2179,64,http_probe,2026-09-26T19:15:39Z,CZ,anonymous,headers,True,github_raw,20,7,dbip,unknown,0,unknown,2026-09-22T02:40:56Z,unknown,hosting,,197019,"WEDOS Internet, a.s.",,,unknown,unknown,89.538,242,fresh
91.107.179.68:10809,91.107.179.68,10809,socks5,9695,53,socks5_probe,2026-09-26T19:29:17Z,CZ,elite,protocol,True,github_raw,16,6,dbip,unknown,0,unknown,2026-09-20T05:19:57Z,unknown,hosting,,13335,"Cloudflare, Inc.",Leipzig,Saxony,geolite2,unknown,87.643,501,fresh
109.69.211.18:1080,109.69.211.18,1080,socks4,3392,61,socks4_probe,2026-09-26T19:15:51Z,CZ,elite,protocol,True,github_raw,15,6,dbip,unknown,0,unknown,2026-09-26T15:31:25Z,unknown,unknown,,196815,LAN servis s.r.o.,Přerov,Olomouc Region,geolite2,unknown,82.03,1502,fresh
176.98.248.2:4153,176.98.248.2,4153,socks4,4613,57,socks4_fallback,2026-09-26T19:09:30Z,CZ,elite,protocol,False,github_raw,12,6,dbip,unknown,0,unknown,2026-09-26T16:37:17Z,unknown,residential,JM-Networks s.r.o.,62099,"JM-Networks, s.r.o.",Prague,Prague,geolite2,botnet/scanner,75.103,330,fresh
90.182.147.170:4145,90.182.147.170,4145,socks4,2205,62,socks4_probe,2026-09-26T19:41:17Z,CZ,elite,protocol,True,github_raw,11,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-20T13:34:00Z,exit,residential,O2 Czech Republic A.S.,5610,"O2 Czech Republic, a.s.",Týnec nad Sázavou,Central Bohemia,geolite2,scanner,49.99,1085,fresh
217.75.208.178:8080,217.75.208.178,8080,https,7223,48,https_connect_probe,2026-09-26T19:15:41Z,CZ,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-24T23:56:08Z,unknown,residential,Grape SC A.S.,210712,ISP Alliance a.s.,Chomutov,Ústí nad Labem Region,geolite2,none,34.118,272,fresh
188.119.98.126:9999,188.119.98.126,9999,http,2734,56,http_probe,2026-09-26T19:48:03Z,CZ,anonymous,headers,True,api,19,1,dbip,unknown,0,unknown,2026-09-26T19:50:19Z,unknown,wireless,O2 Czech Republic A.S.,42908,"O2 Czech Republic, a.s.",Uherské Hradiště,Zlín,geolite2,none,30.866,541,fresh
85.163.43.208:48293,85.163.43.208,48293,socks4,4953,53,socks4_probe,2026-09-26T19:09:31Z,CZ,elite,protocol,True,github_raw,11,0,dbip,unknown,0,unknown,2026-09-26T19:06:33Z,unknown,residential,CETIN A.S.,28725,CETIN a.s.,Choceň,Pardubice Region,geolite2,scanner,30.453,1774,fresh
