proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
91.107.251.112:80,91.107.251.112,80,http,508,68,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,active_scan,1,523,dbip,unknown,0,unknown,2026-09-11T19:09:02Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,100.0,523,fresh
157.90.10.104:80,157.90.10.104,80,http,626,67,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,active_scan,1,538,dbip,unknown,0,unknown,2026-09-11T06:38:43Z,unknown,hosting,,24940,Hetzner Online GmbH,Falkenstein,Saxony,geolite2,unknown,100.0,538,fresh
202.133.91.79:80,202.133.91.79,80,http,1255,65,http_fallback,2026-09-15T23:04:07Z,DE,elite,headers,False,active_scan,1,49,dbip,unknown,0,unknown,2026-09-14T08:45:41Z,unknown,unknown,,212552,BitCommand LLC,Frankfurt am Main,Hesse,geolite2,unknown,100.0,49,fresh
116.203.206.48:80,116.203.206.48,80,http,916,64,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,active_scan,1,847,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,100.0,847,fresh
185.110.189.26:80,185.110.189.26,80,http,602,67,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,active_scan,1,89,dbip,unknown,0,unknown,2026-09-12T22:38:02Z,unknown,unknown,,202269,BitCommand LLC,Frankfurt am Main,Hesse,geolite2,unknown,99.998,493,fresh
162.55.177.134:80,162.55.177.134,80,http,1219,65,http_fallback,2026-09-15T23:04:07Z,DE,elite,headers,False,active_scan,1,362,dbip,unknown,0,unknown,2026-09-10T04:12:48Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,99.998,574,fresh
93.127.160.206:80,93.127.160.206,80,http,817,64,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,active_scan,1,90,dbip,unknown,0,unknown,2026-09-12T18:38:05Z,unknown,hosting,,47447,23M GmbH,Frankfurt am Main,Hesse,geolite2,unknown,99.998,505,fresh
144.76.113.30:80,144.76.113.30,80,http,1297,57,http_fallback,2026-09-15T23:04:07Z,DE,transparent,headers,False,active_scan,1,396,dbip,unknown,0,unknown,2026-09-14T04:49:56Z,unknown,hosting,,24940,Hetzner Online GmbH,Falkenstein,Saxony,geolite2,unknown,99.998,663,fresh
144.76.112.215:80,144.76.112.215,80,http,1304,57,http_fallback,2026-09-15T23:04:07Z,DE,transparent,headers,False,active_scan,1,313,dbip,unknown,0,unknown,2026-09-14T04:49:56Z,unknown,hosting,,24940,Hetzner Online GmbH,Falkenstein,Saxony,geolite2,unknown,99.998,669,fresh
116.202.108.111:3128,116.202.108.111,3128,http,1344,62,http_fallback,2026-09-15T23:29:40Z,DE,transparent,headers,False,api,22,35,dbip,unknown,0,unknown,2026-09-12T08:29:26Z,unknown,hosting,Hetzner Online GmbH,24940,Hetzner Online GmbH,Falkenstein,Saxony,geolite2,scanner/spam,99.992,937,fresh
152.53.183.107:8081,152.53.183.107,8081,socks4,4188,63,socks4_probe,2026-09-15T22:57:59Z,DE,elite,protocol,True,github_raw,31,30,dbip,unknown,0,unknown,2026-09-10T14:25:17Z,unknown,hosting,Anexia Holding GmbH,197540,netcup GmbH,Nuremberg,Bavaria,geolite2,scanner,99.975,404,fresh
152.53.183.107:8081,152.53.183.107,8081,socks5,5052,61,socks5_probe,2026-09-15T22:57:59Z,DE,elite,protocol,True,github_raw,31,28,dbip,unknown,0,unknown,2026-09-10T14:25:17Z,unknown,hosting,Anexia Holding GmbH,197540,netcup GmbH,Nuremberg,Bavaria,geolite2,scanner,99.96,424,fresh
150.241.70.148:80,150.241.70.148,80,http,806,69,http_fallback,2026-09-15T23:22:59Z,DE,elite,headers,False,active_scan,1,29,dbip,unknown,0,unknown,2026-09-10T23:03:18Z,unknown,business,,215439,Play2go International Limited,Frankfurt am Main,Hesse,geolite2,unknown,99.896,576,fresh
47.91.65.23:3128,47.91.65.23,3128,http,1428,65,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,text_site,25,27,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",Frankfurt am Main,Hesse,geolite2,unknown,99.886,1268,fresh
141.98.153.86:80,141.98.153.86,80,http,1367,69,http_fallback,2026-09-15T23:04:07Z,DE,elite,headers,False,text_site,17,23,dbip,unknown,0,unknown,2026-09-12T11:44:56Z,unknown,hosting,Contabo GmbH,51167,Contabo GmbH,Karlsruhe,Baden-Wurttemberg,geolite2,scanner/spam,99.703,1148,fresh
103.237.102.191:11111,103.237.102.191,11111,https,2170,68,https_connect_probe,2026-09-15T23:04:07Z,DE,elite,protocol,True,api,29,15,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,,62610,Zenlayer Inc,Frankfurt am Main,Hesse,geolite2,unknown,99.297,1222,fresh
103.237.102.191:11111,103.237.102.191,11111,http,2169,66,http_probe,2026-09-15T23:04:07Z,DE,anonymous,headers,True,text_site,29,15,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,,62610,Zenlayer Inc,Frankfurt am Main,Hesse,geolite2,unknown,99.297,1205,fresh
