proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
38.156.234.192:999,38.156.234.192,999,https,1580,63,https_connect_probe,2026-09-06T20:48:48Z,DO,elite,protocol,True,github_raw,2,6,dbip,unknown,0,unknown,2026-09-06T07:35:59Z,unknown,residential,,272882,"BITNET DOMINICANA, S.R.L.",Santo Domingo Este,Santo Domingo Province,geolite2,unknown,87.698,377,fresh
38.156.235.171:999,38.156.235.171,999,https,6508,50,https_connect_probe,2026-09-06T21:01:29Z,DO,elite,protocol,True,github_raw,4,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-06T09:48:00Z,exit,residential,Bitnet Dominicana S.r.l.,272882,"BITNET DOMINICANA, S.R.L.",Santo Domingo Este,Santo Domingo Province,geolite2,none,47.627,677,fresh
38.52.222.218:999,38.52.222.218,999,https,4862,52,https_connect_probe,2026-09-06T21:01:28Z,DO,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-09-06T09:26:34Z,unknown,residential,,262221,ESTRELA TELECOM,Santo Domingo,Nacional,geolite2,unknown,44.001,790,fresh
38.191.161.158:999,38.191.161.158,999,http,5076,52,http_probe,2026-09-06T20:36:01Z,DO,anonymous,headers,True,github_raw,16,2,dbip,unknown,0,unknown,2026-09-04T05:32:47Z,unknown,residential,,273180,THREE NETWORKS SRL,Santo Domingo Este,Santo Domingo Province,geolite2,unknown,39.406,74,fresh
38.75.82.222:999,38.75.82.222,999,http,6023,50,http_probe,2026-09-06T20:49:08Z,DO,anonymous,headers,True,github_raw,18,1,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,39.226,653,fresh
154.88.132.50:8080,154.88.132.50,8080,https,6397,51,https_connect_probe,2026-09-06T20:11:05Z,DO,elite,protocol,True,github_raw,24,0,dbip,unknown,0,unknown,2026-09-05T15:19:47Z,unknown,residential,Dominican Telecom Prime DTP SRL,64126,"DOMINICAN TELECOM PRIME, DTP, S.R.L.",Santiago de los Caballeros,Santiago Province,geolite2,scanner,37.042,847,fresh
38.75.82.211:999,38.75.82.211,999,http,7887,40,http_fallback,2026-09-06T20:30:08Z,DO,transparent,headers,False,github_raw,19,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,31.161,696,fresh
200.107.205.200:999,200.107.205.200,999,https,4329,52,https_connect_probe,2026-09-06T20:11:04Z,DO,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-03T12:50:25Z,unknown,residential,,272149,DLD SERVICIO SRL,Santiago de los Caballeros,Santiago Province,geolite2,unknown,30.429,160,fresh
185.27.144.74:999,185.27.144.74,999,https,11268,46,https_connect_probe,2026-09-06T20:36:01Z,DO,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-05T14:57:01Z,unknown,residential,Mykhaylo Futerko,271935,AIRTIME TECHNOLOGY SRL,Santo Domingo Este,Santo Domingo Province,geolite2,none,28.898,873,fresh
38.156.236.83:999,38.156.236.83,999,http,7043,49,http_probe,2026-09-06T20:30:08Z,DO,anonymous,headers,True,github_raw,19,0,dbip,unknown,0,unknown,2026-08-31T07:16:22Z,unknown,residential,,272882,"BITNET DOMINICANA, S.R.L.",Santo Domingo Este,Santo Domingo Province,geolite2,unknown,28.566,379,fresh
38.75.82.218:999,38.75.82.218,999,http,9508,46,http_probe,2026-09-06T20:55:36Z,DO,anonymous,headers,True,github_raw,16,1,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,28.103,452,fresh
38.75.82.222:999,38.75.82.222,999,https,11495,44,https_connect_probe,2026-09-06T19:38:50Z,DO,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,27.557,978,fresh
38.156.89.76:999,38.156.89.76,999,https,9182,47,https_connect_probe,2026-09-06T20:36:01Z,DO,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-08-31T02:38:42Z,unknown,unknown,,272943,"OPENCONNECTION FERNANDEZ, S.R.L",Esperanza,Valverde Province,geolite2,unknown,27.056,864,fresh
38.75.82.46:999,38.75.82.46,999,https,9562,45,https_fallback,2026-09-06T20:17:12Z,DO,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-08-31T03:19:13Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,27.029,332,fresh
38.75.82.214:999,38.75.82.214,999,https,9230,46,https_connect_probe,2026-09-06T19:51:57Z,DO,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,26.36,893,fresh
38.75.82.218:999,38.75.82.218,999,https,6973,48,https_connect_probe,2026-09-06T20:11:05Z,DO,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,25.188,991,fresh
38.75.80.32:999,38.75.80.32,999,https,9982,48,https_connect_probe,2026-09-06T20:42:42Z,DO,elite,protocol,True,github_raw,22,0,dbip,unknown,0,unknown,2026-09-03T04:36:34Z,unknown,hosting,Liberty Technology SRL,272906,LIBERTY TECHNOLOGY SRL,San Cristobal,San Cristobal,ip2proxy,none,25.11,717,fresh
38.75.82.219:999,38.75.82.219,999,https,3333,54,https_connect_probe,2026-09-06T20:30:16Z,DO,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,22.005,895,fresh
204.157.251.178:999,204.157.251.178,999,https,10104,45,https_connect_probe,2026-09-06T20:49:20Z,DO,elite,protocol,True,github_raw,3,1,dbip,unknown,0,unknown,2026-09-06T20:54:00Z,unknown,unknown,,6400,Compania Dominicana de Telefonos S. A.,Santiago de los Caballeros,Santiago Province,geolite2,unknown,20.527,781,fresh
168.243.77.190:999,168.243.77.190,999,https,1833,59,https_connect_probe,2026-09-06T20:30:15Z,DO,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-04T03:45:13Z,unknown,residential,,271968,"CENTRIC MOBILITY (CEMO), S.R.L",Santiago de los Caballeros,Santiago Province,geolite2,unknown,20.184,298,fresh
38.224.150.83:999,38.224.150.83,999,https,2829,56,https_connect_probe,2026-09-06T20:30:15Z,DO,elite,protocol,True,github_raw,4,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,Aaronka Dominicana SRL,273864,AARONKA DOMINICANA SRL,Santo Domingo,Distrito Nacional (Santo Domingo),ip2proxy,none,18.346,614,fresh
38.75.82.212:999,38.75.82.212,999,https,7549,50,https_connect_probe,2026-09-06T20:11:19Z,DO,elite,protocol,True,github_raw,22,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Alcome Tech SRL.,273217,"ACOLME TECH, SRL",Santo Domingo Este,Santo Domingo Province,geolite2,none,16.523,948,fresh
