proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
186.5.94.206:999,186.5.94.206,999,https,2732,66,https_connect_probe,2026-09-26T19:15:40Z,EC,elite,protocol,True,github_raw,24,47,dbip,unknown,0,unknown,2026-09-24T05:34:57Z,unknown,residential,MINTEL,27947,Telconet S.A,Guayaquil,Guayas,geolite2,scanner/spam,99.998,1315,fresh
200.105.252.170:5678,200.105.252.170,5678,socks4,6735,59,socks4_probe,2026-09-26T19:41:16Z,EC,elite,protocol,True,github_raw,11,13,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Universidad Og Mandino,22724,PUNTONET S.A.,Quito,Pichincha,geolite2,botnet/scanner,97.92,1748,fresh
186.5.94.206:999,186.5.94.206,999,http,2468,62,http_probe,2026-09-26T19:29:02Z,EC,anonymous,headers,True,github_raw,24,6,dbip,unknown,0,unknown,2026-09-24T05:34:57Z,unknown,residential,MINTEL,27947,Telconet S.A,Guayaquil,Guayas,geolite2,scanner/spam,94.049,1381,fresh
190.57.131.158:1080,190.57.131.158,1080,socks4,2038,66,socks4_probe,2026-09-26T19:41:16Z,EC,elite,protocol,True,api,12,7,dbip,likely_residential,70,ip2proxy_lite,2026-09-21T23:45:43Z,exit,residential,Puntonet S.A.,22724,PUNTONET S.A.,Quito,Pichincha,geolite2,botnet/scanner/spam,89.426,1841,fresh
177.234.217.236:999,177.234.217.236,999,http,8094,50,http_probe,2026-09-26T19:47:29Z,EC,anonymous,headers,True,api,19,3,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,scanner/spam,85.973,1910,fresh
177.234.217.235:999,177.234.217.235,999,https,3774,58,https_connect_probe,2026-09-26T19:35:04Z,EC,elite,protocol,True,github_raw,28,3,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,scanner/spam,83.59,2180,fresh
177.234.217.236:999,177.234.217.236,999,https,3487,59,https_connect_probe,2026-09-26T19:02:58Z,EC,elite,protocol,True,github_raw,5,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,scanner/spam,83.51,2229,fresh
177.234.217.88:999,177.234.217.88,999,http,6880,53,http_probe,2026-09-26T19:22:15Z,EC,anonymous,headers,True,api,21,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,scanner/spam,82.694,1868,fresh
177.234.226.83:1994,177.234.226.83,1994,https,2322,62,https_fallback,2026-09-26T19:41:09Z,EC,elite,protocol,True,github_raw,26,4,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Montecristi,Manabí,geolite2,none,81.242,2041,fresh
45.6.224.76:1256,45.6.224.76,1256,http,6983,52,http_fallback,2026-09-26T19:47:29Z,EC,elite,headers,False,api,21,4,dbip,unknown,0,unknown,2026-09-22T18:11:16Z,unknown,residential,,265724,Teneda Corporacion CIA. LTDA,Ambato,Tungurahua Province,geolite2,unknown,79.77,1336,fresh
181.78.203.3:999,181.78.203.3,999,https,7056,53,https_connect_probe,2026-09-26T19:15:41Z,EC,elite,protocol,True,github_raw,4,5,dbip,unknown,0,unknown,2026-09-20T04:57:13Z,unknown,hosting,IFX Networks Argentina S.R.L.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,none,78.508,1905,fresh
177.234.217.88:999,177.234.217.88,999,https,6459,51,https_connect_probe,2026-09-26T19:22:21Z,EC,elite,protocol,True,github_raw,5,2,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,scanner/spam,78.327,2195,fresh
177.234.217.237:999,177.234.217.237,999,https,4236,54,https_connect_probe,2026-09-26T19:47:39Z,EC,elite,protocol,True,github_raw,4,2,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Negocios Y Telefonia Nedetel S.A.,52468,UFINET PANAMA S.A.,Quito,Pichincha,geolite2,scanner/spam,77.737,2162,fresh
