proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
84.36.141.180:1976,84.36.141.180,1976,http,8040,41,http_fallback,2026-09-26T19:47:29Z,EG,transparent,headers,False,github_raw,21,2,dbip,unknown,0,unknown,2026-09-26T15:31:25Z,unknown,residential,Nile Online,36992,ETISALAT MISR,Cairo,Cairo Governorate,geolite2,scanner/spam,71.736,1523,fresh
41.196.16.233:1981,41.196.16.233,1981,http,2758,51,http_fallback,2026-09-26T19:34:59Z,EG,transparent,headers,False,github_raw,14,4,dbip,unknown,0,unknown,2026-09-26T18:02:23Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),New Cairo,Cairo Governorate,geolite2,scanner,59.067,549,fresh
41.128.77.76:1976,41.128.77.76,1976,http,1354,55,http_fallback,2026-09-26T19:35:00Z,EG,transparent,headers,False,github_raw,21,2,dbip,unknown,0,unknown,2026-09-21T05:43:47Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),Cairo,Cairo Governorate,geolite2,scanner,58.074,1519,fresh
41.128.77.76:1981,41.128.77.76,1981,http,3528,46,http_fallback,2026-09-26T19:15:39Z,EG,transparent,headers,False,github_raw,17,0,dbip,unknown,0,unknown,2026-09-21T05:43:47Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),Cairo,Cairo Governorate,geolite2,scanner,50.133,1487,fresh
197.164.101.13:1976,197.164.101.13,1976,http,7429,42,http_fallback,2026-09-26T19:47:29Z,EG,transparent,headers,False,github_raw,16,3,dbip,unknown,0,unknown,2026-09-25T10:46:28Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),Cairo,Cairo Governorate,geolite2,spam,49.434,1460,fresh
41.196.16.233:1976,41.196.16.233,1976,http,4433,44,http_fallback,2026-09-26T19:15:39Z,EG,transparent,headers,False,github_raw,13,0,dbip,unknown,0,unknown,2026-09-26T18:02:23Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),New Cairo,Cairo Governorate,geolite2,scanner,47.257,561,fresh
197.164.101.14:1976,197.164.101.14,1976,http,5890,43,http_fallback,2026-09-26T19:22:16Z,EG,transparent,headers,False,api,16,2,dbip,unknown,0,unknown,2026-09-26T06:09:48Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),Cairo,Cairo Governorate,geolite2,scanner,44.322,877,fresh
196.204.26.243:1976,196.204.26.243,1976,http,4039,46,http_fallback,2026-09-26T19:41:06Z,EG,transparent,headers,False,api,19,2,dbip,unknown,0,unknown,2026-09-24T23:12:06Z,unknown,wireless,Vodafone Egypt,24835,Vodafone Data,Cairo,Cairo Governorate,geolite2,scanner,42.356,582,fresh
41.128.72.142:1981,41.128.72.142,1981,http,3922,45,http_fallback,2026-09-26T19:48:04Z,EG,transparent,headers,False,api,18,1,dbip,unknown,0,unknown,2026-09-22T19:14:27Z,unknown,residential,Link Egypt,24863,Link Egypt (Link.NET),Cairo,Cairo Governorate,geolite2,none,36.87,489,fresh
84.36.141.180:1981,84.36.141.180,1981,http,2469,49,http_fallback,2026-09-26T19:48:03Z,EG,transparent,headers,False,api,20,1,dbip,unknown,0,unknown,2026-09-26T15:31:25Z,unknown,residential,Nile Online,36992,ETISALAT MISR,Cairo,Cairo Governorate,geolite2,scanner/spam,27.378,1469,fresh
