proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
65.21.202.233:80,65.21.202.233,80,http,1369,56,http_fallback,2026-09-19T17:26:06Z,FI,transparent,headers,False,active_scan,1,70,dbip,unknown,0,unknown,2026-09-14T04:27:59Z,unknown,hosting,,24940,Hetzner Online GmbH,Helsinki,Uusimaa,geolite2,unknown,99.998,166,fresh
57.128.231.218:1004,57.128.231.218,1004,socks4,3018,65,socks4_probe,2026-09-19T16:54:42Z,FI,elite,protocol,True,github_raw,13,37,dbip,unknown,0,unknown,2026-09-16T06:10:05Z,unknown,hosting,,51765,Oy Crea Nova Hosting Solution Ltd,Helsinki,Uusimaa,geolite2,unknown,99.993,190,fresh
85.209.156.148:1080,85.209.156.148,1080,socks4,4104,63,socks4_probe,2026-09-19T17:00:52Z,FI,elite,protocol,True,api,15,36,dbip,unknown,0,unknown,2026-09-15T01:03:07Z,unknown,hosting,Beafort Limited,51765,Oy Crea Nova Hosting Solution Ltd,Los Angeles,California,geolite2,scanner/spam,99.981,884,fresh
85.209.156.148:1080,85.209.156.148,1080,socks5,5821,60,socks5_probe,2026-09-19T17:00:54Z,FI,elite,protocol,True,api,15,34,dbip,unknown,0,unknown,2026-09-15T01:03:07Z,unknown,hosting,Beafort Limited,51765,Oy Crea Nova Hosting Solution Ltd,Los Angeles,California,geolite2,scanner/spam,99.976,882,fresh
85.209.156.148:1080,85.209.156.148,1080,https,3940,63,https_connect_probe,2026-09-19T17:32:35Z,FI,elite,protocol,True,html_table,6,17,dbip,unknown,0,unknown,2026-09-15T01:03:07Z,unknown,hosting,Beafort Limited,51765,Oy Crea Nova Hosting Solution Ltd,Los Angeles,California,geolite2,scanner/spam,99.515,965,fresh
85.209.156.148:1080,85.209.156.148,1080,http,5424,59,http_probe,2026-09-19T17:39:08Z,FI,anonymous,headers,True,github_raw,20,9,dbip,unknown,0,unknown,2026-09-15T01:03:07Z,unknown,hosting,Beafort Limited,51765,Oy Crea Nova Hosting Solution Ltd,Los Angeles,California,geolite2,scanner/spam,96.846,964,fresh
66.151.34.89:80,66.151.34.89,80,http,1452,67,http_fallback,2026-09-19T17:26:06Z,FI,elite,headers,False,github_raw,17,7,dbip,unknown,0,unknown,2026-09-15T04:36:54Z,unknown,hosting,Hostkey B.V.,57043,Hostkey B.v.,Helsinki,Uusimaa,geolite2,none,92.174,622,fresh
57.128.231.218:1004,57.128.231.218,1004,socks5,2271,61,socks5_probe,2026-09-19T17:39:21Z,FI,elite,protocol,True,github_raw,14,2,dbip,unknown,0,unknown,2026-09-16T06:10:05Z,unknown,hosting,,51765,Oy Crea Nova Hosting Solution Ltd,Helsinki,Uusimaa,geolite2,unknown,75.814,109,fresh
77.221.158.175:3128,77.221.158.175,3128,https,2353,59,https_connect_probe,2026-09-19T17:39:09Z,FI,elite,protocol,True,github_raw,8,1,dbip,unknown,0,unknown,2026-09-15T04:58:29Z,unknown,hosting,Aeza Group LLC,210644,Aeza Group LLC,Helsinki,Uusimaa,geolite2,scanner,74.459,1130,fresh
65.21.252.66:10811,65.21.252.66,10811,socks5,6733,49,socks5_fallback,2026-09-19T16:35:49Z,FI,elite,protocol,False,api,14,0,dbip,unknown,0,unknown,2026-09-18T15:21:58Z,unknown,unknown,,136557,Host Universal Pty Ltd,Melbourne,Victoria,geolite2,unknown,66.702,1426,fresh
31.77.151.149:8090,31.77.151.149,8090,http,3097,55,http_fallback,2026-09-19T17:32:34Z,FI,elite,headers,False,api,18,1,dbip,unknown,0,unknown,2026-09-19T04:53:46Z,unknown,business,Play2Go.Cloud - Cheap and Reliable Hosting,215439,Play2go International Limited,Helsinki,Uusimaa,geolite2,scanner,64.53,397,fresh
135.181.116.225:3001,135.181.116.225,3001,https,4696,51,https_connect_probe,2026-09-19T17:00:45Z,FI,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-19T02:43:52Z,unknown,hosting,Hetzner Online GmbH,24940,Hetzner Online GmbH,Helsinki,Uusimaa,geolite2,none,58.098,1107,fresh
194.113.38.196:3128,194.113.38.196,3128,http,6032,42,http_fallback,2026-09-19T17:07:24Z,FI,transparent,headers,False,api,20,0,dbip,unknown,0,unknown,2026-09-19T11:04:54Z,unknown,business,Xorek.Cloud Helsinki,215590,DpkgSoft International Limited,Helsinki,Uusimaa,ip2proxy,none,56.414,1231,fresh
65.21.252.66:10812,65.21.252.66,10812,socks5,8154,48,socks5_fallback,2026-09-19T16:35:50Z,FI,elite,protocol,False,text_site,14,0,dbip,unknown,0,unknown,2026-09-18T14:39:38Z,unknown,unknown,,9009,M247 Europe SRL,Copenhagen,Capital Region,geolite2,unknown,56.277,126,fresh
65.108.159.129:8081,65.108.159.129,8081,http,2500,57,http_fallback,2026-09-19T17:39:08Z,FI,elite,headers,False,github_raw,18,1,dbip,unknown,0,unknown,2026-09-19T10:43:48Z,unknown,hosting,Hetzner Online GmbH,24940,Hetzner Online GmbH,Helsinki,Uusimaa,geolite2,scanner,48.346,1540,fresh
65.108.159.129:4145,65.108.159.129,4145,http,2431,57,http_fallback,2026-09-19T17:39:08Z,FI,elite,headers,False,github_raw,16,1,dbip,unknown,0,unknown,2026-09-19T10:43:48Z,unknown,hosting,Hetzner Online GmbH,24940,Hetzner Online GmbH,Helsinki,Uusimaa,geolite2,scanner,47.735,1527,fresh
77.221.158.175:3128,77.221.158.175,3128,http,2454,57,http_probe,2026-09-19T17:19:33Z,FI,anonymous,headers,True,github_raw,20,0,dbip,unknown,0,unknown,2026-09-15T04:58:29Z,unknown,hosting,Aeza Group LLC,210644,Aeza Group LLC,Helsinki,Uusimaa,geolite2,scanner,47.138,908,fresh
66.151.34.192:1080,66.151.34.192,1080,socks5,4676,54,socks5_probe,2026-09-19T16:35:50Z,FI,elite,protocol,True,text_site,16,0,dbip,unknown,0,unknown,2026-09-18T18:13:25Z,unknown,hosting,,57043,Hostkey B.v.,Helsinki,Uusimaa,geolite2,unknown,41.943,115,fresh
65.108.159.129:8080,65.108.159.129,8080,http,4972,51,http_probe,2026-09-19T17:32:50Z,FI,anonymous,headers,True,github_raw,17,1,dbip,unknown,0,unknown,2026-09-19T10:43:48Z,unknown,hosting,Hetzner Online GmbH,24940,Hetzner Online GmbH,Helsinki,Uusimaa,geolite2,scanner,36.184,1641,fresh
65.108.159.129:999,65.108.159.129,999,http,3950,53,http_probe,2026-09-19T17:32:53Z,FI,anonymous,headers,True,github_raw,8,1,dbip,unknown,0,unknown,2026-09-19T10:21:58Z,unknown,hosting,Hetzner Online GmbH,24940,Hetzner Online GmbH,Helsinki,Uusimaa,geolite2,none,35.781,1369,fresh
65.21.252.66:10814,65.21.252.66,10814,socks5,10259,48,socks5_probe,2026-09-19T16:23:25Z,FI,elite,protocol,True,text_site,14,0,dbip,unknown,0,unknown,2026-09-19T16:25:45Z,unknown,hosting,,63023,GTHost,Santa Clara,California,geolite2,unknown,32.011,129,fresh
65.21.252.66:10809,65.21.252.66,10809,socks5,3738,56,socks5_probe,2026-09-19T17:20:13Z,FI,elite,protocol,True,github_raw,16,0,dbip,unknown,0,unknown,2026-09-19T17:30:30Z,unknown,unknown,,23959,Owl Limited,Osaka,Osaka,geolite2,unknown,19.466,275,fresh
