proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
62.210.215.36:80,62.210.215.36,80,http,1153,69,http_fallback,2026-09-06T20:48:47Z,FR,anonymous,headers,False,github_raw,16,45,dbip,unknown,0,unknown,2026-09-03T13:54:51Z,unknown,hosting,Scaleway SAS,12876,Scaleway SAS,Paris,Ile-de-France,ip2proxy,scanner,99.998,571,fresh
91.134.141.4:3128,91.134.141.4,3128,http,1955,67,http_probe,2026-09-06T20:48:47Z,FR,anonymous,headers,True,api,7,113,dbip,unknown,0,unknown,2026-09-04T22:35:35Z,unknown,hosting,OVH SAS,16276,OVH SAS,Roubaix,Hauts-de-France,ip2proxy,none,99.998,263,fresh
45.95.233.128:1082,45.95.233.128,1082,socks5,2702,66,socks5_probe,2026-09-06T20:23:57Z,FR,elite,protocol,True,github_raw,27,41,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Ile-de-France,ip2proxy,scanner,99.998,939,fresh
195.154.84.121:10801,195.154.84.121,10801,https,1932,65,https_connect_probe,2026-09-06T20:17:12Z,FR,elite,protocol,True,github_raw,2,100,dbip,unknown,0,unknown,2026-09-06T20:31:41Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,99.998,780,fresh
91.134.141.4:3128,91.134.141.4,3128,https,1933,65,https_connect_probe,2026-09-06T20:17:12Z,FR,elite,protocol,True,github_raw,2,100,dbip,unknown,0,unknown,2026-09-04T22:35:35Z,unknown,hosting,OVH SAS,16276,OVH SAS,Roubaix,Hauts-de-France,ip2proxy,none,99.998,263,fresh
195.154.84.121:10801,195.154.84.121,10801,http,2595,62,http_fallback,2026-09-06T20:17:11Z,FR,elite,headers,False,github_raw,3,96,dbip,unknown,0,unknown,2026-09-06T20:31:41Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,99.998,813,fresh
195.154.84.121:10800,195.154.84.121,10800,https,2990,61,https_connect_probe,2026-09-06T20:17:12Z,FR,elite,protocol,True,github_raw,2,100,dbip,unknown,0,unknown,2026-09-06T20:31:41Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,99.998,783,fresh
37.59.125.131:8888,37.59.125.131,8888,https,5290,61,https_connect_probe,2026-09-06T20:23:51Z,FR,elite,protocol,True,github_raw,29,115,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,12322,Free SAS,,,unknown,unknown,99.998,963,fresh
37.59.125.131:8888,37.59.125.131,8888,http,5354,59,http_probe,2026-09-06T20:23:50Z,FR,anonymous,headers,True,api,29,99,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,12322,Free SAS,,,unknown,unknown,99.998,993,fresh
195.154.84.121:10800,195.154.84.121,10800,http,5774,55,http_probe,2026-09-06T20:48:47Z,FR,anonymous,headers,True,github_raw,3,135,dbip,unknown,0,unknown,2026-09-06T20:54:00Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,99.998,818,fresh
45.95.233.128:1082,45.95.233.128,1082,socks4,3968,63,socks4_probe,2026-09-06T20:23:54Z,FR,elite,protocol,True,github_raw,27,29,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Ile-de-France,ip2proxy,scanner,99.97,1099,fresh
109.172.55.227:1082,109.172.55.227,1082,socks4,4930,62,socks4_probe,2026-09-06T20:23:54Z,FR,elite,protocol,True,github_raw,27,27,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Île-de-France,geolite2,scanner/spam,99.924,1119,fresh
109.172.55.227:1082,109.172.55.227,1082,socks5,1615,68,socks5_fallback,2026-09-06T20:17:20Z,FR,elite,protocol,False,github_raw,27,19,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Île-de-France,geolite2,scanner/spam,99.705,1063,fresh
45.95.233.88:1082,45.95.233.88,1082,socks5,2115,68,socks5_probe,2026-09-06T20:30:01Z,FR,elite,protocol,True,github_raw,17,18,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Ile-de-France,ip2proxy,scanner,99.64,1001,fresh
35.181.168.157:443,35.181.168.157,443,http,487,69,http_fallback,2026-09-06T20:17:11Z,FR,unknown,unknown,False,github_raw,2,22,dbip,unknown,0,unknown,2026-09-06T04:25:33Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Paris,Île-de-France,geolite2,none,99.262,51,fresh
109.172.55.177:1082,109.172.55.177,1082,socks4,5986,60,socks4_probe,2026-09-06T20:55:24Z,FR,elite,protocol,True,api,27,12,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Île-de-France,geolite2,scanner,97.966,1118,fresh
109.172.55.177:1082,109.172.55.177,1082,socks5,2121,68,socks5_probe,2026-09-06T20:23:57Z,FR,elite,protocol,True,api,27,12,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Île-de-France,geolite2,scanner,97.351,1154,fresh
35.181.168.157:443,35.181.168.157,443,socks4,706,66,socks4_fallback,2026-09-06T20:48:58Z,FR,unknown,unknown,False,github_raw,1,16,dbip,unknown,0,unknown,2026-09-06T04:25:33Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Paris,Île-de-France,geolite2,none,97.186,45,fresh
45.95.233.88:1082,45.95.233.88,1082,socks4,3434,60,socks4_fallback,2026-09-06T20:23:53Z,FR,elite,protocol,False,github_raw,15,7,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Ile-de-France,ip2proxy,scanner,94.773,1109,fresh
35.181.168.157:443,35.181.168.157,443,socks5,962,63,socks5_fallback,2026-09-06T20:55:28Z,FR,unknown,unknown,False,github_raw,1,12,dbip,unknown,0,unknown,2026-09-06T04:25:33Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Paris,Île-de-France,geolite2,none,93.128,42,fresh
163.172.167.48:80,163.172.167.48,80,http,1163,69,http_fallback,2026-09-06T20:17:11Z,FR,elite,headers,False,github_raw,18,7,dbip,unknown,0,unknown,2026-09-03T04:58:18Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,89.269,787,fresh
51.178.49.241:1088,51.178.49.241,1088,socks5,2807,62,socks5_probe,2026-09-06T20:48:59Z,FR,elite,protocol,True,api,15,5,dbip,unknown,0,unknown,2026-08-31T07:16:22Z,unknown,hosting,OVH SAS,16276,OVH SAS,Strasbourg,Grand-Est,ip2proxy,scanner/spam,87.083,488,fresh
202.133.88.173:80,202.133.88.173,80,http,1570,61,http_fallback,2026-09-06T20:55:22Z,FR,elite,headers,False,github_raw,18,2,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Deployish Limited,212552,BitCommand LLC,Paris,Île-de-France,geolite2,scanner/spam,86.838,1052,fresh
156.67.110.124:10808,156.67.110.124,10808,http,2016,62,http_probe,2026-09-06T20:29:56Z,FR,anonymous,headers,True,github_raw,20,5,dbip,unknown,0,unknown,2026-09-05T04:59:54Z,unknown,hosting,,141995,Contabo Asia Private Limited,Mumbai,Maharashtra,geolite2,unknown,85.85,63,fresh
212.47.232.28:80,212.47.232.28,80,http,3531,58,http_fallback,2026-09-06T20:17:11Z,FR,elite,headers,False,github_raw,17,5,dbip,unknown,0,unknown,2026-09-02T04:35:18Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,83.384,1049,fresh
156.67.110.124:10808,156.67.110.124,10808,https,2242,60,https_connect_probe,2026-09-06T21:01:29Z,FR,elite,protocol,True,github_raw,3,4,dbip,unknown,0,unknown,2026-09-05T04:59:54Z,unknown,hosting,,141995,Contabo Asia Private Limited,Mumbai,Maharashtra,geolite2,unknown,76.344,63,fresh
37.187.74.125:80,37.187.74.125,80,http,1192,67,http_fallback,2026-09-06T20:42:42Z,FR,elite,headers,False,api,12,5,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,16276,OVH SAS,,,unknown,unknown,75.212,1134,fresh
62.133.62.18:1082,62.133.62.18,1082,socks4,1856,62,socks4_probe,2026-09-06T20:36:05Z,FR,elite,protocol,True,api,15,2,dbip,unknown,0,unknown,2026-09-05T11:44:27Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Paris,Île-de-France,geolite2,scanner,64.357,1092,fresh
51.159.149.245:80,51.159.149.245,80,socks5,6239,52,socks5_probe,2026-09-06T20:55:28Z,FR,elite,protocol,True,github_raw,14,1,dbip,unknown,0,unknown,2026-09-02T20:49:28Z,unknown,hosting,,12876,Scaleway SAS,Paris,Île-de-France,geolite2,unknown,61.842,85,fresh
176.191.124.3:80,176.191.124.3,80,http,3895,51,http_fallback,2026-09-06T19:58:22Z,FR,anonymous,headers,False,api,17,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T13:51:22Z,exit,residential,Bouygues Telecom SA,5410,Bouygues Telecom SA,Grenoble,Rhône-Alpes,geolite2,none,60.81,895,fresh
