proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
109.205.182.143:1088,109.205.182.143,1088,socks5,3257,65,socks5_probe,2026-09-26T19:03:06Z,GB,elite,protocol,True,api,15,136,dbip,unknown,0,unknown,2026-09-22T02:40:56Z,unknown,hosting,,51167,Contabo GmbH,Lauterbourg,Grand Est,geolite2,unknown,100.0,136,fresh
185.87.255.47:1080,185.87.255.47,1080,socks5,2408,67,socks5_probe,2026-09-26T19:03:06Z,GB,elite,protocol,True,github_raw,16,98,dbip,unknown,0,unknown,2026-09-20T02:46:53Z,unknown,unknown,,215089,Fast Panda Limited,London,England,geolite2,unknown,99.998,195,fresh
185.87.255.54:1080,185.87.255.54,1080,socks5,2525,67,socks5_probe,2026-09-26T19:03:06Z,GB,elite,protocol,True,api,16,66,dbip,unknown,0,unknown,2026-09-26T03:15:40Z,unknown,hosting,Niobe Bilisim Ltd. Sti.,215089,Fast Panda Limited,London,England,geolite2,none,99.998,223,fresh
144.91.111.48:1088,144.91.111.48,1088,socks5,3146,65,socks5_probe,2026-09-26T19:03:06Z,GB,elite,protocol,True,api,17,217,dbip,unknown,0,unknown,2026-09-25T21:04:37Z,unknown,hosting,Contabo GmbH,51167,Contabo GmbH,Lauterbourg,Grand Est,geolite2,scanner/spam,99.998,1156,fresh
213.199.47.140:1080,213.199.47.140,1080,socks5,3157,65,socks5_probe,2026-09-26T19:22:28Z,GB,elite,protocol,True,api,17,136,dbip,unknown,0,unknown,2026-09-26T08:16:56Z,unknown,hosting,Contabo GmbH,51167,Contabo GmbH,Lauterbourg,Grand Est,geolite2,scanner/spam,99.998,1048,fresh
144.91.121.61:1088,144.91.121.61,1088,socks5,9820,56,socks5_probe,2026-09-26T19:03:06Z,GB,elite,protocol,True,api,17,116,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Contabo GmbH,51167,Contabo GmbH,Lauterbourg,Grand Est,geolite2,scanner/spam,99.998,1493,fresh
192.252.210.233:4145,192.252.210.233,4145,socks4,1190,71,socks4_fallback,2026-09-26T19:15:50Z,GB,elite,protocol,False,api,9,22,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Performive LLC,46562,Performive LLC,Marietta,Georgia,ip2proxy,scanner/spam,99.758,1595,fresh
144.31.58.13:80,144.31.58.13,80,http,1217,56,http_fallback,2026-09-26T19:41:06Z,GB,transparent,headers,False,active_scan,1,8,dbip,unknown,0,unknown,2026-09-23T03:16:39Z,unknown,unknown,,26383,Baxet Group Inc.,City of London,England,geolite2,unknown,94.498,112,fresh
157.90.113.23:9052,157.90.113.23,9052,socks5,3204,65,socks5_probe,2026-09-26T19:22:28Z,GB,elite,protocol,True,api,16,9,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,hosting,,20860,Iomart Cloud Services Limited,Maidenhead,England,geolite2,unknown,94.462,1010,fresh
109.199.119.160:80,109.199.119.160,80,http,1455,67,http_fallback,2026-09-26T19:22:14Z,GB,elite,headers,False,github_raw,18,7,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Contabo GmbH,51167,Contabo GmbH,Lauterbourg,Grand Est,geolite2,scanner/spam,90.174,1570,fresh
