proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
190.14.5.164:5678,190.14.5.164,5678,socks4,4348,60,socks4_fallback,2026-09-26T19:15:50Z,GT,elite,protocol,False,github_raw,11,28,dbip,unknown,0,unknown,2026-09-20T09:35:49Z,unknown,hosting,Navega.com S.A.,26617,Navega.com S.A.,Guatemala City,Guatemala,ip2proxy,scanner,99.937,1431,fresh
38.41.225.174:8888,38.41.225.174,8888,socks4,3596,61,socks4_probe,2026-09-26T19:35:10Z,GT,elite,protocol,True,api,15,6,dbip,unknown,0,unknown,2026-09-20T11:25:38Z,unknown,residential,Innova Outsourcing S.A,264764,Innova Outsourcing S.A,Guatemala City,Guatemala,ip2proxy,scanner,92.398,1577,fresh
181.119.179.99:8080,181.119.179.99,8080,https,2619,57,https_connect_probe,2026-09-26T19:35:02Z,GT,elite,protocol,True,github_raw,2,4,dbip,unknown,0,unknown,2026-09-25T03:53:21Z,unknown,hosting,IFX Networks Argentina S.R.L.,52468,UFINET PANAMA S.A.,Guatemala City,Guatemala,geolite2,none,85.07,1007,fresh
45.186.106.145:3128,45.186.106.145,3128,https,1626,64,https_connect_probe,2026-09-26T19:47:30Z,GT,elite,protocol,True,github_raw,2,7,dbip,unknown,0,unknown,2026-09-21T15:50:14Z,unknown,residential,Infinitum S.A.,52468,UFINET PANAMA S.A.,Guatemala City,Guatemala,geolite2,none,83.906,1737,fresh
200.119.141.114:999,200.119.141.114,999,https,5709,56,https_connect_probe,2026-09-26T19:47:34Z,GT,elite,protocol,True,github_raw,7,5,dbip,unknown,0,unknown,2026-09-26T11:11:21Z,unknown,wireless,Telecomunicaciones de Guatemala Sociedad Anonima,13682,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA",Guatemala City,Guatemala,geolite2,none,78.669,1979,fresh
200.119.141.114:999,200.119.141.114,999,http,6280,54,http_probe,2026-09-26T19:29:02Z,GT,anonymous,headers,True,github_raw,15,5,dbip,unknown,0,unknown,2026-09-26T11:11:21Z,unknown,wireless,Telecomunicaciones de Guatemala Sociedad Anonima,13682,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA",Guatemala City,Guatemala,geolite2,none,75.446,1486,fresh
138.117.231.133:999,138.117.231.133,999,https,6833,50,https_fallback,2026-09-26T19:35:08Z,GT,elite,protocol,True,github_raw,4,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T13:42:38Z,exit,residential,Fibernet S.A,269989,FIBERNET S.A,Huehuetenango,Departamento de Huehuetenango,geolite2,scanner,60.97,1691,fresh
45.5.119.17:999,45.5.119.17,999,http,3499,46,http_fallback,2026-09-26T19:48:02Z,GT,transparent,headers,False,github_raw,21,1,dbip,unknown,0,unknown,2026-09-21T18:18:17Z,unknown,residential,Infinitum S.A.,52468,UFINET PANAMA S.A.,Guatemala City,Guatemala,geolite2,none,51.596,1339,fresh
181.119.179.99:8080,181.119.179.99,8080,http,3737,50,http_probe,2026-09-26T19:02:55Z,GT,anonymous,headers,True,github_raw,2,0,dbip,unknown,0,unknown,2026-09-25T03:53:21Z,unknown,hosting,IFX Networks Argentina S.R.L.,52468,UFINET PANAMA S.A.,Guatemala City,Guatemala,geolite2,none,48.79,1084,fresh
148.230.27.77:999,148.230.27.77,999,https,4750,53,https_fallback,2026-09-26T19:41:13Z,GT,elite,protocol,True,github_raw,4,2,dbip,unknown,0,unknown,2026-09-25T21:27:21Z,unknown,hosting,Navega.com S.A.,23243,COMCEL GUATEMALA S.A.,Guatemala City,Guatemala,geolite2,none,44.365,1976,fresh
