proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
101.32.60.93:1080,101.32.60.93,1080,socks4,3600,64,socks4_probe,2026-09-26T19:47:43Z,HK,elite,protocol,True,github_raw,12,51,dbip,unknown,0,unknown,2026-09-25T03:10:24Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Hong Kong,,geolite2,unknown,100.0,51,fresh
43.161.221.29:80,43.161.221.29,80,http,299,76,http_fallback,2026-09-26T19:15:39Z,HK,elite,headers,False,active_scan,1,113,dbip,unknown,0,unknown,2026-09-20T07:29:36Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Hong Kong,,geolite2,unknown,99.998,191,fresh
47.243.92.199:3128,47.243.92.199,3128,http,332,76,http_fallback,2026-09-26T19:15:39Z,HK,unknown,unknown,False,api,26,129,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Alibaba Cloud - HK,45102,"Alibaba (US) Technology Co., Ltd.",Hong Kong,,geolite2,botnet/scanner/spam,99.998,1530,fresh
27.124.12.186:1080,27.124.12.186,1080,socks4,897,75,socks4_probe,2026-09-26T19:15:50Z,HK,elite,protocol,True,api,14,47,dbip,unknown,0,unknown,2026-09-22T06:38:42Z,unknown,hosting,RackIP Consultancy Pte. Ltd.,152194,CTG Server Limited,Shatin,Sha Tin,geolite2,scanner/spam,99.998,332,fresh
27.124.12.186:1080,27.124.12.186,1080,socks5,7840,56,socks5_fallback,2026-09-26T19:22:28Z,HK,elite,protocol,False,github_raw,16,32,dbip,unknown,0,unknown,2026-09-22T06:38:42Z,unknown,hosting,RackIP Consultancy Pte. Ltd.,152194,CTG Server Limited,Shatin,Sha Tin,geolite2,scanner/spam,99.985,336,fresh
101.32.60.93:1080,101.32.60.93,1080,socks5,3614,64,socks5_probe,2026-09-26T19:03:06Z,HK,elite,protocol,True,api,15,28,dbip,unknown,0,unknown,2026-09-25T03:10:24Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Hong Kong,,geolite2,unknown,99.962,52,fresh
163.223.77.236:6666,163.223.77.236,6666,socks5,3636,63,socks5_probe,2026-09-26T19:35:14Z,HK,elite,protocol,True,github_raw,15,8,dbip,unknown,0,unknown,2026-09-23T14:28:57Z,unknown,hosting,,135391,AOFEI DATA INTERNATIONAL COMPANY LIMITED,,,unknown,unknown,96.643,112,fresh
176.111.37.216:39811,176.111.37.216,39811,https,2185,68,https_connect_probe,2026-09-26T19:22:17Z,HK,elite,protocol,True,github_raw,27,9,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Cogento Backbone Limited,214743,Cogento Backbone Limited,Nuremberg,Bayern,ip2proxy,scanner/spam,96.48,1686,fresh
47.243.222.214:1080,47.243.222.214,1080,socks5,8487,55,socks5_fallback,2026-09-26T19:15:54Z,HK,elite,protocol,False,api,16,10,dbip,unknown,0,unknown,2026-09-23T08:20:45Z,unknown,hosting,Alibaba Cloud - HK,45102,"Alibaba (US) Technology Co., Ltd.",Hong Kong,,geolite2,scanner,96.166,668,fresh
176.111.37.216:39811,176.111.37.216,39811,http,2288,65,http_probe,2026-09-26T19:22:14Z,HK,anonymous,headers,True,github_raw,27,9,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Cogento Backbone Limited,214743,Cogento Backbone Limited,Nuremberg,Bayern,ip2proxy,scanner/spam,96.037,1618,fresh
203.19.38.114:1080,203.19.38.114,1080,http,378,73,http_fallback,2026-09-26T19:47:29Z,HK,elite,headers,False,github_raw,19,3,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,ChinaNet Fujian Province Network,23764,CTGNet,Hong Kong,Hong Kong,ip2proxy,botnet/scanner/spam,88.706,1481,fresh
165.154.20.187:10808,165.154.20.187,10808,https,4542,60,https_connect_probe,2026-09-26T19:02:57Z,HK,elite,protocol,True,html_table,32,7,dbip,unknown,0,unknown,2026-09-26T11:11:21Z,unknown,unknown,,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Hong Kong,,geolite2,unknown,87.162,2122,fresh
36.155.23.163:10808,36.155.23.163,10808,socks4,654,69,socks4_probe,2026-09-26T19:35:10Z,HK,elite,protocol,True,github_raw,13,1,dbip,unknown,0,unknown,2026-09-25T13:58:58Z,unknown,hosting,,21859,Zenlayer Inc,Hong Kong,,geolite2,unknown,83.282,426,fresh
47.243.222.214:1080,47.243.222.214,1080,socks4,8708,47,socks4_fallback,2026-09-26T19:41:16Z,HK,elite,protocol,False,github_raw,15,1,dbip,unknown,0,unknown,2026-09-23T08:20:45Z,unknown,hosting,Alibaba Cloud - HK,45102,"Alibaba (US) Technology Co., Ltd.",Hong Kong,,geolite2,scanner,82.411,324,fresh
