proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
181.115.74.172:5678,181.115.74.172,5678,socks4,1481,71,socks4_probe,2026-09-26T19:15:50Z,HN,elite,protocol,True,github_raw,10,9,dbip,unknown,0,unknown,2026-09-26T11:11:21Z,unknown,business,Sercom de Honduras,14754,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA",San Pedro Sula,Cortés Department,geolite2,botnet/scanner/spam,90.253,1899,fresh
192.141.165.131:999,192.141.165.131,999,https,5804,53,https_connect_probe,2026-09-26T19:47:34Z,HN,elite,protocol,True,github_raw,4,4,dbip,unknown,0,unknown,2026-09-25T09:38:46Z,unknown,residential,Denis Javier Rodriguez Guzman,265788,Denis Javier Rodriguez Guzman(BRYMANET),Catacamas,Olancho Department,geolite2,none,82.094,1070,fresh
181.115.75.102:5678,181.115.75.102,5678,socks4,2683,60,socks4_fallback,2026-09-26T19:03:05Z,HN,elite,protocol,False,api,16,5,dbip,unknown,0,unknown,2026-09-21T05:22:47Z,unknown,business,Sercom de Honduras,14754,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA",San Pedro Sula,Cortés Department,geolite2,botnet/scanner,77.733,1794,fresh
200.107.239.218:999,200.107.239.218,999,https,5065,52,https_connect_probe,2026-09-26T19:29:12Z,HN,elite,protocol,True,github_raw,4,2,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,business,Amplicolor,27932,Redes y Telecomunicaciones,San Pedro Sula,Cortés Department,geolite2,none,74.678,1822,fresh
181.119.190.196:999,181.119.190.196,999,https,10980,45,https_connect_probe,2026-09-26T19:09:23Z,HN,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-20T12:07:00Z,unknown,unknown,,52468,UFINET PANAMA S.A.,,,unknown,unknown,58.586,1936,fresh
164.163.73.69:999,164.163.73.69,999,https,6347,52,https_fallback,2026-09-26T19:35:02Z,HN,elite,protocol,True,github_raw,25,1,dbip,unknown,0,unknown,2026-09-23T15:31:29Z,unknown,residential,,265767,GRUPO INMA S.A,Santa Rosa de Copán,Copán Department,geolite2,unknown,49.865,2037,fresh
45.68.63.201:999,45.68.63.201,999,https,4586,52,https_connect_probe,2026-09-26T19:41:16Z,HN,elite,protocol,True,github_raw,3,2,dbip,unknown,0,unknown,2026-09-25T01:21:52Z,unknown,hosting,Pit Honduras S. de R.L. de C.V.,64150,PIT HONDURAS S. DE R.L. DE C.V.,San Pedro Sula,Cortés Department,geolite2,none,39.954,1880,fresh
164.163.73.5:999,164.163.73.5,999,https,5421,52,https_connect_probe,2026-09-26T19:29:03Z,HN,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-23T15:31:29Z,unknown,residential,,265767,GRUPO INMA S.A,Santa Rosa de Copán,Copán Department,geolite2,unknown,35.203,1621,fresh
200.107.239.218:999,200.107.239.218,999,http,4048,53,http_probe,2026-09-26T19:15:58Z,HN,anonymous,headers,True,github_raw,22,0,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,business,Amplicolor,27932,Redes y Telecomunicaciones,San Pedro Sula,Cortés Department,geolite2,none,31.433,864,fresh
181.78.44.63:999,181.78.44.63,999,https,8959,49,https_connect_probe,2026-09-26T19:23:10Z,HN,elite,protocol,True,api,28,0,dbip,unknown,0,unknown,2026-09-26T19:50:19Z,unknown,residential,Ufinet Honduras S. A.,52468,UFINET PANAMA S.A.,San Pedro Sula,Cortes,ip2proxy,scanner/spam,30.041,2123,fresh
200.115.96.50:999,200.115.96.50,999,https,7554,48,https_connect_probe,2026-09-26T18:56:26Z,HN,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-20T15:42:28Z,unknown,unknown,,269919,HONDUVISION SRL,Tegucigalpa,Francisco Morazán Department,geolite2,unknown,27.674,1883,fresh
181.119.190.196:999,181.119.190.196,999,http,4970,51,http_probe,2026-09-26T19:48:02Z,HN,anonymous,headers,True,github_raw,21,1,dbip,unknown,0,unknown,2026-09-20T12:07:00Z,unknown,unknown,,52468,UFINET PANAMA S.A.,,,unknown,unknown,24.271,1315,fresh
164.163.73.153:999,164.163.73.153,999,https,11225,46,https_connect_probe,2026-09-26T18:36:58Z,HN,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-23T15:31:29Z,unknown,residential,,265767,GRUPO INMA S.A,Santa Rosa de Copán,Copán Department,geolite2,unknown,23.953,1989,fresh
181.78.44.63:999,181.78.44.63,999,http,8731,47,http_probe,2026-09-26T19:15:57Z,HN,anonymous,headers,True,github_raw,28,0,dbip,unknown,0,unknown,2026-09-26T19:50:19Z,unknown,residential,Ufinet Honduras S. A.,52468,UFINET PANAMA S.A.,San Pedro Sula,Cortes,ip2proxy,scanner/spam,19.155,1633,fresh
181.115.65.196:999,181.115.65.196,999,https,8579,48,https_connect_probe,2026-09-26T18:50:28Z,HN,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-20T13:34:00Z,unknown,unknown,,52468,UFINET PANAMA S.A.,San Pedro Sula,Cortés Department,geolite2,unknown,15.236,1025,fresh
