proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
103.130.61.61:8081,103.130.61.61,8081,https,6574,57,https_connect_probe,2026-09-19T17:00:43Z,ID,elite,protocol,True,github_raw,4,25,dbip,unknown,0,unknown,2026-09-19T09:59:23Z,unknown,residential,PT. Fiqran Solusindo Mediatama,138079,PT. Fiqran Solusindo Mediatama,West Bandung Regency,West Java,geolite2,spam,99.882,1500,fresh
103.171.240.174:8080,103.171.240.174,8080,http,2607,56,http_fallback,2026-09-19T17:00:42Z,ID,transparent,headers,False,github_raw,12,12,dbip,unknown,0,unknown,2026-09-15T01:25:27Z,unknown,residential,,58369,PT. Fiber Networks Indonesia,Jakarta,Jakarta,geolite2,unknown,98.589,957,fresh
123.231.230.58:31196,123.231.230.58,31196,socks4,3486,62,socks4_fallback,2026-09-19T17:13:33Z,ID,elite,protocol,False,api,13,12,dbip,unknown,0,unknown,2026-09-17T20:03:41Z,unknown,residential,PT Aplikanusa Lintasarta,4800,PT Aplikanusa Lintasarta,South Tangerang,Banten,geolite2,botnet/scanner,97.807,954,fresh
103.76.108.99:80,103.76.108.99,80,socks4,935,72,socks4_fallback,2026-09-19T16:54:42Z,ID,elite,protocol,False,api,13,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T05:34:03Z,exit,residential,PT Mahawira Nusantara Grup,151576,PT Mahawira Nusantara Grup,Bekasi,West Java,geolite2,scanner,96.76,1256,fresh
103.157.116.179:10810,103.157.116.179,10810,socks4,3779,60,socks4_fallback,2026-09-19T17:39:13Z,ID,elite,protocol,False,github_raw,10,7,dbip,unknown,0,unknown,2026-09-17T19:21:52Z,unknown,unknown,,4761,INDOSAT Internet Network Provider,Malang,East Java,geolite2,unknown,94.416,1473,fresh
36.88.242.103:1080,36.88.242.103,1080,socks4,2361,65,socks4_probe,2026-09-19T16:54:42Z,ID,elite,protocol,True,api,14,7,dbip,unknown,0,unknown,2026-09-15T18:12:37Z,unknown,wireless,PT Telekomunikasi Indonesia,7713,PT Telekomunikasi Indonesia,Sukabumi,West Java,geolite2,scanner,91.704,1212,fresh
103.174.122.197:8199,103.174.122.197,8199,socks5,549,73,socks5_fallback,2026-09-19T16:54:46Z,ID,elite,protocol,False,github_raw,14,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T12:22:17Z,exit,residential,PT Jaya Sejahtra Nugraha,147096,PT Jaya Sejahtra Nugraha,Sumedang,West Java,geolite2,scanner,91.482,1529,fresh
103.148.201.74:1089,103.148.201.74,1089,socks4,7747,53,socks4_fallback,2026-09-19T17:39:13Z,ID,elite,protocol,False,github_raw,12,6,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T00:39:59Z,exit,residential,PT Wortel,139997,PT Wortel,Surakarta,Jawa Tengah,ip2proxy,scanner,88.343,1342,fresh
45.74.31.50:26811,45.74.31.50,26811,socks5,7049,58,socks5_probe,2026-09-19T17:32:44Z,ID,elite,protocol,True,api,14,8,dbip,unknown,0,unknown,2026-09-17T15:46:24Z,unknown,unknown,,17451,BIZNET NETWORKS,,,unknown,unknown,88.098,131,fresh
103.177.20.27:8181,103.177.20.27,8181,https,2626,62,https_fallback,2026-09-19T17:19:35Z,ID,elite,protocol,True,github_raw,5,6,dbip,unknown,0,unknown,2026-09-19T17:08:49Z,unknown,residential,PT Diva Telekomunikasi Indonesia,147139,PT Diva Telekomunikasi Indonesia,Jakarta,Jakarta Raya,ip2proxy,botnet/scanner,87.282,1436,fresh
