proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
46.51.198.97:37081,46.51.198.97,37081,socks4,713,59,socks4_fallback,2026-09-06T20:55:27Z,IE,unknown,unknown,False,github_raw,1,2,dbip,unknown,0,unknown,2026-09-04T05:55:10Z,unknown,business,Amazon Data Services Ireland Limited,16509,"Amazon.com, Inc.",Dublin,Leinster,geolite2,none,40.597,64,fresh
46.51.198.97:8070,46.51.198.97,8070,socks4,701,59,socks4_fallback,2026-09-06T20:55:27Z,IE,unknown,unknown,False,github_raw,1,2,dbip,unknown,0,unknown,2026-09-04T05:55:10Z,unknown,business,Amazon Data Services Ireland Limited,16509,"Amazon.com, Inc.",Dublin,Leinster,geolite2,none,39.708,48,fresh
46.51.198.97:21768,46.51.198.97,21768,http,466,65,http_fallback,2026-09-06T20:49:17Z,IE,anonymous,headers,False,github_raw,3,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,31.103,182,fresh
46.51.198.97:3128,46.51.198.97,3128,http,466,68,http_fallback,2026-09-06T20:49:15Z,IE,anonymous,headers,False,github_raw,6,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,31.102,79,fresh
46.51.198.97:21932,46.51.198.97,21932,http,469,68,http_fallback,2026-09-06T20:49:16Z,IE,anonymous,headers,False,github_raw,6,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,31.102,212,fresh
46.51.198.97:1374,46.51.198.97,1374,http,466,67,http_fallback,2026-09-06T20:49:16Z,IE,anonymous,headers,False,github_raw,5,1,dbip,unknown,0,unknown,2026-09-02T23:16:49Z,unknown,hosting,,214503,QuxLabs AB,,,unknown,unknown,31.102,209,fresh
46.51.198.97:3177,46.51.198.97,3177,http,462,67,http_fallback,2026-09-06T20:49:16Z,IE,anonymous,headers,False,github_raw,5,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,30.531,85,fresh
46.51.198.97:9100,46.51.198.97,9100,http,474,63,http_fallback,2026-09-06T20:49:17Z,IE,anonymous,headers,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,27284,Fourplex Telecom LLC,,,unknown,unknown,30.53,175,fresh
46.51.198.97:30299,46.51.198.97,30299,http,478,63,http_fallback,2026-09-06T20:49:17Z,IE,unknown,unknown,False,github_raw,3,1,dbip,unknown,0,unknown,2026-09-04T05:55:10Z,unknown,business,Amazon Data Services Ireland Limited,16509,"Amazon.com, Inc.",Dublin,Leinster,geolite2,none,30.53,46,fresh
46.51.198.97:4427,46.51.198.97,4427,http,476,68,http_fallback,2026-09-06T20:49:16Z,IE,anonymous,headers,False,github_raw,6,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,30.459,84,fresh
46.51.198.97:43048,46.51.198.97,43048,http,476,68,http_fallback,2026-09-06T20:49:15Z,IE,anonymous,headers,False,github_raw,6,1,dbip,unknown,0,unknown,2026-09-01T05:09:52Z,unknown,unknown,,6698,Virtual Systems LLC,Kyiv,Kyiv City,geolite2,unknown,28.232,156,fresh
