proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
85.209.157.33:80,85.209.157.33,80,http,529,68,http_fallback,2026-09-19T16:54:32Z,IL,unknown,unknown,False,active_scan,1,643,dbip,unknown,0,unknown,2026-09-18T07:52:14Z,unknown,hosting,Beafort Limited,206446,CLOUD LEASE Ltd,Los Angeles,California,geolite2,none,100.0,643,fresh
85.209.157.30:80,85.209.157.30,80,http,546,68,http_fallback,2026-09-19T16:54:32Z,IL,unknown,unknown,False,active_scan,1,643,dbip,unknown,0,unknown,2026-09-18T07:52:14Z,unknown,unknown,,206446,CLOUD LEASE Ltd,Los Angeles,California,geolite2,unknown,100.0,643,fresh
31.168.143.90:1080,31.168.143.90,1080,socks4,4501,56,socks4_probe,2026-09-19T17:32:43Z,IL,elite,protocol,True,github_raw,15,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-17T17:12:42Z,exit,residential,Bezeq International Ltd.,8551,Bezeq International Ltd.,Rishon LeTsiyyon,Central District,geolite2,scanner/spam,76.904,914,fresh
83.229.72.184:80,83.229.72.184,80,http,1637,49,http_fallback,2026-09-19T17:32:34Z,IL,transparent,headers,False,active_scan,1,3,dbip,unknown,0,unknown,2026-09-15T07:48:51Z,unknown,hosting,,44709,O.m.c. Computers & Communications Ltd,Haifa,Haifa,geolite2,unknown,75.383,855,fresh
195.20.17.203:1080,195.20.17.203,1080,socks5,9840,49,socks5_probe,2026-09-19T17:26:21Z,IL,elite,protocol,True,text_site,16,2,dbip,unknown,0,unknown,2026-09-13T17:22:56Z,unknown,hosting,VPLAB Ltd,62005,BlueVPS OU,Petah Tikva,Central District,geolite2,none,70.71,880,fresh
51.85.44.149:20204,51.85.44.149,20204,socks4,882,56,socks4_fallback,2026-09-19T17:32:40Z,IL,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-13T06:13:05Z,unknown,business,A100 ROW Inc,16509,"Amazon.com, Inc.",Tel Aviv,Tel Aviv,geolite2,scanner,49.025,87,fresh
51.85.44.149:46567,51.85.44.149,46567,socks4,884,56,socks4_fallback,2026-09-19T17:32:40Z,IL,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-13T06:13:05Z,unknown,business,A100 ROW Inc,16509,"Amazon.com, Inc.",Tel Aviv,Tel Aviv,geolite2,scanner,46.879,200,fresh
51.85.44.149:46015,51.85.44.149,46015,socks4,853,56,socks4_fallback,2026-09-19T17:32:40Z,IL,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-13T06:13:05Z,unknown,business,A100 ROW Inc,16509,"Amazon.com, Inc.",Tel Aviv,Tel Aviv,geolite2,scanner,46.754,140,fresh
51.85.44.149:15823,51.85.44.149,15823,socks4,860,56,socks4_fallback,2026-09-19T17:32:40Z,IL,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-13T06:13:05Z,unknown,business,A100 ROW Inc,16509,"Amazon.com, Inc.",Tel Aviv,Tel Aviv,geolite2,scanner,44.762,127,fresh
51.85.44.149:9400,51.85.44.149,9400,socks4,865,56,socks4_fallback,2026-09-19T17:32:40Z,IL,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-13T06:13:05Z,unknown,business,A100 ROW Inc,16509,"Amazon.com, Inc.",Tel Aviv,Tel Aviv,geolite2,scanner,44.233,32,fresh
