proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
153.72.68.0:8081,153.72.68.0,8081,http,645,73,http_fallback,2026-09-13T09:09:16Z,IN,anonymous,headers,False,api,18,206,dbip,unknown,0,unknown,2026-09-10T10:02:38Z,unknown,unknown,,396982,Google LLC,Mumbai,Maharashtra,geolite2,unknown,99.998,579,fresh
219.65.73.80:80,219.65.73.80,80,http,825,71,http_fallback,2026-09-13T09:15:47Z,IN,anonymous,headers,False,api,17,210,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,55836,Reliance Jio Infocomm Limited,Kolkata,West Bengal,geolite2,unknown,99.998,913,fresh
117.236.124.166:3128,117.236.124.166,3128,https,1390,71,https_connect_probe,2026-09-13T09:09:17Z,IN,elite,protocol,True,github_raw,26,51,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,9829,National Internet Backbone,,,unknown,unknown,99.998,1314,fresh
219.65.73.81:80,219.65.73.81,80,http,942,70,http_fallback,2026-09-13T09:09:16Z,IN,anonymous,headers,False,api,17,56,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,55836,Reliance Jio Infocomm Limited,Kolkata,West Bengal,geolite2,unknown,99.998,963,fresh
117.236.124.166:3128,117.236.124.166,3128,http,1743,68,http_probe,2026-09-13T08:55:57Z,IN,anonymous,headers,True,api,26,46,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,9829,National Internet Backbone,,,unknown,unknown,99.998,1218,fresh
144.24.111.128:1088,144.24.111.128,1088,socks5,3076,65,socks5_probe,2026-09-13T08:56:09Z,IN,elite,protocol,True,api,17,161,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Oracle Corp UK Ltd,31898,Oracle Corporation,Mumbai,Maharashtra,geolite2,scanner/spam,99.998,1103,fresh
20.204.43.57:80,20.204.43.57,80,http,1217,61,http_fallback,2026-09-13T09:09:16Z,IN,transparent,headers,False,html_table,5,64,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Microsoft Corporation,8075,Microsoft Corporation,Pune,Maharashtra,geolite2,scanner/spam,99.998,1086,fresh
123.253.124.28:5678,123.253.124.28,5678,socks4,2476,67,socks4_probe,2026-09-13T09:02:50Z,IN,elite,protocol,True,api,13,36,dbip,unknown,0,unknown,2026-09-11T02:39:10Z,unknown,residential,,133469,Multinet (Udaipur) Private Limited,Udaipur,Rajasthan,geolite2,unknown,99.989,1109,fresh
103.66.74.61:1080,103.66.74.61,1080,socks4,5306,61,socks4_probe,2026-09-13T09:02:50Z,IN,elite,protocol,True,github_raw,15,30,dbip,unknown,0,unknown,2026-09-07T23:55:45Z,unknown,residential,RailTel Corporation is an Internet Service Provider,24186,RailTel Corporation of India Ltd,Surianwan,Uttar Pradesh,ip2proxy,scanner,99.954,849,fresh
103.53.110.45:10801,103.53.110.45,10801,socks4,4039,61,socks4_fallback,2026-09-13T08:56:07Z,IN,elite,protocol,False,api,13,18,dbip,unknown,0,unknown,2026-09-12T14:40:10Z,unknown,residential,Tycoon Computers Pvt. Ltd.,133970,Tycoon Computers Pvt. Ltd.,Sonipat,Haryana,ip2proxy,botnet/scanner/spam,98.882,1372,fresh
