proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
185.135.69.34:80,185.135.69.34,80,http,515,69,http_fallback,2026-09-15T23:22:59Z,IQ,transparent,headers,False,api,17,28,dbip,unknown,0,unknown,2026-09-14T02:44:55Z,unknown,residential,Nawafeth al-Hadhara for Internet and Information Systems Co.Ltd,205889,Giga Nineveh for internet services Ltd,Al Mansour,Baghdad,geolite2,scanner/spam,99.813,762,fresh
31.24.252.97:8080,31.24.252.97,8080,http,6717,51,http_probe,2026-09-15T23:22:59Z,IQ,anonymous,headers,True,github_raw,19,3,dbip,unknown,0,unknown,2026-09-11T22:41:57Z,unknown,residential,,209733,prospective information technology ltd,,,unknown,unknown,86.618,473,fresh
212.237.125.216:6969,212.237.125.216,6969,socks5,7410,52,socks5_probe,2026-09-15T23:10:22Z,IQ,elite,protocol,True,api,15,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Kurdistan Net Company for Computer and Internet Ltd.,206206,Kurdistan Net Company for Computer and Internet Ltd.,Duhok,Duhok Governorate,geolite2,scanner,79.25,1264,fresh
62.201.233.59:4145,62.201.233.59,4145,socks4,5458,55,socks4_probe,2026-09-15T23:16:31Z,IQ,elite,protocol,True,github_raw,12,3,dbip,unknown,0,unknown,2026-09-09T22:35:25Z,unknown,residential,IQ Networks for Data and Internet Services Ltd,44217,IQ Networks for Data and Internet Services Ltd,As Sulaymaniyah,As Sulaymaniyah,ip2proxy,scanner,72.358,879,fresh
188.72.16.74:1080,188.72.16.74,1080,socks4,4645,54,socks4_probe,2026-09-15T23:35:44Z,IQ,elite,protocol,True,api,15,1,dbip,unknown,0,unknown,2026-09-14T05:12:45Z,unknown,residential,CELLNET Company for Internet Services Ltd.,49571,CELLNET Company for Internet Services Ltd.,As Sulaymaniyah,As Sulaymaniyah,ip2proxy,scanner,70.04,1427,fresh
130.255.94.32:5080,130.255.94.32,5080,socks5,7221,52,socks5_probe,2026-09-15T23:35:46Z,IQ,elite,protocol,True,github_raw,15,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T02:50:50Z,exit,residential,Tarin General Trading and Setting Up Internet Device Ltd,197882,Tarin General Trading and Setting Up Internet Device LTD,Erbil,Arbil,ip2proxy,scanner,66.235,924,fresh
185.166.27.208:2020,185.166.27.208,2020,http,7465,48,http_probe,2026-09-15T23:35:44Z,IQ,anonymous,headers,True,github_raw,20,1,dbip,unknown,0,unknown,2026-09-10T11:09:15Z,unknown,residential,Online Company for Technological Information Supply of Electronic Equipment and Internet Services Through Wifi Ltd.,207097,"Online Company for Technological Information, Supply of Electronic Equipment and Internet S",Erbil,Erbil Governorate,geolite2,none,59.038,860,fresh
109.224.12.170:52015,109.224.12.170,52015,socks4,3426,56,socks4_fallback,2026-09-15T23:23:00Z,IQ,elite,protocol,False,api,17,3,dbip,unknown,0,unknown,2026-09-12T22:15:51Z,unknown,residential,Hulum Almustakbal Company for Communication Engineering and Services Ltd,203214,Hulum Almustakbal Company for Communication Engineering and Services Ltd,Baghdad,Baghdad,ip2proxy,botnet/scanner,57.707,1335,fresh
185.95.186.165:48293,185.95.186.165,48293,socks4,5590,55,socks4_probe,2026-09-15T23:16:31Z,IQ,elite,protocol,True,github_raw,9,3,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Next Net for Internet and IT Services LTD,34515,Next Net for Internet and IT Services LTD,Sulaymaniyah,Karbala',ip2proxy,scanner,56.77,1538,fresh
31.24.252.97:8080,31.24.252.97,8080,https,5729,48,https_fallback,2026-09-15T23:22:59Z,IQ,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-15T23:37:24Z,unknown,residential,,209733,prospective information technology ltd,,,unknown,unknown,55.634,606,fresh
62.201.212.198:4673,62.201.212.198,4673,socks4,2497,60,socks4_probe,2026-09-15T23:16:31Z,IQ,elite,protocol,True,github_raw,13,2,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,residential,IQ Networks for Data and Internet Services Ltd,44217,IQ Networks for Data and Internet Services Ltd,As Sulaymaniyah,As Sulaymaniyah,ip2proxy,botnet/scanner,51.17,1167,fresh
185.166.27.208:2020,185.166.27.208,2020,https,5014,50,https_connect_probe,2026-09-15T23:16:31Z,IQ,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-10T11:09:15Z,unknown,residential,Online Company for Technological Information Supply of Electronic Equipment and Internet Services Through Wifi Ltd.,207097,"Online Company for Technological Information, Supply of Electronic Equipment and Internet S",Erbil,Erbil Governorate,geolite2,none,42.6,1074,fresh
109.224.22.35:51372,109.224.22.35,51372,socks4,2608,56,socks4_fallback,2026-09-15T23:30:04Z,IQ,elite,protocol,False,github_raw,16,1,dbip,unknown,0,unknown,2026-09-09T10:20:45Z,unknown,residential,Hulum Almustakbal Company for Communication Engineering and Services Ltd,203214,Hulum Almustakbal Company for Communication Engineering and Services Ltd,Baghdad,Baghdad,ip2proxy,spam,27.768,304,fresh
