proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
5.95.121.180:4153,5.95.121.180,4153,socks4,1591,65,socks4_fallback,2026-09-06T20:17:17Z,IT,elite,protocol,False,api,11,6,dbip,likely_residential,70,ip2proxy_lite,2026-09-06T12:17:18Z,exit,wireless,Vodafone Italia S.p.A.,30722,Fastweb,Naples,Campania,geolite2,scanner,86.45,846,fresh
84.8.248.36:3128,84.8.248.36,3128,https,8014,49,https_connect_probe,2026-09-06T20:55:22Z,IT,elite,protocol,True,github_raw,5,1,dbip,unknown,0,unknown,2026-08-31T03:19:13Z,unknown,hosting,Oracle Svenska AB,31898,Oracle Corporation,Rivoli,Piedmont,geolite2,scanner,77.805,847,fresh
91.192.25.158:4145,91.192.25.158,4145,socks4,9114,50,socks4_probe,2026-09-06T20:36:06Z,IT,elite,protocol,True,github_raw,11,2,dbip,unknown,0,unknown,2026-09-06T02:41:31Z,unknown,residential,T&T Tecnologie e Telecomunicazioni Srl,200100,T&T Tecnologie e Telecomunicazioni Srl,San Giovanni Valdarno,Tuscany,geolite2,scanner,60.683,877,fresh
2.115.212.62:48293,2.115.212.62,48293,socks4,4852,54,socks4_probe,2026-09-06T21:01:29Z,IT,elite,protocol,True,github_raw,15,1,dbip,unknown,0,unknown,2026-09-03T06:44:13Z,unknown,wireless,Telecom Italia S.p.A.,3269,TIM,Furnari,Sicily,geolite2,botnet/scanner,56.939,450,fresh
15.160.16.72:492,15.160.16.72,492,socks5,953,55,socks5_fallback,2026-09-06T20:17:21Z,IT,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-02T21:11:55Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Milan,Lombardia,ip2proxy,none,49.984,38,fresh
15.160.16.72:10811,15.160.16.72,10811,socks4,719,57,socks4_fallback,2026-09-06T20:17:18Z,IT,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-02T21:11:55Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Milan,Lombardia,ip2proxy,none,45.629,41,fresh
93.187.26.134:58080,93.187.26.134,58080,https,8375,47,https_connect_probe,2026-09-06T21:01:28Z,IT,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-08-31T03:41:01Z,unknown,hosting,Consorzio Terrecablate,43960,Consorzio Terrecablate,San Quirico d'Orcia,Tuscany,geolite2,none,39.064,960,fresh
15.160.116.45:32654,15.160.116.45,32654,http,458,65,http_fallback,2026-09-06T20:55:37Z,IT,anonymous,headers,False,github_raw,3,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,29.591,573,fresh
15.160.116.45:8010,15.160.116.45,8010,http,461,63,http_fallback,2026-09-06T20:55:38Z,IT,anonymous,headers,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,61125,Sabotage LLC,Amsterdam,North Holland,geolite2,unknown,29.583,64,fresh
15.160.116.45:8885,15.160.116.45,8885,http,486,62,http_fallback,2026-09-06T20:55:38Z,IT,anonymous,headers,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,215125,Church of Cyberology,,,unknown,unknown,29.579,131,fresh
15.160.116.45:36907,15.160.116.45,36907,http,470,64,http_fallback,2026-09-06T20:55:37Z,IT,anonymous,headers,False,github_raw,2,1,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,205100,F3 Netze e.V.,,,unknown,unknown,29.576,458,fresh
