proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,https,102,91,https_connect_probe,2026-09-26T19:15:40Z,JP,elite,protocol,True,github_raw,25,2069,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1496,fresh
140.227.61.201:3128,140.227.61.201,3128,http,92,90,http_probe,2026-09-26T19:15:39Z,JP,anonymous,headers,True,github_raw,25,1694,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1479,fresh
213.188.192.1:80,213.188.192.1,80,http,37,83,http_fallback,2026-09-26T19:15:39Z,JP,transparent,headers,False,active_scan,1,269,dbip,unknown,0,unknown,2026-09-24T12:27:51Z,unknown,hosting,,30081,CacheFly,Tokyo,Tokyo,geolite2,unknown,100.0,269,fresh
54.238.38.227:8080,54.238.38.227,8080,socks4,14,97,socks4_fallback,2026-09-26T19:47:42Z,JP,unknown,unknown,False,api,7,93,dbip,unknown,0,unknown,2026-09-25T10:46:28Z,unknown,business,Amazon Data Services Japan,16509,"Amazon.com, Inc.",Tokyo,Tokyo,geolite2,scanner,99.998,473,fresh
160.248.7.177:80,160.248.7.177,80,http,45,95,http_fallback,2026-09-26T19:15:39Z,JP,elite,headers,False,text_site,18,733,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",Adachi,Tokyo,geolite2,unknown,99.998,1463,fresh
54.238.38.227:80,54.238.38.227,80,http,9,94,http_fallback,2026-09-26T19:15:39Z,JP,unknown,unknown,False,active_scan,1,93,dbip,unknown,0,unknown,2026-09-25T10:46:28Z,unknown,business,Amazon Data Services Japan,16509,"Amazon.com, Inc.",Tokyo,Tokyo,geolite2,scanner,99.998,450,fresh
43.167.166.56:1080,43.167.166.56,1080,socks5,430,80,socks5_probe,2026-09-26T19:15:53Z,JP,elite,protocol,True,api,16,45,dbip,unknown,0,unknown,2026-09-23T21:20:09Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Tokyo,Tokyo,geolite2,unknown,99.998,95,fresh
8.209.255.13:3128,8.209.255.13,3128,http,113,84,http_fallback,2026-09-26T19:15:39Z,JP,unknown,unknown,False,api,24,32,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",Tokyo,Tokyo,geolite2,unknown,99.971,1548,fresh
101.36.104.46:10808,101.36.104.46,10808,socks5,153,88,socks5_probe,2026-09-26T19:03:06Z,JP,elite,protocol,True,api,16,21,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,UCloud Information Technology (HK) Limited,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Tokyo,Tokyo,geolite2,scanner/spam,99.816,1695,fresh
103.75.118.84:1080,103.75.118.84,1080,socks4,156,88,socks4_probe,2026-09-26T19:15:49Z,JP,elite,protocol,True,api,25,14,dbip,unknown,0,unknown,2026-09-22T06:18:32Z,unknown,business,BrainStorm Network Inc,136258,"BrainStorm Network, Inc",Tokyo,Tokyo,geolite2,scanner/spam,99.121,876,fresh
103.75.118.84:1080,103.75.118.84,1080,socks5,446,80,socks5_probe,2026-09-26T19:15:53Z,JP,elite,protocol,True,api,25,14,dbip,unknown,0,unknown,2026-09-22T06:18:32Z,unknown,business,BrainStorm Network Inc,136258,"BrainStorm Network, Inc",Tokyo,Tokyo,geolite2,scanner/spam,99.113,890,fresh
108.61.160.231:1080,108.61.160.231,1080,socks4,8256,57,socks4_probe,2026-09-26T19:03:04Z,JP,elite,protocol,True,api,13,11,dbip,unknown,0,unknown,2026-09-21T07:55:32Z,unknown,hosting,Vultr Holdings LLC,20473,"The Constant Company, LLC",Minamishinagawa,Tokyo,geolite2,scanner,95.491,660,fresh
45.146.163.31:80,45.146.163.31,80,http,458,76,http_fallback,2026-09-26T19:22:14Z,JP,elite,headers,False,github_raw,17,7,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,MB Ziniu Valda,38136,Akari Networks,Tokyo,Tokyo,geolite2,scanner/spam,93.963,1515,fresh
45.43.60.220:8080,45.43.60.220,8080,https,337,79,https_fallback,2026-09-26T19:15:40Z,JP,elite,protocol,True,github_raw,29,6,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Zenlayer Inc,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Tokyo,Tokyo,geolite2,botnet/scanner/spam,93.438,1851,fresh
108.61.160.231:1080,108.61.160.231,1080,socks5,7245,57,socks5_probe,2026-09-26T19:03:07Z,JP,elite,protocol,True,api,13,7,dbip,unknown,0,unknown,2026-09-21T07:55:32Z,unknown,hosting,Vultr Holdings LLC,20473,"The Constant Company, LLC",Minamishinagawa,Tokyo,geolite2,scanner,91.422,626,fresh
101.36.104.239:10808,101.36.104.239,10808,socks5,243,79,socks5_fallback,2026-09-26T19:41:21Z,JP,elite,protocol,False,github_raw,16,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,UCloud Information Technology (HK) Limited,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Tokyo,Tokyo,geolite2,scanner/spam,87.982,1653,fresh
140.238.32.108:3128,140.238.32.108,3128,http,205,80,http_probe,2026-09-26T19:02:54Z,JP,anonymous,headers,True,api,26,5,dbip,unknown,0,unknown,2026-09-26T18:45:32Z,unknown,hosting,Oracle Public Cloud,31898,Oracle Corporation,Inzai,Chiba,geolite2,scanner/spam,85.401,1566,fresh
140.238.32.108:3128,140.238.32.108,3128,https,252,80,https_connect_probe,2026-09-26T19:02:58Z,JP,elite,protocol,True,html_table,26,5,dbip,unknown,0,unknown,2026-09-26T18:45:32Z,unknown,hosting,Oracle Public Cloud,31898,Oracle Corporation,Inzai,Chiba,geolite2,scanner/spam,85.339,1820,fresh
103.38.183.18:1088,103.38.183.18,1088,socks4,2927,59,socks4_probe,2026-09-26T19:41:17Z,JP,elite,protocol,True,github_raw,11,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-21T17:35:36Z,exit,residential,Saitech Services,140171,Reis Network Solutions,Delhi,Delhi,ip2proxy,scanner,84.194,1665,fresh
166.1.61.57:1080,166.1.61.57,1080,socks5,8568,52,socks5_probe,2026-09-26T19:29:17Z,JP,elite,protocol,True,github_raw,16,4,dbip,unknown,0,unknown,2026-09-21T19:03:03Z,unknown,hosting,Ace Data Centers Inc.,206264,Amarutu Technology Ltd,Tokyo,Tokyo,geolite2,scanner,77.943,1016,fresh
108.61.160.231:1080,108.61.160.231,1080,https,1072,65,https_fallback,2026-09-26T19:35:07Z,JP,elite,protocol,True,github_raw,5,2,dbip,unknown,0,unknown,2026-09-21T07:55:32Z,unknown,hosting,Vultr Holdings LLC,20473,"The Constant Company, LLC",Minamishinagawa,Tokyo,geolite2,scanner,72.542,636,fresh
172.237.11.129:3128,172.237.11.129,3128,http,3119,56,http_fallback,2026-09-26T19:22:15Z,JP,elite,headers,False,api,17,2,dbip,unknown,0,unknown,2026-09-21T19:03:03Z,unknown,hosting,,63949,Akamai Connected Cloud,Tokyo,Tokyo,geolite2,unknown,68.376,875,fresh
166.1.61.57:1080,166.1.61.57,1080,https,4208,54,https_connect_probe,2026-09-26T19:35:01Z,JP,elite,protocol,True,github_raw,5,1,dbip,unknown,0,unknown,2026-09-21T19:03:03Z,unknown,hosting,Ace Data Centers Inc.,206264,Amarutu Technology Ltd,Tokyo,Tokyo,geolite2,scanner,67.563,1114,fresh
45.43.60.220:8080,45.43.60.220,8080,http,346,72,http_probe,2026-09-26T19:47:29Z,JP,anonymous,headers,True,github_raw,29,1,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Zenlayer Inc,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Tokyo,Tokyo,geolite2,botnet/scanner/spam,66.586,1928,fresh
166.1.61.57:1080,166.1.61.57,1080,socks4,5186,53,socks4_probe,2026-09-26T19:47:44Z,JP,elite,protocol,True,api,15,1,dbip,unknown,0,unknown,2026-09-21T19:03:03Z,unknown,hosting,Ace Data Centers Inc.,206264,Amarutu Technology Ltd,Tokyo,Tokyo,geolite2,scanner,60.542,907,fresh
111.119.162.248:10938,111.119.162.248,10938,https,11333,45,https_connect_probe,2026-09-26T19:29:12Z,JP,elite,protocol,True,github_raw,3,2,dbip,unknown,0,unknown,2026-09-26T18:02:23Z,unknown,hosting,Alibaba Cloud (Singapore) Private Limited,45102,"Alibaba (US) Technology Co., Ltd.",Tokyo,Tokyo,geolite2,scanner,55.722,123,fresh
111.119.162.248:10938,111.119.162.248,10938,socks5,9098,50,socks5_probe,2026-09-26T19:29:18Z,JP,elite,protocol,True,api,17,2,dbip,unknown,0,unknown,2026-09-26T18:02:23Z,unknown,hosting,Alibaba Cloud (Singapore) Private Limited,45102,"Alibaba (US) Technology Co., Ltd.",Tokyo,Tokyo,geolite2,scanner,55.72,259,fresh
108.61.160.231:1080,108.61.160.231,1080,http,3070,55,http_probe,2026-09-26T19:48:08Z,JP,anonymous,headers,True,api,19,1,dbip,unknown,0,unknown,2026-09-21T07:55:32Z,unknown,hosting,Vultr Holdings LLC,20473,"The Constant Company, LLC",Minamishinagawa,Tokyo,geolite2,scanner,51.018,656,fresh
111.119.162.248:10942,111.119.162.248,10942,http,3867,54,http_probe,2026-09-26T19:29:03Z,JP,anonymous,headers,True,github_raw,18,2,dbip,unknown,0,unknown,2026-09-22T20:21:00Z,unknown,unknown,,212238,Datacamp Limited,Tokyo,Tokyo,geolite2,unknown,48.08,327,fresh
47.245.30.253:8080,47.245.30.253,8080,https,1762,60,https_fallback,2026-09-26T19:03:01Z,JP,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,hosting,Alibaba Cloud LLC,45102,"Alibaba (US) Technology Co., Ltd.",Tokyo,Tokyo,geolite2,none,47.397,2091,fresh
191.223.220.23:1080,191.223.220.23,1080,socks5,53,86,socks5_fallback,2026-09-26T19:41:21Z,JP,elite,protocol,False,github_raw,17,1,dbip,unknown,0,unknown,2026-09-25T15:45:59Z,unknown,unknown,,906,DMIT Cloud Services,Tokyo,Tokyo,geolite2,unknown,47.169,1408,fresh
111.119.162.248:10942,111.119.162.248,10942,socks4,1623,63,socks4_probe,2026-09-26T19:47:44Z,JP,elite,protocol,True,github_raw,13,2,dbip,unknown,0,unknown,2026-09-22T20:21:00Z,unknown,unknown,,212238,Datacamp Limited,Tokyo,Tokyo,geolite2,unknown,44.437,283,fresh
166.1.61.57:1080,166.1.61.57,1080,http,536,69,http_probe,2026-09-26T19:34:59Z,JP,anonymous,headers,True,api,19,1,dbip,unknown,0,unknown,2026-09-21T19:03:03Z,unknown,hosting,Ace Data Centers Inc.,206264,Amarutu Technology Ltd,Tokyo,Tokyo,geolite2,scanner,41.89,781,fresh
