proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
197.248.22.110:8105,197.248.22.110,8105,https,9417,52,https_connect_probe,2026-09-19T16:54:33Z,KE,elite,protocol,True,github_raw,2,9,dbip,unknown,0,unknown,2026-09-13T21:20:21Z,unknown,unknown,,37061,Safaricom Limited,Nairobi,Nairobi County,geolite2,unknown,91.995,78,fresh
197.248.22.110:8105,197.248.22.110,8105,http,5796,48,http_fallback,2026-09-19T16:54:32Z,KE,transparent,headers,False,api,20,7,dbip,unknown,0,unknown,2026-09-13T21:20:21Z,unknown,unknown,,37061,Safaricom Limited,Nairobi,Nairobi County,geolite2,unknown,86.421,90,fresh
154.79.251.168:1080,154.79.251.168,1080,socks4,3809,58,socks4_probe,2026-09-19T17:39:15Z,KE,elite,protocol,True,github_raw,15,3,dbip,unknown,0,unknown,2026-09-17T12:59:23Z,unknown,wireless,Airtel Networks Kenya Limited,36926,Airtel Networks Kenya Limited,Nairobi,Nairobi County,geolite2,scanner,82.888,1234,fresh
197.248.18.97:8080,197.248.18.97,8080,https,5752,50,https_connect_probe,2026-09-19T17:39:10Z,KE,elite,protocol,True,github_raw,3,2,dbip,unknown,0,unknown,2026-09-17T04:23:23Z,unknown,wireless,Safaricom Limited,37061,Safaricom Limited,Nairobi,Nairobi County,geolite2,none,67.158,874,fresh
102.0.28.78:8083,102.0.28.78,8083,https,7892,48,https_connect_probe,2026-09-19T17:26:13Z,KE,elite,protocol,True,github_raw,3,2,dbip,unknown,0,unknown,2026-09-19T17:08:49Z,unknown,wireless,Airtel Networks Kenya Limited,36926,Airtel Networks Kenya Limited,Nairobi,Nairobi County,geolite2,none,63.317,1109,fresh
41.79.9.229:8080,41.79.9.229,8080,https,7798,49,https_connect_probe,2026-09-19T17:00:43Z,KE,elite,protocol,True,github_raw,5,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T21:55:00Z,exit,residential,Broadband Business Clients,37305,Frontier Optical Networks Ltd,Nairobi,Nairobi City,ip2proxy,none,52.911,1449,fresh
102.0.14.42:1080,102.0.14.42,1080,socks5,2858,56,socks5_fallback,2026-09-19T17:32:44Z,KE,elite,protocol,False,github_raw,16,1,dbip,unknown,0,unknown,2026-09-19T12:31:21Z,unknown,wireless,Airtel Networks Kenya Limited,36926,Airtel Networks Kenya Limited,Nairobi,Nairobi County,geolite2,scanner,46.404,964,fresh
41.209.57.199:80,41.209.57.199,80,http,6254,43,http_fallback,2026-09-19T17:26:06Z,KE,transparent,headers,False,api,22,2,dbip,unknown,0,unknown,2026-09-19T11:46:55Z,unknown,residential,MTN Business Kenya,9129,MTN SA,Nairobi,Nairobi County,geolite2,none,45.606,1259,fresh
102.0.25.36:8080,102.0.25.36,8080,https,6421,48,https_connect_probe,2026-09-19T17:39:09Z,KE,elite,protocol,True,github_raw,3,1,dbip,unknown,0,unknown,2026-09-14T09:08:21Z,unknown,wireless,Airtel Networks Kenya Limited,36926,Airtel Networks Kenya Limited,Nairobi,Nairobi County,geolite2,none,43.588,1492,fresh
41.139.164.19:8080,41.139.164.19,8080,http,3022,55,http_probe,2026-09-19T16:54:32Z,KE,anonymous,headers,True,api,22,0,dbip,unknown,0,unknown,2026-09-16T17:57:58Z,unknown,unknown,,37061,Safaricom Limited,Nairobi,Nairobi County,geolite2,unknown,42.815,749,fresh
102.68.76.247:5566,102.68.76.247,5566,https,7486,49,https_connect_probe,2026-09-19T17:32:34Z,KE,elite,protocol,True,github_raw,5,1,dbip,unknown,0,unknown,2026-09-12T20:47:14Z,unknown,residential,Unwired Communications Ltd,328490,Unwired Communications Limited,Nairobi,Nairobi County,geolite2,none,37.899,1667,fresh
41.209.57.199:80,41.209.57.199,80,https,4141,53,https_connect_probe,2026-09-19T17:32:57Z,KE,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-09-19T11:46:55Z,unknown,residential,MTN Business Kenya,9129,MTN SA,Nairobi,Nairobi County,geolite2,none,37.14,1726,fresh
197.248.164.161:8080,197.248.164.161,8080,https,7596,46,https_connect_probe,2026-09-19T17:26:10Z,KE,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-18T20:43:30Z,unknown,unknown,,37061,Safaricom Limited,Nairobi,Nairobi County,geolite2,unknown,35.829,120,fresh
102.216.85.18:8080,102.216.85.18,8080,http,7626,48,http_probe,2026-09-19T17:32:52Z,KE,anonymous,headers,True,github_raw,15,1,dbip,unknown,0,unknown,2026-09-18T23:14:44Z,unknown,business,,329044,Surf Net Solutions Limited,Nairobi,Nairobi County,geolite2,unknown,33.254,734,fresh
