proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
116.212.156.72:1080,116.212.156.72,1080,socks4,2037,67,socks4_probe,2026-09-15T23:04:08Z,KH,elite,protocol,True,api,15,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,MekongNet PP,38235,ANGKOR DATA COMMUNICATION,Phnom Penh,Phnom Penh,geolite2,scanner,93.489,1459,fresh
202.79.27.12:1080,202.79.27.12,1080,socks5,6178,56,socks5_probe,2026-09-15T23:04:10Z,KH,elite,protocol,True,text_site,15,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,WiCAM Corporation Ltd,24492,WiCAM Corporation Ltd.,Phnom Penh,Phnom Penh,geolite2,scanner,92.147,1382,fresh
124.248.191.83:1080,124.248.191.83,1080,socks5,3318,60,socks5_probe,2026-09-15T23:23:03Z,KH,elite,protocol,True,api,16,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T09:40:46Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,scanner/spam,86.825,1206,fresh
203.189.135.105:1080,203.189.135.105,1080,socks5,1731,63,socks5_fallback,2026-09-15T23:23:02Z,KH,elite,protocol,False,api,14,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T15:51:24Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,scanner/spam,82.243,1135,fresh
203.189.155.68:1080,203.189.155.68,1080,socks5,2179,62,socks5_probe,2026-09-15T23:35:45Z,KH,elite,protocol,True,github_raw,16,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T10:12:11Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,scanner,77.938,1336,fresh
124.248.164.36:1080,124.248.164.36,1080,socks4,6010,55,socks4_probe,2026-09-15T23:29:40Z,KH,elite,protocol,True,github_raw,14,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T21:48:48Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,scanner/spam,76.252,1238,fresh
103.216.50.210:1080,103.216.50.210,1080,socks4,823,69,socks4_probe,2026-09-15T23:22:59Z,KH,elite,protocol,True,api,14,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T02:47:43Z,exit,residential,Today Communication Co. Ltd,135375,"Today Communication Co.,Ltd",Phnom Penh,Phnom Penh,geolite2,scanner,74.283,917,fresh
203.189.159.241:1080,203.189.159.241,1080,socks4,693,70,socks4_fallback,2026-09-15T23:10:19Z,KH,elite,protocol,False,html_table,9,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T18:23:46Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,botnet/scanner,73.07,957,fresh
203.189.150.44:1080,203.189.150.44,1080,socks5,2827,57,socks5_fallback,2026-09-15T23:16:32Z,KH,elite,protocol,False,api,16,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T15:07:30Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,scanner/spam,70.975,1212,fresh
202.62.42.167:1080,202.62.42.167,1080,socks5,2816,58,socks5_fallback,2026-09-15T23:16:31Z,KH,elite,protocol,False,github_raw,14,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Cogetel Online,23673,"Cogetel Online, Cambodia, ISP",Phnom Penh,Phnom Penh,geolite2,scanner,68.963,1492,fresh
