proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
13.125.44.24:80,13.125.44.24,80,http,124,84,http_fallback,2026-09-15T23:04:07Z,KR,unknown,unknown,False,text_site,13,273,dbip,unknown,0,unknown,2026-09-11T22:21:20Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Seoul,Seoul-teukbyeolsi,ip2proxy,scanner,99.998,522,fresh
13.125.44.24:80,13.125.44.24,80,socks5,159,82,socks5_fallback,2026-09-15T23:23:01Z,KR,unknown,unknown,False,text_site,8,376,dbip,unknown,0,unknown,2026-09-11T22:21:20Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Seoul,Seoul-teukbyeolsi,ip2proxy,scanner,99.998,517,fresh
13.125.44.24:8080,13.125.44.24,8080,http,124,79,http_fallback,2026-09-15T23:04:07Z,KR,unknown,unknown,False,active_scan,1,273,dbip,unknown,0,unknown,2026-09-11T22:21:20Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Seoul,Seoul-teukbyeolsi,ip2proxy,scanner,99.998,516,fresh
1.231.81.166:3128,1.231.81.166,3128,https,489,79,https_connect_probe,2026-09-15T23:04:07Z,KR,elite,protocol,True,api,28,385,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,SK Broadband Co Ltd,9318,SK Broadband Co Ltd,Dobong-gu,Seoul,geolite2,scanner/spam,99.998,1218,fresh
140.238.14.161:8080,140.238.14.161,8080,http,227,75,http_fallback,2026-09-15T23:04:07Z,KR,transparent,headers,False,text_site,17,93,dbip,unknown,0,unknown,2026-09-13T10:34:28Z,unknown,hosting,Oracle Public Cloud,31898,Oracle Corporation,Seoul,Seoul,geolite2,none,99.998,278,fresh
1.231.81.166:3128,1.231.81.166,3128,http,700,75,http_probe,2026-09-15T23:04:07Z,KR,anonymous,headers,True,text_site,28,106,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,SK Broadband Co Ltd,9318,SK Broadband Co Ltd,Dobong-gu,Seoul,geolite2,scanner/spam,99.998,1202,fresh
8.213.151.128:3128,8.213.151.128,3128,http,426,74,http_fallback,2026-09-15T23:04:07Z,KR,unknown,unknown,False,text_site,25,102,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",Seoul,Seoul,geolite2,unknown,99.998,1195,fresh
13.125.44.24:80,13.125.44.24,80,socks4,1156,67,socks4_fallback,2026-09-15T23:04:08Z,KR,unknown,unknown,False,api,8,101,dbip,unknown,0,unknown,2026-09-11T22:21:20Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Seoul,Seoul-teukbyeolsi,ip2proxy,scanner,99.998,521,fresh
175.203.138.160:5678,175.203.138.160,5678,socks4,1161,67,socks4_probe,2026-09-15T23:10:19Z,KR,elite,protocol,True,github_raw,10,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T19:17:54Z,exit,residential,KT Corporation,4766,Korea Telecom,Yesan,Chungcheongnam-do,geolite2,botnet/scanner/spam,85.686,978,fresh
121.169.46.116:1090,121.169.46.116,1090,socks5,3895,56,socks5_probe,2026-09-15T23:29:44Z,KR,elite,protocol,True,github_raw,19,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,KT Corporation,4766,Korea Telecom,Suwon,Gyeonggi-do,geolite2,scanner/spam,78.771,1481,fresh
152.70.237.238:3128,152.70.237.238,3128,socks5,1526,61,socks5_fallback,2026-09-15T22:32:44Z,KR,elite,protocol,False,text_site,27,0,dbip,unknown,0,unknown,2026-09-14T17:50:11Z,unknown,hosting,,13335,"Cloudflare, Inc.",Seoul,Seoul,geolite2,unknown,67.531,1409,fresh
54.180.117.151:6981,54.180.117.151,6981,socks5,118,74,socks5_fallback,2026-09-15T23:16:31Z,KR,unknown,unknown,False,github_raw,1,4,dbip,unknown,0,unknown,2026-09-14T23:58:34Z,unknown,business,Amazon Technologies Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,60.706,67,fresh
121.139.218.165:43295,121.139.218.165,43295,socks4,3150,57,socks4_probe,2026-09-15T23:22:59Z,KR,elite,protocol,True,api,17,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,KT Corporation,4766,Korea Telecom,Siheung-si,Gyeonggi-do,geolite2,botnet/scanner/spam,57.234,1299,fresh
112.216.54.226:12121,112.216.54.226,12121,https,595,70,https_connect_probe,2026-09-15T23:29:40Z,KR,elite,protocol,True,github_raw,29,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T15:02:46Z,exit,residential,LG Dacom Corporation,3786,LG DACOM Corporation,Yongin-si,Gyeonggi-do,geolite2,scanner,50.734,1578,fresh
183.110.216.128:8091,183.110.216.128,8091,http,3756,52,http_fallback,2026-09-15T23:35:44Z,KR,anonymous,headers,False,github_raw,14,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:35:55Z,exit,residential,KT Corporation,4766,Korea Telecom,Seongnam,Gyeonggi-do,ip2proxy,scanner/spam,49.557,1562,fresh
152.67.221.233:8008,152.67.221.233,8008,socks5,2553,59,socks5_probe,2026-09-15T23:04:09Z,KR,elite,protocol,True,api,12,0,dbip,unknown,0,unknown,2026-09-09T09:37:42Z,unknown,hosting,,13335,"Cloudflare, Inc.",Yanggok,Gyeonggi-do,geolite2,unknown,47.25,949,fresh
43.203.140.58:6826,43.203.140.58,6826,socks4,93,73,socks4_fallback,2026-09-15T22:51:58Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-14T19:36:21Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,39.058,51,fresh
112.216.54.226:12121,112.216.54.226,12121,http,325,73,http_probe,2026-09-15T23:29:54Z,KR,anonymous,headers,True,api,29,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T15:02:46Z,exit,residential,LG Dacom Corporation,3786,LG DACOM Corporation,Yongin-si,Gyeonggi-do,geolite2,scanner,35.595,1333,fresh
114.108.177.104:60984,114.108.177.104,60984,socks4,1366,64,socks4_probe,2026-09-15T23:23:19Z,KR,elite,protocol,True,api,17,1,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,LG DACOM KIDC,3786,LG DACOM Corporation,Seoul,Seoul-teukbyeolsi,ip2proxy,botnet/scanner,34.908,1421,fresh
43.203.140.58:11614,43.203.140.58,11614,socks5,126,71,socks5_fallback,2026-09-15T23:04:09Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-14T19:36:21Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,31.443,63,fresh
152.70.237.238:3128,152.70.237.238,3128,socks4,8543,47,socks4_fallback,2026-09-15T22:19:48Z,KR,elite,protocol,False,github_raw,28,0,dbip,unknown,0,unknown,2026-09-15T09:56:31Z,unknown,hosting,,13335,"Cloudflare, Inc.",Seoul,Seoul,geolite2,unknown,24.542,1079,fresh
43.200.179.23:47999,43.200.179.23,47999,socks5,121,71,socks5_fallback,2026-09-15T22:57:59Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T15:42:00Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,24.062,67,fresh
43.200.179.23:8757,43.200.179.23,8757,socks5,122,71,socks5_fallback,2026-09-15T22:57:59Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T15:42:00Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,22.858,121,fresh
43.200.179.23:11587,43.200.179.23,11587,socks4,93,73,socks4_fallback,2026-09-15T22:57:59Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T15:42:00Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,22.83,64,fresh
43.200.174.95:58131,43.200.174.95,58131,socks5,129,70,socks5_fallback,2026-09-15T22:58:00Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-14T19:16:14Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,scanner,21.022,62,fresh
43.200.179.23:9052,43.200.179.23,9052,socks5,137,70,socks5_fallback,2026-09-15T22:58:23Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-15T15:42:00Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,none,17.611,53,fresh
221.157.45.249:80,221.157.45.249,80,socks4,2578,57,socks4_fallback,2026-09-15T22:39:30Z,KR,elite,protocol,False,api,15,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T05:35:12Z,exit,residential,KT Corporation,4766,Korea Telecom,Seo-gu,Daegu,geolite2,scanner,16.333,572,fresh
43.200.174.95:8129,43.200.174.95,8129,socks4,89,73,socks4_fallback,2026-09-15T22:26:22Z,KR,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-14T19:16:14Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Incheon,Incheon,geolite2,scanner,10.401,80,fresh
