proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
212.154.169.90:3128,212.154.169.90,3128,http,2834,64,http_probe,2026-09-06T20:17:11Z,KZ,anonymous,headers,True,github_raw,7,95,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,LLC Electronic Commerce Center,50482,JSC Kazakhtelecom,Almaty,Almaty,geolite2,none,99.998,763,fresh
212.154.169.90:3128,212.154.169.90,3128,https,2723,62,https_connect_probe,2026-09-06T20:17:12Z,KZ,elite,protocol,True,github_raw,2,96,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,LLC Electronic Commerce Center,50482,JSC Kazakhtelecom,Almaty,Almaty,geolite2,none,99.998,762,fresh
45.10.40.17:80,45.10.40.17,80,http,1696,63,http_fallback,2026-09-06T20:48:47Z,KZ,elite,headers,False,active_scan,1,39,dbip,unknown,0,unknown,2026-09-04T11:38:10Z,unknown,unknown,,9123,Jsc timeweb,Almaty,Almaty,geolite2,unknown,99.997,287,fresh
178.236.16.4:8888,178.236.16.4,8888,http,2881,59,http_probe,2026-09-06T20:42:42Z,KZ,anonymous,headers,True,api,25,4,dbip,unknown,0,unknown,2026-09-03T04:58:18Z,unknown,residential,,205516,Nls Astana Llp,Astana,Astana,geolite2,unknown,82.718,160,fresh
213.148.6.12:7777,213.148.6.12,7777,socks5,10633,52,socks5_probe,2026-09-06T20:48:59Z,KZ,elite,protocol,True,api,17,5,dbip,unknown,0,unknown,2026-09-02T01:06:02Z,unknown,hosting,Modern Server Solutions LLP,48988,Modern Server Solutions LLP,Almaty,Almaty,geolite2,scanner,79.528,879,fresh
178.236.16.4:8888,178.236.16.4,8888,https,3044,61,https_connect_probe,2026-09-06T20:29:57Z,KZ,elite,protocol,True,html_table,25,5,dbip,unknown,0,unknown,2026-09-03T04:58:18Z,unknown,residential,,205516,Nls Astana Llp,Astana,Astana,geolite2,unknown,79.414,177,fresh
178.236.16.4:1080,178.236.16.4,1080,socks5,7115,51,socks5_probe,2026-09-06T20:04:53Z,KZ,elite,protocol,True,api,15,0,dbip,unknown,0,unknown,2026-09-03T04:58:18Z,unknown,residential,,205516,Nls Astana Llp,Astana,Astana,geolite2,unknown,48.731,108,fresh
109.248.152.231:60606,109.248.152.231,60606,socks4,2815,54,socks4_fallback,2026-09-06T21:01:29Z,KZ,elite,protocol,False,github_raw,4,1,dbip,unknown,0,unknown,2026-09-04T22:57:22Z,unknown,unknown,,8200,Uplink LLC,Kostanay,Kostanay,geolite2,unknown,36.314,513,fresh
89.169.37.254:8080,89.169.37.254,8080,http,4945,51,http_probe,2026-09-06T20:36:15Z,KZ,anonymous,headers,True,github_raw,10,0,dbip,unknown,0,unknown,2026-09-06T08:20:48Z,unknown,residential,,205516,Nls Astana Llp,Astana,Astana,geolite2,unknown,30.962,573,fresh
37.221.202.27:8080,37.221.202.27,8080,http,4992,43,http_fallback,2026-09-06T20:30:06Z,KZ,transparent,headers,False,api,21,0,dbip,unknown,0,unknown,2026-09-05T12:07:25Z,unknown,residential,Obit-Telecommunications LLC,43370,"OBIT-telecommunications, LLC",Almaty,Almaty,ip2proxy,spam,18.954,566,fresh
