proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
189.51.168.164:999,189.51.168.164,999,https,1633,70,https_connect_probe,2026-09-06T20:23:51Z,MX,elite,protocol,True,github_raw,25,46,dbip,likely_residential,70,ip2proxy_lite,2026-08-31T02:38:42Z,exit,residential,Comunicacion Por Fibra Sa de CV,270111,Comunicacion por Fibra SA de CV,Mérida,Yucatán,geolite2,scanner,99.998,271,fresh
205.164.192.115:999,205.164.192.115,999,http,4180,61,http_probe,2026-09-06T20:23:50Z,MX,anonymous,headers,True,api,28,26,dbip,unknown,0,unknown,2026-09-01T18:32:50Z,unknown,hosting,Jose de Jesus Vazquez Ponce,270207,MULTICARRIER JE S. DE R.L. DE C.V.,Ayotlán,Jalisco,geolite2,spam,99.89,1106,fresh
108.174.152.80:1080,108.174.152.80,1080,socks5,1479,71,socks5_probe,2026-09-06T20:42:46Z,MX,elite,protocol,True,api,13,20,dbip,unknown,0,unknown,2026-09-05T07:30:49Z,unknown,hosting,,31898,Oracle Corporation,,,unknown,unknown,99.694,52,fresh
38.194.246.34:999,38.194.246.34,999,https,2341,67,https_connect_probe,2026-09-06T20:23:51Z,MX,elite,protocol,True,github_raw,26,9,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Cogent Communications LLC,28458,IENTC S DE RL DE CV,Huauchinango,Puebla,geolite2,scanner/spam,96.654,921,fresh
38.194.246.34:999,38.194.246.34,999,http,2569,57,http_fallback,2026-09-06T20:23:50Z,MX,transparent,headers,False,api,26,11,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Cogent Communications LLC,28458,IENTC S DE RL DE CV,Huauchinango,Puebla,geolite2,scanner/spam,96.177,980,fresh
205.164.192.115:999,205.164.192.115,999,https,5736,60,https_connect_probe,2026-09-06T20:36:01Z,MX,elite,protocol,True,github_raw,28,9,dbip,unknown,0,unknown,2026-09-01T18:32:50Z,unknown,hosting,Jose de Jesus Vazquez Ponce,270207,MULTICARRIER JE S. DE R.L. DE C.V.,Ayotlán,Jalisco,geolite2,spam,96.152,1070,fresh
200.188.112.146:999,200.188.112.146,999,https,3748,58,https_connect_probe,2026-09-06T20:23:51Z,MX,elite,protocol,True,github_raw,2,7,dbip,unknown,0,unknown,2026-09-06T09:48:00Z,unknown,unknown,,11172,"Alestra, S. de R.L. de C.V.",,,unknown,unknown,93.485,51,fresh
108.174.152.80:1080,108.174.152.80,1080,socks4,1271,68,socks4_probe,2026-09-06T20:48:58Z,MX,elite,protocol,True,github_raw,9,5,dbip,unknown,0,unknown,2026-09-05T07:30:49Z,unknown,hosting,,31898,Oracle Corporation,,,unknown,unknown,93.446,48,fresh
189.51.168.164:999,189.51.168.164,999,http,3678,58,http_probe,2026-09-06T20:42:42Z,MX,anonymous,headers,True,github_raw,25,5,dbip,likely_residential,70,ip2proxy_lite,2026-08-31T02:38:42Z,exit,residential,Comunicacion Por Fibra Sa de CV,270111,Comunicacion por Fibra SA de CV,Mérida,Yucatán,geolite2,scanner,93.445,431,fresh
200.188.112.147:999,200.188.112.147,999,https,1436,64,https_connect_probe,2026-09-06T20:48:48Z,MX,elite,protocol,True,github_raw,2,6,dbip,unknown,0,unknown,2026-09-06T09:48:00Z,unknown,unknown,,11172,"Alestra, S. de R.L. de C.V.",,,unknown,unknown,90.002,54,fresh
