proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
103.95.34.186:3128,103.95.34.186,3128,http,487,77,http_fallback,2026-09-06T20:48:47Z,MY,elite,headers,False,api,17,105,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,9930,"TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah A",Kuala Lumpur,Kuala Lumpur,geolite2,unknown,99.998,813,fresh
219.93.101.62:80,219.93.101.62,80,http,669,73,http_fallback,2026-09-06T20:17:11Z,MY,anonymous,headers,False,github_raw,15,94,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Batu Pahat,Johor,geolite2,unknown,99.998,900,fresh
219.93.101.60:80,219.93.101.60,80,http,688,73,http_fallback,2026-09-06T20:17:11Z,MY,anonymous,headers,False,github_raw,16,46,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Batu Pahat,Johor,geolite2,unknown,99.998,914,fresh
219.93.101.63:80,219.93.101.63,80,http,707,73,http_fallback,2026-09-06T20:17:11Z,MY,anonymous,headers,False,github_raw,16,46,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Batu Pahat,Johor,geolite2,unknown,99.998,902,fresh
175.136.239.173:8181,175.136.239.173,8181,https,884,68,https_connect_probe,2026-09-06T21:01:29Z,MY,elite,protocol,True,github_raw,28,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,spam,87.19,1024,fresh
175.136.239.173:8181,175.136.239.173,8181,http,940,65,http_probe,2026-09-06T21:01:28Z,MY,anonymous,headers,True,github_raw,28,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,spam,87.166,996,fresh
175.139.255.25:8181,175.139.255.25,8181,https,879,68,https_connect_probe,2026-09-06T21:01:29Z,MY,elite,protocol,True,github_raw,28,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,spam,87.134,990,fresh
175.139.255.25:8181,175.139.255.25,8181,http,780,67,http_probe,2026-09-06T21:01:28Z,MY,anonymous,headers,True,github_raw,28,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,spam,85.804,1017,fresh
103.1.105.10:4153,103.1.105.10,4153,socks4,1808,63,socks4_probe,2026-09-06T20:55:25Z,MY,elite,protocol,True,github_raw,12,3,dbip,unknown,0,unknown,2026-09-03T08:12:30Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,,,unknown,unknown,84.254,730,fresh
45.117.228.97:4145,45.117.228.97,4145,socks4,2365,61,socks4_probe,2026-09-06T20:48:58Z,MY,elite,protocol,True,github_raw,4,5,dbip,unknown,0,unknown,2026-09-03T07:27:35Z,unknown,business,Neo Damansara Block E-B1-01,134202,E-WORLD COMMUNICATION SDN BHD,Petaling Jaya,Selangor,ip2proxy,botnet/scanner,82.962,318,fresh
175.143.76.177:8181,175.143.76.177,8181,https,1011,67,https_connect_probe,2026-09-06T21:01:29Z,MY,elite,protocol,True,github_raw,19,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,spam,76.493,990,fresh
175.136.239.174:8181,175.136.239.174,8181,https,5291,53,https_connect_probe,2026-09-06T20:55:22Z,MY,elite,protocol,True,github_raw,23,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,spam,60.923,1005,fresh
175.139.200.17:4153,175.139.200.17,4153,socks4,2793,58,socks4_probe,2026-09-06T21:01:29Z,MY,elite,protocol,True,api,12,1,dbip,likely_residential,70,ip2proxy_lite,2026-08-31T09:02:48Z,exit,residential,TM Technology Services Sdn. Bhd.,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Kuala Lumpur,Kuala Lumpur,geolite2,scanner,55.698,795,fresh
58.84.16.214:1231,58.84.16.214,1231,https,4587,54,https_fallback,2026-09-06T19:38:50Z,MY,elite,protocol,True,github_raw,6,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T11:03:11Z,exit,residential,Extreme Broadband Sdn. Bhd.,38182,Extreme Broadband - Total Broadband Experience,Putrajaya,Wilayah Persekutuan Putrajaya,ip2proxy,none,38.958,1021,fresh
113.23.230.90:8080,113.23.230.90,8080,https,1725,58,https_connect_probe,2026-09-06T20:11:05Z,MY,elite,protocol,True,github_raw,2,0,dbip,unknown,0,unknown,2026-09-01T04:47:17Z,unknown,residential,,38182,Extreme Broadband - Total Broadband Experience,,,unknown,unknown,33.094,230,fresh
1.32.48.243:8081,1.32.48.243,8081,https,9255,45,https_connect_probe,2026-09-06T20:17:14Z,MY,elite,protocol,True,github_raw,2,0,dbip,unknown,0,unknown,2026-08-31T04:02:54Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Cyberjaya,Selangor,geolite2,unknown,32.11,333,fresh
113.23.230.90:8080,113.23.230.90,8080,http,1093,55,http_fallback,2026-09-06T20:30:07Z,MY,transparent,headers,False,github_raw,19,0,dbip,unknown,0,unknown,2026-09-01T04:47:17Z,unknown,residential,,38182,Extreme Broadband - Total Broadband Experience,,,unknown,unknown,22.675,186,fresh
180.74.108.17:8080,180.74.108.17,8080,http,2458,49,http_fallback,2026-09-06T20:30:06Z,MY,transparent,headers,False,api,21,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T11:03:11Z,exit,residential,Telekom Malaysia Berhad,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Iskandar Puteri,Johor,geolite2,scanner,22.12,764,fresh
1.32.48.243:8081,1.32.48.243,8081,http,3827,45,http_fallback,2026-09-06T20:30:06Z,MY,transparent,headers,False,api,20,0,dbip,unknown,0,unknown,2026-08-31T04:02:54Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Cyberjaya,Selangor,geolite2,unknown,18.957,268,fresh
43.217.201.189:9991,43.217.201.189,9991,socks5,298,64,socks5_fallback,2026-09-06T20:30:21Z,MY,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-04T05:55:10Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Kuala Lumpur,Kuala Lumpur,geolite2,none,17.142,40,fresh
