proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
102.36.231.77:1080,102.36.231.77,1080,socks4,2211,68,socks4_probe,2026-09-13T09:09:27Z,NG,elite,protocol,True,github_raw,14,34,dbip,unknown,0,unknown,2026-09-12T17:10:23Z,unknown,residential,Timeless Network Services Ltd,328555,Timeless Network Services Ltd,Lagos,Lagos,geolite2,scanner,99.989,550,fresh
196.1.182.130:1080,196.1.182.130,1080,socks4,2962,65,socks4_probe,2026-09-13T09:09:27Z,NG,elite,protocol,True,github_raw,15,14,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,residential,Posh Apartment Adeniyi Jones Ikj,37629,eStream Networks,Lagos,Lagos,ip2proxy,scanner,98.865,1388,fresh
196.1.182.158:1080,196.1.182.158,1080,socks4,6943,55,socks4_probe,2026-09-13T08:56:07Z,NG,elite,protocol,True,api,15,5,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Japaul MD Residence,37629,eStream Networks,Lagos,Lagos,ip2proxy,scanner,88.92,1270,fresh
197.156.240.66:5678,197.156.240.66,5678,socks4,3565,58,socks4_fallback,2026-09-13T08:49:45Z,NG,elite,protocol,False,api,11,5,dbip,unknown,0,unknown,2026-09-10T00:18:54Z,unknown,hosting,Krestal Laurel,30988,IS InternetSolutions Limited,Lagos,Lagos,ip2proxy,botnet/scanner,81.811,431,fresh
41.184.92.220:80,41.184.92.220,80,http,1844,60,http_fallback,2026-09-13T09:33:34Z,NG,anonymous,headers,False,api,17,4,dbip,unknown,0,unknown,2026-09-07T20:44:36Z,unknown,residential,,29091,ipNX Nigeria Limited,Asokoro,FCT,geolite2,unknown,74.024,1066,fresh
41.184.92.221:80,41.184.92.221,80,http,1787,59,http_fallback,2026-09-13T09:15:47Z,NG,anonymous,headers,False,api,17,3,dbip,unknown,0,unknown,2026-09-07T20:44:36Z,unknown,residential,,29091,ipNX Nigeria Limited,Asokoro,FCT,geolite2,unknown,70.786,887,fresh
41.75.84.86:4153,41.75.84.86,4153,socks4,2986,55,socks4_fallback,2026-09-13T09:33:44Z,NG,elite,protocol,False,github_raw,15,1,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,unknown,,37125,Layer3 Limited,Abuja,FCT,geolite2,unknown,68.306,1324,fresh
154.113.147.14:8080,154.113.147.14,8080,https,10901,47,https_fallback,2026-09-13T09:27:41Z,NG,elite,protocol,True,api,5,2,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Static Assignment,37282,Main one Cable Company Nigeria Limited,Ikeja,Lagos,geolite2,spam,54.365,1392,fresh
102.69.146.59:7080,102.69.146.59,7080,socks5,4968,53,socks5_probe,2026-09-13T08:42:51Z,NG,elite,protocol,True,api,17,0,dbip,unknown,0,unknown,2026-09-07T22:51:20Z,unknown,residential,IP Express Saka-Tinubu via Hyperia,328451,IP Express Ltd,Lagos,Lagos,geolite2,scanner,51.562,1061,fresh
154.113.147.14:8080,154.113.147.14,8080,http,5602,43,http_fallback,2026-09-13T09:27:36Z,NG,transparent,headers,False,api,22,1,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Static Assignment,37282,Main one Cable Company Nigeria Limited,Ikeja,Lagos,geolite2,spam,51.122,926,fresh
45.222.101.111:8080,45.222.101.111,8080,https,11071,46,https_connect_probe,2026-09-13T09:21:31Z,NG,elite,protocol,True,github_raw,5,1,dbip,unknown,0,unknown,2026-09-11T20:33:51Z,unknown,residential,Zeta-Web Static Assigned Range,328035,Zeta-web Nigeria Limited,Lagos,Lagos,geolite2,none,35.648,1320,fresh
154.113.209.162:8082,154.113.209.162,8082,https,13173,44,https_connect_probe,2026-09-13T08:10:25Z,NG,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-06T18:44:18Z,unknown,residential,Static Assignment,37282,Main one Cable Company Nigeria Limited,Lagos,Lagos,ip2proxy,none,27.859,427,fresh
41.203.83.242:8080,41.203.83.242,8080,https,7949,50,https_connect_probe,2026-09-13T09:03:08Z,NG,elite,protocol,True,github_raw,6,0,dbip,unknown,0,unknown,2026-09-06T16:55:06Z,unknown,wireless,Globacom Limited,37148,Globacom Limited,Lagos,Lagos,ip2proxy,botnet,23.627,803,fresh
45.222.101.111:8080,45.222.101.111,8080,http,6267,42,http_fallback,2026-09-13T09:02:58Z,NG,transparent,headers,False,api,21,0,dbip,unknown,0,unknown,2026-09-11T20:33:51Z,unknown,residential,Zeta-Web Static Assigned Range,328035,Zeta-web Nigeria Limited,Lagos,Lagos,geolite2,none,23.586,931,fresh
102.36.133.62:8080,102.36.133.62,8080,https,5672,49,https_connect_probe,2026-09-13T08:43:06Z,NG,elite,protocol,True,github_raw,3,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-07T04:49:26Z,exit,residential,Syscodes Communication VI,328556,SYSCODES COMMUNICATIONS LIMITED,Lagos,Lagos,ip2proxy,none,15.715,992,fresh
