proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
110.34.3.144:1080,110.34.3.144,1080,socks4,4457,62,socks4_probe,2026-09-13T09:09:26Z,NP,elite,protocol,True,github_raw,14,16,dbip,likely_residential,70,ip2proxy_lite,2026-09-08T10:20:54Z,exit,residential,Subisu Corporate Pool16,4007,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal",Kathmandu,Bagmati Province,geolite2,scanner,99.23,944,fresh
103.167.187.4:1080,103.167.187.4,1080,socks4,1541,69,socks4_fallback,2026-09-13T09:02:50Z,NP,elite,protocol,False,github_raw,11,10,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T12:14:58Z,exit,residential,Smart Link Network Pvt Ltd,58504,TECHMINDS NETWORKS PVT. LTD.,Kathmandu,Bagmati,ip2proxy,scanner,89.682,308,fresh
124.41.213.174:5678,124.41.213.174,5678,socks4,1000,66,socks4_fallback,2026-09-13T09:15:57Z,NP,elite,protocol,False,api,13,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-09T09:58:15Z,exit,residential,Static Subnet for Enterprise at BTW-BHW,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati Province,geolite2,botnet/scanner,89.303,926,fresh
139.5.75.83:8080,139.5.75.83,8080,https,8484,54,https_connect_probe,2026-09-13T08:49:31Z,NP,elite,protocol,True,github_raw,4,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T10:59:54Z,exit,residential,Static Allocation for Enterprise Customer at East,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati,ip2proxy,none,88.165,1239,fresh
103.86.57.9:4145,103.86.57.9,4145,socks4,2339,62,socks4_probe,2026-09-13T09:27:50Z,NP,elite,protocol,True,github_raw,9,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-09T22:35:25Z,exit,residential,Web Networks Pvt. Ltd.,136380,Web Networks Pvt. Ltd.,Bharatpur,Bagmati,ip2proxy,botnet/scanner,85.916,994,fresh
124.41.225.101:1080,124.41.225.101,1080,socks5,5176,53,socks5_fallback,2026-09-13T09:09:30Z,NP,elite,protocol,False,api,17,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T10:36:58Z,exit,residential,Static Subnet for Enterprise at Birgunj,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati Province,geolite2,scanner,84.973,1370,fresh
202.79.35.12:1080,202.79.35.12,1080,socks4,6235,52,socks4_fallback,2026-09-13T09:27:50Z,NP,elite,protocol,False,github_raw,11,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-06T22:22:36Z,exit,residential,Fiber Subnet,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati Province,geolite2,scanner,84.465,750,fresh
202.79.47.159:10800,202.79.47.159,10800,socks4,6075,52,socks4_probe,2026-09-13T08:49:45Z,NP,elite,protocol,True,github_raw,11,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T11:22:53Z,exit,residential,Static subnet for enterprise customer at KTM,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati Province,geolite2,scanner,71.574,1153,fresh
118.91.175.146:5678,118.91.175.146,5678,socks4,1981,60,socks4_fallback,2026-09-13T09:09:29Z,NP,elite,protocol,False,api,14,2,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Internet Service Provider,24550,Websurfer Nepal Internet Service Provider,Namche Bazar,Koshi,ip2proxy,scanner/spam,71.317,866,fresh
202.70.80.153:5678,202.70.80.153,5678,socks4,5973,50,socks4_fallback,2026-09-13T09:33:44Z,NP,elite,protocol,False,github_raw,10,1,dbip,unknown,0,unknown,2026-09-06T22:22:36Z,unknown,wireless,Nepal Telecommunications Corporation,23752,"Nepal Telecommunications Corporation, Internet Services,",Kathmandu,Bagmati,ip2proxy,scanner,64.234,744,fresh
116.90.234.106:1080,116.90.234.106,1080,socks4,2392,59,socks4_probe,2026-09-13T09:21:41Z,NP,elite,protocol,True,github_raw,13,1,dbip,unknown,0,unknown,2026-09-09T22:13:14Z,unknown,residential,Internet Service Provider,24550,Websurfer Nepal Internet Service Provider,Kathmandu,Bagmati,ip2proxy,scanner,63.083,809,fresh
202.166.196.105:48293,202.166.196.105,48293,socks4,5113,53,socks4_probe,2026-09-13T09:21:41Z,NP,elite,protocol,True,api,11,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-10T15:07:30Z,exit,residential,Allocated For Wlink Branch Network,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati Province,geolite2,scanner/spam,62.948,673,fresh
116.90.224.50:8080,116.90.224.50,8080,http,3958,55,http_probe,2026-09-13T09:33:34Z,NP,anonymous,headers,True,github_raw,13,3,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,residential,Internet Service Provider,24550,Websurfer Nepal Internet Service Provider,Kathmandu,Bagmati,ip2proxy,none,52.536,948,fresh
110.44.115.83:8080,110.44.115.83,8080,https,8583,49,https_connect_probe,2026-09-13T09:02:40Z,NP,elite,protocol,True,github_raw,7,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T12:51:00Z,exit,residential,Via Net Communication Ltd,45650,VIA NET COMMUNICATION LTD.,Kathmandu,Bagmati Province,geolite2,scanner,43.196,1225,fresh
202.166.220.40:8080,202.166.220.40,8080,https,3066,57,https_connect_probe,2026-09-13T09:21:31Z,NP,elite,protocol,True,github_raw,24,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Enterprise Pool,17501,WorldLink Communications Pvt Ltd,Kathmandu,Bagmati Province,geolite2,none,40.302,1310,fresh
36.253.25.11:8181,36.253.25.11,8181,https,4852,51,https_connect_probe,2026-09-13T09:09:16Z,NP,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-13T04:23:41Z,unknown,wireless,Ncell Private Ltd.,38565,Ncell Pvt. Ltd.,Kathmandu,Bagmati,ip2proxy,none,32.206,415,fresh
103.1.93.184:55443,103.1.93.184,55443,https,7320,50,https_connect_probe,2026-09-13T08:56:19Z,NP,elite,protocol,True,api,7,0,dbip,unknown,0,unknown,2026-09-07T10:42:50Z,unknown,residential,ClassicTech Pvt. Ltd.,55915,Classic Tech Pvt. Ltd.,Kathmandu,Bagmati,ip2proxy,botnet,19.61,1052,fresh
