proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
190.12.95.170:37209,190.12.95.170,37209,socks4,6895,57,socks4_fallback,2026-09-13T08:56:07Z,PE,elite,protocol,False,api,17,11,dbip,unknown,0,unknown,2026-09-07T06:18:01Z,unknown,business,Miraflores de Turismo S.A.C.,27843,ON EMPRESAS S.A.C.,Lima,Lima Province,geolite2,botnet/scanner,95.96,1293,fresh
38.224.231.81:999,38.224.231.81,999,https,5760,55,https_fallback,2026-09-13T09:02:40Z,PE,elite,protocol,True,github_raw,4,6,dbip,unknown,0,unknown,2026-09-10T06:22:54Z,unknown,residential,Cogent Communications LLC,272106,CORPORACION TARAZONA CATV S.A.C.,Lima,Lima Province,geolite2,none,77.696,1067,fresh
64.76.73.131:999,64.76.73.131,999,https,7785,50,https_fallback,2026-09-13T09:21:31Z,PE,elite,protocol,True,github_raw,3,4,dbip,unknown,0,unknown,2026-09-12T14:40:10Z,unknown,residential,Fiberlink E.I.R.L.,274087,FIBERLINK E.I.R.L.,Lima,Lima Province,geolite2,none,71.888,1218,fresh
51.161.123.224:8080,51.161.123.224,8080,https,6216,49,https_connect_probe,2026-09-13T09:27:44Z,PE,elite,protocol,True,github_raw,2,2,dbip,unknown,0,unknown,2026-09-10T02:27:01Z,unknown,hosting,Alexandru Bradescu-Popa,16276,OVH SAS,Bucharest,Bucuresti,ip2proxy,none,63.897,129,fresh
181.66.37.87:999,181.66.37.87,999,https,11395,46,https_connect_probe,2026-09-13T09:09:23Z,PE,elite,protocol,True,github_raw,4,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T16:08:12Z,exit,residential,Integratel Peru S.A.A.,6147,INTEGRATEL PERU S.A.A.,Chorrillos,Lima region,geolite2,none,59.059,1107,fresh
190.216.163.198:999,190.216.163.198,999,http,4059,53,http_probe,2026-09-13T09:21:51Z,PE,anonymous,headers,True,github_raw,20,1,dbip,unknown,0,unknown,2026-09-10T23:24:26Z,unknown,business,Conecto Company Telecom S.A.C.,3549,"Level 3 Parent, LLC",Lima,Lima Province,geolite2,scanner,52.739,630,fresh
138.186.76.57:999,138.186.76.57,999,https,5433,50,https_connect_probe,2026-09-13T08:49:40Z,PE,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-13T06:55:56Z,unknown,hosting,Exa Networks S.A.C.,270076,EXA NETWORKS S.A.C.,Lima,Lima Province,geolite2,none,51.069,1111,fresh
38.252.213.248:999,38.252.213.248,999,https,6050,52,https_connect_probe,2026-09-13T09:27:46Z,PE,elite,protocol,True,html_table,5,2,dbip,unknown,0,unknown,2026-09-13T08:46:19Z,unknown,unknown,,272801,RED AMONES S.A.C.,Lima,Lima Province,geolite2,unknown,49.991,434,fresh
187.102.211.202:3128,187.102.211.202,3128,https,10566,45,https_connect_probe,2026-09-13T09:09:22Z,PE,elite,protocol,True,github_raw,2,2,dbip,unknown,0,unknown,2026-09-10T08:55:41Z,unknown,hosting,Cogent Communications LLC,273209,CABLE STAR TV SAC,Lima,Lima Province,geolite2,none,46.464,452,fresh
200.123.27.123:999,200.123.27.123,999,http,5852,51,http_probe,2026-09-13T09:21:31Z,PE,anonymous,headers,True,github_raw,22,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-06T17:37:11Z,exit,residential,GTD Peru S.A,22411,GTD PERU S.A,Lima,Lima Province,geolite2,scanner,46.054,635,fresh
