proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
203.177.217.222:8082,203.177.217.222,8082,https,687,77,https_connect_probe,2026-09-15T23:04:07Z,PH,elite,protocol,True,github_raw,26,21,dbip,unknown,0,unknown,2026-09-13T13:25:47Z,unknown,wireless,Globe Telecom Inc,4775,Globe Telecoms,Aroroy,Bicol Region,geolite2,none,99.675,778,fresh
203.177.217.222:8082,203.177.217.222,8082,http,689,75,http_probe,2026-09-15T23:04:07Z,PH,anonymous,headers,True,github_raw,26,11,dbip,unknown,0,unknown,2026-09-13T13:25:47Z,unknown,wireless,Globe Telecom Inc,4775,Globe Telecoms,Aroroy,Bicol Region,geolite2,none,97.687,1096,fresh
124.105.40.93:1080,124.105.40.93,1080,socks4,882,73,socks4_probe,2026-09-15T23:16:31Z,PH,elite,protocol,True,github_raw,14,7,dbip,unknown,0,unknown,2026-09-09T19:44:24Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,Mandaluyong,Metro Manila,geolite2,scanner,89.971,916,fresh
180.190.187.234:8082,180.190.187.234,8082,https,5796,56,https_connect_probe,2026-09-15T23:04:07Z,PH,elite,protocol,True,github_raw,5,6,dbip,unknown,0,unknown,2026-09-13T08:46:19Z,unknown,unknown,,132199,Globe Telecom Inc.,Lahug,Central Visayas,geolite2,unknown,85.116,586,fresh
119.95.176.156:8082,119.95.176.156,8082,https,5765,50,https_connect_probe,2026-09-15T23:16:31Z,PH,elite,protocol,True,github_raw,2,3,dbip,unknown,0,unknown,2026-09-09T16:31:22Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,San Fernando City,Central Luzon,geolite2,none,70.466,748,fresh
115.147.58.42:5050,115.147.58.42,5050,https,7594,49,https_connect_probe,2026-09-15T23:22:59Z,PH,elite,protocol,True,github_raw,4,2,dbip,unknown,0,unknown,2026-09-12T10:16:43Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,Concepcion,Central Luzon,geolite2,none,66.005,1559,fresh
180.191.22.50:4153,180.191.22.50,4153,socks4,5721,53,socks4_probe,2026-09-15T23:29:40Z,PH,elite,protocol,True,github_raw,13,2,dbip,unknown,0,unknown,2026-09-13T04:00:46Z,unknown,unknown,,4775,Globe Telecoms,Cainta,Calabarzon,geolite2,unknown,65.515,197,fresh
119.93.123.229:4145,119.93.123.229,4145,socks4,3676,55,socks4_fallback,2026-09-15T23:29:40Z,PH,elite,protocol,False,github_raw,12,2,dbip,unknown,0,unknown,2026-09-14T15:59:49Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,Mandaluyong City,National Capital Region,ip2proxy,botnet/scanner,65.24,920,fresh
58.69.124.137:8080,58.69.124.137,8080,http,3795,55,http_probe,2026-09-15T23:22:59Z,PH,anonymous,headers,True,github_raw,28,2,dbip,unknown,0,unknown,2026-09-13T03:18:22Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,Antipolo City,Calabarzon,geolite2,none,56.324,903,fresh
180.191.32.166:8081,180.191.32.166,8081,https,4609,52,https_connect_probe,2026-09-15T22:57:59Z,PH,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-12T13:34:07Z,unknown,wireless,Globe Telecom Inc,132199,Globe Telecom Inc.,Cabanatuan City,Central Luzon,geolite2,scanner,53.882,1292,fresh
124.217.13.209:5050,124.217.13.209,5050,https,5531,51,https_connect_probe,2026-09-15T23:10:19Z,PH,elite,protocol,True,github_raw,3,2,dbip,unknown,0,unknown,2026-09-12T11:44:56Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,Cebu City,Central Visayas,geolite2,none,52.752,1198,fresh
122.52.157.170:8082,122.52.157.170,8082,https,10757,44,https_connect_probe,2026-09-15T23:04:07Z,PH,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-09T03:36:43Z,unknown,wireless,Philippine Long Distance Telephone Company,9299,Philippine Long Distance Telephone Company,Lipa City,Calabarzon,geolite2,scanner,52.632,715,fresh
