proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
202.142.169.142:1080,202.142.169.142,1080,socks4,12945,54,socks4_probe,2026-09-26T19:22:25Z,PK,elite,protocol,True,github_raw,15,22,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Multinet Pakistan Pvt. Ltd.,9260,Multinet Pakistan Pvt. Ltd.,Lahore,Punjab,geolite2,scanner,99.824,1684,fresh
72.255.38.180:1080,72.255.38.180,1080,socks5,6128,58,socks5_fallback,2026-09-26T19:41:18Z,PK,elite,protocol,False,github_raw,17,11,dbip,unknown,0,unknown,2026-09-22T19:14:27Z,unknown,residential,Cyber Internet Services Pakistan,9541,Cyber Internet Services (Pvt) Ltd.,Lahore,Punjab,geolite2,scanner,97.699,1935,fresh
27.54.121.90:1080,27.54.121.90,1080,socks5,4540,59,socks5_fallback,2026-09-26T19:41:18Z,PK,elite,protocol,False,github_raw,13,8,dbip,unknown,0,unknown,2026-09-25T06:25:15Z,unknown,unknown,,55453,SKY TELECOM,,,unknown,unknown,96.59,64,fresh
110.38.234.74:1080,110.38.234.74,1080,socks4,7054,56,socks4_fallback,2026-09-26T19:47:43Z,PK,elite,protocol,False,github_raw,15,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,National WIMAX/IMS Environment,38264,National WiMAX/IMS environment,Lahore,Punjab,geolite2,scanner,94.979,1717,fresh
58.65.142.254:8125,58.65.142.254,8125,socks4,6566,57,socks4_probe,2026-09-26T19:41:16Z,PK,elite,protocol,True,api,14,7,dbip,likely_residential,70,ip2proxy_lite,2026-09-20T10:40:37Z,exit,residential,Nayatel (Pvt) Ltd,23674,Nayatel (Pvt) Ltd,Faisalabad,Punjab,geolite2,scanner,93.11,148,fresh
103.115.198.39:5678,103.115.198.39,5678,socks4,4857,58,socks4_probe,2026-09-26T19:15:52Z,PK,elite,protocol,True,github_raw,13,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:29:31Z,exit,residential,Ambitions Communication System (SMC-Private) Limited,152605,Z COM NETWORKS,Lahore,Punjab,geolite2,scanner,88.226,2123,fresh
202.59.75.4:8080,202.59.75.4,8080,https,8744,49,https_connect_probe,2026-09-26T19:22:18Z,PK,elite,protocol,True,github_raw,3,4,dbip,unknown,0,unknown,2026-09-26T03:15:40Z,unknown,hosting,NexLinx Networks (PVT) Limited,17563,Autonomous System Number for Nexlinx,Lahore,Punjab,ip2proxy,none,77.269,399,fresh
124.109.44.126:4145,124.109.44.126,4145,socks4,3253,58,socks4_probe,2026-09-26T19:22:26Z,PK,elite,protocol,True,github_raw,12,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Nayatel (Pvt) Ltd,23674,Nayatel (Pvt) Ltd,Islamabad,Islamabad,geolite2,botnet/scanner,74.572,1847,fresh
110.38.234.74:1256,110.38.234.74,1256,https,10653,50,https_connect_probe,2026-09-26T19:35:02Z,PK,elite,protocol,True,github_raw,7,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,National WIMAX/IMS Environment,38264,National WiMAX/IMS environment,Lahore,Punjab,geolite2,scanner,72.437,2087,fresh
103.205.178.226:8080,103.205.178.226,8080,https,5935,52,https_connect_probe,2026-09-26T19:41:10Z,PK,elite,protocol,True,github_raw,4,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-21T09:25:33Z,exit,residential,Satcomm (Pvt.) Ltd.,38713,"Broadband ISP, FTTH and Cable Service Provider",Karachi,Sindh,ip2proxy,none,69.625,1783,fresh
160.30.104.170:1080,160.30.104.170,1080,socks4,895,69,socks4_fallback,2026-09-26T19:47:44Z,PK,elite,protocol,False,github_raw,13,5,dbip,unknown,0,unknown,2026-09-26T13:42:38Z,unknown,business,Falak Sair Dyeing Mill (Private) Limited,134489,S. B Link Network,Khanpur,Punjab,ip2proxy,scanner,69.106,1345,fresh
