proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
85.158.57.32:80,85.158.57.32,80,http,1312,65,http_fallback,2026-09-13T09:15:47Z,PL,elite,headers,False,active_scan,1,166,dbip,unknown,0,unknown,2026-09-07T16:45:01Z,unknown,unknown,,212238,Datacamp Limited,Warsaw,Mazovia,geolite2,unknown,100.0,166,fresh
178.212.144.7:80,178.212.144.7,80,http,735,66,http_fallback,2026-09-13T09:09:16Z,PL,transparent,headers,False,api,17,603,dbip,unknown,0,unknown,2026-09-07T02:41:33Z,unknown,residential,IdeaLAN Sp. z o.o.,51436,IDEALAN Sp. z o.o.,Sokółka,Podlasie,geolite2,scanner/spam,99.998,633,fresh
91.223.52.141:5678,91.223.52.141,5678,socks4,4145,63,socks4_probe,2026-09-13T09:27:48Z,PL,elite,protocol,True,api,12,12,dbip,unknown,0,unknown,2026-09-06T10:11:01Z,unknown,residential,,197177,InterWan Sp. z o.o.,Warsaw,Mazovia,geolite2,unknown,98.158,643,fresh
91.150.189.122:60647,91.150.189.122,60647,socks4,1596,68,socks4_fallback,2026-09-13T09:15:57Z,PL,elite,protocol,False,github_raw,17,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-11T02:39:10Z,exit,residential,Skyware Sp. z o.o.,42673,Skyware Sp. z o.o.,Rzeszów,Subcarpathia,geolite2,botnet/scanner,97.989,1013,fresh
185.79.243.153:38431,185.79.243.153,38431,socks4,5684,55,socks4_fallback,2026-09-13T09:27:49Z,PL,elite,protocol,False,github_raw,16,6,dbip,unknown,0,unknown,2026-09-06T23:05:57Z,unknown,residential,PHU Kario-SAT Sp. Z o.o.,206957,PHU Kario-Sat Sp. z o.o.,Piotrkow Trybunalski,Łódź Voivodeship,geolite2,botnet/scanner/spam,91.971,750,fresh
91.202.195.221:5678,91.202.195.221,5678,socks4,2138,65,socks4_probe,2026-09-13T09:02:50Z,PL,elite,protocol,True,github_raw,14,6,dbip,unknown,0,unknown,2026-09-08T16:52:23Z,unknown,residential,Netservice,202228,Netservice,Czechowice-Dziedzice,Silesia,geolite2,none,89.964,250,fresh
46.171.28.162:59311,46.171.28.162,59311,socks4,2054,63,socks4_probe,2026-09-13T09:33:45Z,PL,elite,protocol,True,github_raw,17,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Orange Polska Spolka Akcyjna,5617,Orange Polska Spolka Akcyjna,Zblewo,Pomerania,geolite2,botnet/scanner,81.662,1259,fresh
185.32.4.126:4153,185.32.4.126,4153,socks4,2637,62,socks4_probe,2026-09-13T09:27:50Z,PL,elite,protocol,True,github_raw,10,5,dbip,unknown,0,unknown,2026-09-12T10:36:58Z,unknown,residential,Korbank S. A.,60645,AS Consulting Sp. z o. o.,Chociwel,Zachodniopomorskie,ip2proxy,scanner,77.121,1283,fresh
88.220.133.87:4153,88.220.133.87,4153,socks4,5265,53,socks4_probe,2026-09-13T09:27:47Z,PL,elite,protocol,True,api,14,1,dbip,unknown,0,unknown,2026-09-08T07:04:38Z,unknown,unknown,,20804,Exatel S.A.,Warsaw,Mazovia,geolite2,unknown,68.645,285,fresh
94.40.127.166:4145,94.40.127.166,4145,socks4,2633,59,socks4_fallback,2026-09-13T09:21:41Z,PL,elite,protocol,False,api,15,4,dbip,unknown,0,unknown,2026-09-06T15:09:26Z,unknown,business,Centrum Medyczne SW. Lukasza Spolka Z Ograniczona Odpowiedzialnoscia,12741,Netia SA,Warsaw,Mazovia,geolite2,botnet/scanner,65.385,343,fresh
185.14.149.33:4145,185.14.149.33,4145,socks4,2134,61,socks4_probe,2026-09-13T09:09:29Z,PL,elite,protocol,True,github_raw,11,2,dbip,unknown,0,unknown,2026-09-13T06:13:05Z,unknown,unknown,,61233,Enformatel Sp. z o.o.,Zielona Góra,Lubusz,geolite2,unknown,61.646,933,fresh
212.126.5.245:42344,212.126.5.245,42344,socks4,3229,57,socks4_probe,2026-09-13T08:42:48Z,PL,elite,protocol,True,github_raw,16,0,dbip,unknown,0,unknown,2026-09-07T19:37:35Z,unknown,unknown,Institute of Bioorganic Chemistry Polish Academy of Science Poznan Supercomputing and Networking Center,8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networ",Poznan,Greater Poland,geolite2,scanner,57.406,429,fresh
185.140.103.1:8080,185.140.103.1,8080,https,8424,46,https_connect_probe,2026-09-13T09:09:24Z,PL,elite,protocol,True,github_raw,2,2,dbip,unknown,0,unknown,2026-09-12T15:46:32Z,unknown,residential,Netkom Uslugi Informatyczne,201637,Tomasz Naruszewicz,Jeziorany,Warminsko-Mazurskie,ip2proxy,none,56.63,249,fresh
57.128.249.250:9052,57.128.249.250,9052,socks5,9453,48,socks5_probe,2026-09-13T09:02:53Z,PL,elite,protocol,True,api,15,0,dbip,unknown,0,unknown,2026-09-07T19:37:35Z,unknown,hosting,,214677,DELUXHOST,,,unknown,unknown,56.533,1397,fresh
57.128.249.250:9052,57.128.249.250,9052,socks4,1995,61,socks4_probe,2026-09-13T09:02:50Z,PL,elite,protocol,True,github_raw,14,0,dbip,unknown,0,unknown,2026-09-11T13:06:44Z,unknown,hosting,,214677,DELUXHOST,,,unknown,unknown,55.771,1158,fresh
185.238.238.137:58080,185.238.238.137,58080,https,8765,47,https_connect_probe,2026-09-13T09:33:42Z,PL,elite,protocol,True,github_raw,3,2,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,207221,RADIO-NET,Koropatnik,Lower Silesia,geolite2,unknown,52.832,1231,fresh
185.238.238.29:58080,185.238.238.29,58080,https,4663,51,https_connect_probe,2026-09-13T09:09:22Z,PL,elite,protocol,True,github_raw,2,2,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,207221,RADIO-NET,Koropatnik,Lower Silesia,geolite2,unknown,48.117,1359,fresh
185.32.4.110:4153,185.32.4.110,4153,socks4,2180,61,socks4_probe,2026-09-13T09:33:45Z,PL,elite,protocol,True,github_raw,11,2,dbip,unknown,0,unknown,2026-09-06T12:17:18Z,unknown,residential,Korbank S. A.,60645,AS Consulting Sp. z o. o.,Chociwel,Zachodniopomorskie,ip2proxy,scanner,47.766,1017,fresh
212.126.5.248:42344,212.126.5.248,42344,socks4,5835,52,socks4_probe,2026-09-13T09:27:47Z,PL,elite,protocol,True,github_raw,8,1,dbip,unknown,0,unknown,2026-09-07T19:37:35Z,unknown,unknown,Institute of Bioorganic Chemistry Polish Academy of Science Poznan Supercomputing and Networking Center,8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networ",Poznan,Greater Poland,geolite2,scanner,47.765,627,fresh
