proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
192.203.0.142:999,192.203.0.142,999,http,6090,44,http_fallback,2026-09-26T19:41:06Z,PR,transparent,headers,False,api,17,3,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,residential,Boom Net,63393,BOOM NET,Humacao,,geolite2,none,72.722,1486,fresh
192.203.0.210:999,192.203.0.210,999,https,8809,47,https_connect_probe,2026-09-26T19:47:30Z,PR,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-09-26T11:11:21Z,unknown,residential,Boom Net,63393,BOOM NET,Humacao,,geolite2,scanner,66.476,2009,fresh
154.64.219.4:5555,154.64.219.4,5555,socks4,2604,58,socks4_probe,2026-09-26T19:15:52Z,PR,elite,protocol,True,github_raw,13,0,dbip,unknown,0,unknown,2026-09-26T11:33:48Z,unknown,unknown,,21559,OSNET,Yabucoa,,geolite2,unknown,55.364,1089,fresh
67.206.213.202:3120,67.206.213.202,3120,https,4841,54,https_connect_probe,2026-09-26T19:41:11Z,PR,elite,protocol,True,github_raw,5,2,dbip,unknown,0,unknown,2026-09-26T10:29:31Z,unknown,residential,Liberty Mobile Puerto Rico Inc.,11992,Liberty Mobile Puerto Rico Inc.,Bayamón,,geolite2,botnet/scanner/spam,53.638,1841,fresh
67.206.213.202:55555,67.206.213.202,55555,socks4,2744,58,socks4_probe,2026-09-26T19:35:11Z,PR,elite,protocol,True,github_raw,11,1,dbip,unknown,0,unknown,2026-09-26T10:29:31Z,unknown,residential,Liberty Mobile Puerto Rico Inc.,11992,Liberty Mobile Puerto Rico Inc.,Bayamón,,geolite2,botnet/scanner/spam,52.79,1775,fresh
192.203.0.142:999,192.203.0.142,999,https,8000,49,https_connect_probe,2026-09-26T19:15:46Z,PR,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,residential,Boom Net,63393,BOOM NET,Humacao,,geolite2,none,48.741,1661,fresh
23.138.88.65:999,23.138.88.65,999,https,4592,53,https_connect_probe,2026-09-26T19:03:00Z,PR,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-20T04:57:13Z,unknown,residential,,400354,ALPHANET CORP,Adjuntas,,geolite2,unknown,48.08,1844,fresh
23.138.88.96:999,23.138.88.96,999,https,10334,47,https_connect_probe,2026-09-26T19:35:01Z,PR,elite,protocol,True,github_raw,5,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-24T09:28:42Z,exit,residential,Alphanet Corp,400354,ALPHANET CORP,Adjuntas,,geolite2,none,47.448,925,fresh
154.64.211.145:999,154.64.211.145,999,https,8022,48,https_connect_probe,2026-09-26T19:03:00Z,PR,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-20T04:57:13Z,unknown,unknown,,21559,OSNET,Corozal,,geolite2,unknown,46.945,1581,fresh
23.138.88.1:999,23.138.88.1,999,https,10734,44,https_fallback,2026-09-26T19:47:29Z,PR,elite,protocol,True,github_raw,3,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T16:57:31Z,exit,residential,Alphanet Corp,400354,ALPHANET CORP,Adjuntas,,geolite2,none,44.477,1950,fresh
192.203.0.118:999,192.203.0.118,999,https,7944,49,https_connect_probe,2026-09-26T18:56:30Z,PR,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-26T12:39:16Z,unknown,residential,Boom Net,63393,BOOM NET,Humacao,,geolite2,none,37.76,1985,fresh
192.92.193.18:999,192.92.193.18,999,https,6881,47,https_connect_probe,2026-09-26T18:37:03Z,PR,elite,protocol,True,github_raw,2,0,dbip,unknown,0,unknown,2026-09-24T15:42:43Z,unknown,residential,Boom Net,63393,BOOM NET,Ceiba,,geolite2,none,30.734,1562,fresh
192.92.193.18:999,192.92.193.18,999,http,7029,49,http_probe,2026-09-26T19:16:00Z,PR,anonymous,headers,True,github_raw,15,0,dbip,unknown,0,unknown,2026-09-24T15:42:43Z,unknown,residential,Boom Net,63393,BOOM NET,Ceiba,,geolite2,none,23.525,1233,fresh
192.203.0.78:999,192.203.0.78,999,https,13236,44,https_connect_probe,2026-09-26T18:50:28Z,PR,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-26T15:54:07Z,unknown,residential,Boom Net,63393,BOOM NET,Humacao,,geolite2,none,12.974,1716,fresh
