proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
179.189.219.98:4145,179.189.219.98,4145,socks4,5924,58,socks4_fallback,2026-09-26T19:22:25Z,PY,elite,protocol,False,github_raw,12,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T11:33:48Z,exit,residential,Tecnologia en Electronica E Informatica Sociedad Anonima,28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),Asunción,Asuncion,geolite2,botnet/scanner/spam,95.695,1815,fresh
181.94.197.37:13049,181.94.197.37,13049,socks5,6368,51,socks5_fallback,2026-09-26T19:29:18Z,PY,elite,protocol,False,github_raw,16,2,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,wireless,Nucleo S.A.,27895,Nucleo S.A.,Fernando de la Mora,Central,ip2proxy,scanner,80.435,439,fresh
45.177.16.131:999,45.177.16.131,999,https,3942,58,https_fallback,2026-09-26T19:22:18Z,PY,elite,protocol,True,github_raw,5,5,dbip,unknown,0,unknown,2026-09-26T09:44:36Z,unknown,residential,,267885,MSW S.A.,Ciudad del Este,Alto Paraná Department,geolite2,unknown,70.806,1816,fresh
170.245.132.81:999,170.245.132.81,999,https,4334,56,https_connect_probe,2026-09-26T19:22:23Z,PY,elite,protocol,True,github_raw,18,2,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,residential,Machado Baez Nery Javier,270096,"MACHADO BAEZ, NERY JAVIER (LOCAL NET PARAGUAY)",Mbuyapey,Paraguari,ip2proxy,none,69.779,2120,fresh
45.170.131.218:999,45.170.131.218,999,http,4506,52,http_probe,2026-09-26T19:09:20Z,PY,anonymous,headers,True,api,20,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T13:21:18Z,exit,residential,Yassin Jaber,61512,GIG@NET SOCIEDAD ANONIMA,Ciudad del Este,Alto Paraná Department,geolite2,none,58.145,1160,fresh
181.94.197.37:8080,181.94.197.37,8080,http,5848,50,http_probe,2026-09-26T19:47:29Z,PY,anonymous,headers,True,github_raw,20,1,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,wireless,Nucleo S.A.,27895,Nucleo S.A.,Fernando de la Mora,Central,ip2proxy,scanner,47.329,1240,fresh
45.177.16.134:999,45.177.16.134,999,https,8249,46,https_connect_probe,2026-09-26T19:03:02Z,PY,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-26T09:44:36Z,unknown,residential,,267885,MSW S.A.,Ciudad del Este,Alto Paraná Department,geolite2,unknown,42.688,1935,fresh
181.78.216.93:999,181.78.216.93,999,https,10521,45,https_connect_probe,2026-09-26T19:15:40Z,PY,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-22T21:27:05Z,unknown,hosting,IFX Networks Argentina S.R.L.,52468,UFINET PANAMA S.A.,Asuncion,Asuncion,ip2proxy,none,35.394,1622,fresh
45.177.16.136:999,45.177.16.136,999,https,2915,55,https_connect_probe,2026-09-26T19:36:28Z,PY,elite,protocol,True,github_raw,3,1,dbip,unknown,0,unknown,2026-09-26T09:44:36Z,unknown,residential,,267885,MSW S.A.,Ciudad del Este,Alto Paraná Department,geolite2,unknown,34.189,1992,fresh
45.177.16.132:999,45.177.16.132,999,https,3679,55,https_connect_probe,2026-09-26T19:23:11Z,PY,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-26T09:44:36Z,unknown,residential,,267885,MSW S.A.,Ciudad del Este,Alto Paraná Department,geolite2,unknown,31.303,1993,fresh
