proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
62.217.181.202:80,62.217.181.202,80,http,618,67,http_fallback,2026-09-06T20:17:11Z,RU,unknown,unknown,False,active_scan,1,196,dbip,unknown,0,unknown,2026-08-31T02:38:42Z,unknown,business,,198610,Beget LLC,St Petersburg,St.-Petersburg,geolite2,unknown,100.0,196,fresh
185.186.143.190:9001,185.186.143.190,9001,http,2462,61,http_probe,2026-09-06T20:29:56Z,RU,anonymous,headers,True,github_raw,2,45,dbip,unknown,0,unknown,2026-09-06T20:31:41Z,unknown,unknown,,204490,Kontel LLC,Moscow,Moscow,geolite2,unknown,100.0,45,fresh
178.253.55.228:80,178.253.55.228,80,http,1385,56,http_fallback,2026-09-06T20:48:47Z,RU,transparent,headers,False,active_scan,1,64,dbip,unknown,0,unknown,2026-09-04T17:35:26Z,unknown,unknown,,203273,NetCrafters OU,Moscow,Moscow,geolite2,unknown,100.0,64,fresh
185.186.143.190:9001,185.186.143.190,9001,https,2427,63,https_connect_probe,2026-09-06T20:17:12Z,RU,elite,protocol,True,github_raw,2,40,dbip,unknown,0,unknown,2026-09-06T20:31:41Z,unknown,unknown,,204490,Kontel LLC,Moscow,Moscow,geolite2,unknown,99.998,42,fresh
185.49.110.155:1080,185.49.110.155,1080,socks5,6711,59,socks5_probe,2026-09-06T20:48:58Z,RU,elite,protocol,True,api,17,40,dbip,unknown,0,unknown,2026-08-31T20:46:45Z,unknown,residential,Semantic LLC,202234,Semantic LLC,Krasnogorsk,Moscow Oblast,geolite2,scanner,99.992,496,fresh
193.233.218.121:1080,193.233.218.121,1080,socks5,2774,66,socks5_probe,2026-09-06T20:17:21Z,RU,elite,protocol,True,github_raw,15,23,dbip,unknown,0,unknown,2026-09-02T13:35:15Z,unknown,unknown,,216246,Aeza Group LLC,St Petersburg,St.-Petersburg,geolite2,unknown,99.834,136,fresh
84.54.217.219:1080,84.54.217.219,1080,socks5,2282,66,socks5_fallback,2026-09-06T20:17:21Z,RU,elite,protocol,False,api,16,17,dbip,unknown,0,unknown,2026-09-06T05:29:07Z,unknown,wireless,OJSC Rostelecom,12683,Rostelecom,Stavropol',Stavropol'skiy kray,ip2proxy,scanner,98.959,53,fresh
94.247.241.70:51006,94.247.241.70,51006,socks4,2328,67,socks4_probe,2026-09-06T20:17:17Z,RU,elite,protocol,True,github_raw,16,12,dbip,likely_residential,70,ip2proxy_lite,2026-08-31T10:06:56Z,exit,residential,JSC ER-Telecom Holding,41733,JSC ER-Telecom Holding,St Petersburg,St.-Petersburg,geolite2,botnet/scanner/spam,98.286,1044,fresh
46.47.197.210:3128,46.47.197.210,3128,http,1419,69,http_fallback,2026-09-06T20:29:56Z,RU,elite,headers,False,github_raw,17,12,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,PJSC MegaFon,20632,PJSC MegaFon,Zavod',Kostromskaya oblast',ip2proxy,botnet,98.17,935,fresh
46.8.104.176:1080,46.8.104.176,1080,socks4,6877,57,socks4_fallback,2026-09-06T20:48:58Z,RU,elite,protocol,False,github_raw,15,9,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Evro Telecom OOO,207952,Evro Telecom OOO,St Petersburg,St.-Petersburg,geolite2,scanner,97.17,994,fresh
109.94.1.23:4050,109.94.1.23,4050,http,4794,60,http_probe,2026-09-06T20:23:50Z,RU,anonymous,headers,True,api,27,13,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,,50009,Quartz Telecom LLC,Podolsk,Moscow Oblast,geolite2,unknown,96.454,1104,fresh
83.219.1.130:5678,83.219.1.130,5678,socks4,2579,67,socks4_probe,2026-09-06T20:17:17Z,RU,elite,protocol,True,api,11,9,dbip,unknown,0,unknown,2026-09-06T04:04:48Z,unknown,residential,Dialup Pool of Perm city,12389,Rostelecom,Perm,Permskiy kray,ip2proxy,botnet/scanner,96.069,371,fresh
62.76.103.121:8010,62.76.103.121,8010,http,2438,62,http_probe,2026-09-06T20:36:00Z,RU,anonymous,headers,True,api,17,6,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,29182,JSC IOT,,,unknown,unknown,94.191,53,fresh
91.233.169.23:8081,91.233.169.23,8081,http,1469,61,http_fallback,2026-09-06T20:55:22Z,RU,transparent,headers,False,github_raw,15,11,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T10:42:40Z,exit,residential,Excellent Signalman LLC,42765,Excellent Signalman LLC,St Petersburg,St.-Petersburg,geolite2,none,93.752,843,fresh
188.191.164.55:4890,188.191.164.55,4890,socks5,3506,61,socks5_fallback,2026-09-06T20:48:58Z,RU,elite,protocol,False,api,17,8,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,50577,Intelsc Ltd.,,,unknown,unknown,93.458,803,fresh
5.130.50.118:1080,5.130.50.118,1080,socks5,2528,67,socks5_probe,2026-09-06T20:42:47Z,RU,elite,protocol,True,text_site,15,9,dbip,unknown,0,unknown,2026-09-04T08:02:59Z,unknown,residential,Novotelecom Ltd,31200,Novotelecom Ltd,Novosibirsk,Novosibirsk Oblast,geolite2,scanner,91.11,312,fresh
89.250.148.158:1080,89.250.148.158,1080,socks4,4935,60,socks4_fallback,2026-09-06T20:36:03Z,RU,elite,protocol,False,api,15,9,dbip,unknown,0,unknown,2026-08-30T21:13:52Z,unknown,unknown,,41682,JSC ER-Telecom Holding,Tyumen,Tyumen Oblast,geolite2,unknown,89.579,850,fresh
86.102.255.179:3128,86.102.255.179,3128,https,2863,59,https_connect_probe,2026-09-06T21:01:29Z,RU,elite,protocol,True,html_table,4,4,dbip,unknown,0,unknown,2026-09-05T19:32:07Z,unknown,residential,Boikoe Local Electrocommunication Node,12332,Rostelecom,Vladivostok,Primorye,geolite2,scanner,89.211,107,fresh
37.193.125.68:1090,37.193.125.68,1090,socks4,6967,52,socks4_fallback,2026-09-06T20:48:58Z,RU,elite,protocol,False,github_raw,15,4,dbip,unknown,0,unknown,2026-09-01T00:27:48Z,unknown,residential,Novotelecom Ltd,31200,Novotelecom Ltd,Novosibirsk,Novosibirsk Oblast,geolite2,scanner,88.546,1001,fresh
88.87.79.18:3629,88.87.79.18,3629,socks4,4619,59,socks4_probe,2026-09-06T20:29:58Z,RU,elite,protocol,True,api,11,6,dbip,unknown,0,unknown,2026-09-02T19:44:00Z,unknown,residential,JSC ER-Telecom Holding,39435,JSC ER-Telecom Holding,Volgograd,Volgograd Oblast,geolite2,scanner,86.636,732,fresh
62.76.103.121:8010,62.76.103.121,8010,https,2379,59,https_connect_probe,2026-09-06T20:42:43Z,RU,elite,protocol,True,github_raw,2,5,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,29182,JSC IOT,,,unknown,unknown,84.634,61,fresh
109.94.1.23:4050,109.94.1.23,4050,https,7326,51,https_fallback,2026-09-06T21:01:29Z,RU,elite,protocol,True,github_raw,27,2,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,,50009,Quartz Telecom LLC,Podolsk,Moscow Oblast,geolite2,unknown,84.006,1040,fresh
62.76.103.121:8001,62.76.103.121,8001,http,2458,62,http_probe,2026-09-06T20:48:47Z,RU,anonymous,headers,True,github_raw,20,6,dbip,unknown,0,unknown,2026-09-02T02:31:04Z,unknown,hosting,,29182,JSC IOT,,,unknown,unknown,83.93,206,fresh
