proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
77.221.142.205:80,77.221.142.205,80,http,1433,64,http_fallback,2026-09-19T17:19:33Z,SE,elite,headers,False,active_scan,1,72,dbip,unknown,0,unknown,2026-09-17T06:53:28Z,unknown,unknown,,210644,Aeza Group LLC,Stockholm,Stockholm County,geolite2,unknown,100.0,72,fresh
87.121.105.65:80,87.121.105.65,80,http,1536,64,http_fallback,2026-09-19T16:54:32Z,SE,elite,headers,False,active_scan,1,53,dbip,unknown,0,unknown,2026-09-18T03:09:23Z,unknown,business,,215439,Play2go International Limited,Stockholm,Stockholm County,geolite2,unknown,99.998,460,fresh
45.61.129.165:9050,45.61.129.165,9050,socks4,2426,67,socks4_probe,2026-09-19T17:07:36Z,SE,elite,protocol,True,api,29,17,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,hosting,,214503,QuxLabs AB,,,unknown,unknown,99.538,1399,fresh
87.239.250.142:80,87.239.250.142,80,http,1406,64,http_fallback,2026-09-19T17:26:06Z,SE,elite,headers,False,active_scan,1,9,dbip,unknown,0,unknown,2026-09-17T23:33:15Z,unknown,hosting,Syn Ltd,200740,First Server Limited,Amsterdam,North Holland,geolite2,none,97.315,669,fresh
57.128.231.218:1001,57.128.231.218,1001,socks5,7106,50,socks5_fallback,2026-09-19T17:39:21Z,SE,elite,protocol,False,github_raw,16,2,dbip,unknown,0,unknown,2026-09-17T11:53:56Z,unknown,unknown,,39351,31173 Services AB,Malmö,Skåne County,geolite2,unknown,87.122,214,fresh
13.53.139.178:55700,13.53.139.178,55700,socks4,825,56,socks4_fallback,2026-09-19T17:32:42Z,SE,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-14T22:53:59Z,unknown,business,Amazon Data Services Sweden,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,scanner,60.511,123,fresh
79.76.52.220:1080,79.76.52.220,1080,socks5,5931,51,socks5_fallback,2026-09-19T17:13:38Z,SE,elite,protocol,False,github_raw,14,2,dbip,unknown,0,unknown,2026-09-18T02:26:14Z,unknown,hosting,Oracle Svenska AB,31898,Oracle Corporation,Stockholm,Stockholm County,geolite2,scanner,59.483,657,fresh
13.53.139.178:25784,13.53.139.178,25784,socks4,831,56,socks4_fallback,2026-09-19T17:32:41Z,SE,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-14T22:53:59Z,unknown,business,Amazon Data Services Sweden,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,scanner,56.513,181,fresh
13.53.139.178:20529,13.53.139.178,20529,socks4,836,56,socks4_fallback,2026-09-19T17:32:41Z,SE,unknown,unknown,False,github_raw,1,1,dbip,unknown,0,unknown,2026-09-14T22:53:59Z,unknown,business,Amazon Data Services Sweden,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,scanner,56.346,164,fresh
85.228.42.180:4153,85.228.42.180,4153,socks4,2196,62,socks4_probe,2026-09-19T17:39:15Z,SE,elite,protocol,True,github_raw,15,3,dbip,unknown,0,unknown,2026-09-16T01:28:09Z,unknown,wireless,Telenor Sverige AB,8434,Telenor Sverige AB,Upplands Vasby,Stockholm County,geolite2,scanner,56.333,1048,fresh
13.51.196.44:25349,13.51.196.44,25349,socks5,1090,55,socks5_fallback,2026-09-19T17:19:47Z,SE,unknown,unknown,False,github_raw,1,2,dbip,unknown,0,unknown,2026-09-14T19:36:21Z,unknown,business,Amazon Data Services Sweden,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,none,54.513,51,fresh
13.53.139.178:1668,13.53.139.178,1668,socks5,1108,54,socks5_fallback,2026-09-19T17:00:56Z,SE,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-14T22:53:59Z,unknown,business,Amazon Data Services Sweden,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,scanner,51.23,91,fresh
13.53.139.178:38146,13.53.139.178,38146,http,576,66,http_fallback,2026-09-19T17:39:08Z,SE,anonymous,headers,False,github_raw,5,2,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,unknown,,205100,F3 Netze e.V.,,,unknown,unknown,48.354,214,fresh
13.53.139.178:9080,13.53.139.178,9080,http,599,64,http_fallback,2026-09-19T17:39:08Z,SE,anonymous,headers,False,github_raw,3,2,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,unknown,,198093,Foreningen for digitala fri- och rattigheter,,,unknown,unknown,46.759,42,fresh
13.53.139.178:3129,13.53.139.178,3129,socks5,1071,54,socks5_fallback,2026-09-19T17:00:56Z,SE,unknown,unknown,False,github_raw,1,0,dbip,unknown,0,unknown,2026-09-14T22:53:59Z,unknown,business,Amazon Data Services Sweden,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,scanner,44.854,49,fresh
13.60.181.61:9667,13.60.181.61,9667,socks4,842,57,socks4_fallback,2026-09-19T17:39:17Z,SE,unknown,unknown,False,github_raw,1,2,dbip,unknown,0,unknown,2026-09-14T18:54:37Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,none,40.603,242,fresh
13.60.181.61:536,13.60.181.61,536,socks4,815,58,socks4_fallback,2026-09-19T17:39:16Z,SE,unknown,unknown,False,github_raw,1,2,dbip,unknown,0,unknown,2026-09-14T18:54:37Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Stockholm,Stockholm County,geolite2,none,40.536,56,fresh
13.53.139.178:4145,13.53.139.178,4145,http,595,66,http_fallback,2026-09-19T17:19:55Z,SE,anonymous,headers,False,github_raw,6,0,dbip,unknown,0,unknown,2026-09-19T09:36:24Z,unknown,unknown,,58087,Florian Kolb,,,unknown,unknown,37.353,224,fresh
