proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.245.38.123:80,140.245.38.123,80,http,610,71,http_fallback,2026-09-26T19:15:39Z,SG,elite,headers,False,active_scan,1,48,dbip,unknown,0,unknown,2026-09-25T05:19:29Z,unknown,hosting,,31898,Oracle Corporation,Singapore,,geolite2,unknown,100.0,48,fresh
167.172.64.190:8080,167.172.64.190,8080,http,210,75,http_fallback,2026-09-26T19:15:39Z,SG,unknown,unknown,False,active_scan,1,457,dbip,unknown,0,unknown,2026-09-24T09:51:10Z,unknown,hosting,,14061,"DigitalOcean, LLC",Singapore,,geolite2,unknown,99.998,685,fresh
43.156.165.50:80,43.156.165.50,80,http,215,75,http_fallback,2026-09-26T19:15:39Z,SG,unknown,unknown,False,active_scan,1,64,dbip,unknown,0,unknown,2026-09-23T11:56:46Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,unknown,99.998,309,fresh
129.212.226.248:8080,129.212.226.248,8080,http,226,74,http_fallback,2026-09-26T19:15:39Z,SG,unknown,unknown,False,active_scan,1,458,dbip,unknown,0,unknown,2026-09-21T15:50:14Z,unknown,hosting,,14061,"DigitalOcean, LLC",Singapore,,geolite2,unknown,99.998,559,fresh
45.77.244.108:1080,45.77.244.108,1080,socks5,698,74,socks5_probe,2026-09-26T19:03:06Z,SG,elite,protocol,True,github_raw,3,122,dbip,unknown,0,unknown,2026-09-26T09:44:36Z,unknown,unknown,,20473,"The Constant Company, LLC",Singapore,,geolite2,unknown,99.998,1472,fresh
172.104.185.69:80,172.104.185.69,80,http,417,66,http_fallback,2026-09-26T19:15:39Z,SG,transparent,headers,False,github_raw,1,633,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,,63949,Akamai Connected Cloud,Singapore,,geolite2,unknown,99.998,1468,fresh
128.199.121.61:9090,128.199.121.61,9090,https,924,74,https_connect_probe,2026-09-26T19:29:03Z,SG,elite,protocol,True,github_raw,5,17,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,99.374,2049,fresh
165.225.113.220:11589,165.225.113.220,11589,http,721,72,http_fallback,2026-09-26T19:15:39Z,SG,elite,headers,False,github_raw,4,21,dbip,unknown,0,unknown,2026-09-26T04:20:15Z,unknown,hosting,,53813,"ZSCALER, INC.",Singapore,,geolite2,unknown,99.078,59,fresh
128.199.116.219:9090,128.199.116.219,9090,http,726,74,http_probe,2026-09-26T19:15:39Z,SG,anonymous,headers,True,github_raw,8,13,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,98.311,1904,fresh
152.42.170.187:9090,152.42.170.187,9090,https,700,75,https_connect_probe,2026-09-26T19:47:30Z,SG,elite,protocol,True,github_raw,4,13,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,spam,98.19,2200,fresh
143.42.66.91:80,143.42.66.91,80,http,436,78,http_fallback,2026-09-26T19:15:39Z,SG,elite,headers,False,html_table,14,13,dbip,unknown,0,unknown,2026-09-21T05:02:43Z,unknown,residential,ViewQwest Pte Ltd,18106,Viewqwest Pte Ltd,Singapore,,geolite2,scanner/spam,97.977,1579,fresh
128.199.113.85:9090,128.199.113.85,9090,https,618,75,https_connect_probe,2026-09-26T19:02:57Z,SG,elite,protocol,True,github_raw,4,8,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,95.726,2078,fresh
152.42.177.32:8888,152.42.177.32,8888,https,753,73,https_connect_probe,2026-09-26T19:09:20Z,SG,elite,protocol,True,github_raw,3,9,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,94.97,2088,fresh
129.226.89.151:80,129.226.89.151,80,https,884,71,https_connect_probe,2026-09-26T19:22:17Z,SG,elite,protocol,True,github_raw,2,9,dbip,unknown,0,unknown,2026-09-20T10:19:01Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,94.341,1097,fresh
43.134.39.221:10000,43.134.39.221,10000,socks5,3239,61,socks5_probe,2026-09-26T19:47:45Z,SG,elite,protocol,True,github_raw,16,5,dbip,unknown,0,unknown,2026-09-25T06:02:47Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,unknown,93.446,49,fresh
104.248.151.93:9090,104.248.151.93,9090,https,876,71,https_connect_probe,2026-09-26T19:02:57Z,SG,elite,protocol,True,github_raw,3,8,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,92.661,2054,fresh
129.226.93.232:80,129.226.93.232,80,http,3474,58,http_fallback,2026-09-26T19:02:54Z,SG,unknown,unknown,False,api,14,9,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,92.544,1377,fresh
129.226.89.151:80,129.226.89.151,80,http,896,72,http_probe,2026-09-26T19:02:54Z,SG,anonymous,headers,True,github_raw,8,8,dbip,unknown,0,unknown,2026-09-20T10:19:01Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,92.357,998,fresh
43.98.172.166:3128,43.98.172.166,3128,https,468,77,https_fallback,2026-09-26T19:15:40Z,SG,elite,protocol,True,html_table,5,7,dbip,unknown,0,unknown,2026-09-21T17:15:33Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",,,unknown,unknown,92.15,1049,fresh
128.199.116.219:9090,128.199.116.219,9090,https,844,68,https_connect_probe,2026-09-26T19:22:18Z,SG,elite,protocol,True,github_raw,3,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,91.91,2011,fresh
43.159.54.178:80,43.159.54.178,80,http,800,71,http_probe,2026-09-26T19:47:29Z,SG,anonymous,headers,True,github_raw,8,6,dbip,unknown,0,unknown,2026-09-26T14:05:28Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,91.125,355,fresh
167.99.74.174:9090,167.99.74.174,9090,https,795,70,https_connect_probe,2026-09-26T19:47:30Z,SG,elite,protocol,True,github_raw,2,7,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,spam,90.202,2071,fresh
159.223.41.216:9090,159.223.41.216,9090,https,630,71,https_connect_probe,2026-09-26T19:41:08Z,SG,elite,protocol,True,github_raw,3,6,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,90.006,1963,fresh
147.93.172.241:5555,147.93.172.241,5555,socks5,768,70,socks5_probe,2026-09-26T19:41:21Z,SG,elite,protocol,True,github_raw,13,3,dbip,unknown,0,unknown,2026-09-24T04:12:21Z,unknown,hosting,,141995,Contabo Asia Private Limited,Singapore,,geolite2,unknown,89.758,82,fresh
104.248.151.93:9090,104.248.151.93,9090,http,871,69,http_probe,2026-09-26T19:22:15Z,SG,anonymous,headers,True,github_raw,15,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,89.137,1932,fresh
8.219.97.248:80,8.219.97.248,80,http,447,77,http_fallback,2026-09-26T19:47:29Z,SG,elite,headers,False,github_raw,31,8,dbip,unknown,0,unknown,2026-09-26T09:44:36Z,unknown,hosting,Alibaba Cloud (Singapore) Private Limited,45102,"Alibaba (US) Technology Co., Ltd.",Singapore,,geolite2,botnet/scanner/spam,88.827,2150,fresh
43.98.172.166:3128,43.98.172.166,3128,http,1421,65,http_probe,2026-09-26T19:41:06Z,SG,anonymous,headers,True,api,20,5,dbip,unknown,0,unknown,2026-09-21T17:15:33Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",,,unknown,unknown,88.437,1094,fresh
152.42.177.32:8888,152.42.177.32,8888,http,757,71,http_probe,2026-09-26T19:22:14Z,SG,anonymous,headers,True,github_raw,8,6,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,88.008,1856,fresh
167.172.76.176:9090,167.172.76.176,9090,http,674,71,http_probe,2026-09-26T19:29:02Z,SG,anonymous,headers,True,github_raw,8,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,87.27,1808,fresh
167.172.76.176:9090,167.172.76.176,9090,https,595,71,https_connect_probe,2026-09-26T19:02:58Z,SG,elite,protocol,True,github_raw,3,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,86.418,1951,fresh
128.199.254.13:9090,128.199.254.13,9090,https,674,71,https_connect_probe,2026-09-26T19:22:18Z,SG,elite,protocol,True,github_raw,4,5,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,86.346,2165,fresh
43.159.54.178:80,43.159.54.178,80,https,537,69,https_connect_probe,2026-09-26T19:47:36Z,SG,elite,protocol,True,github_raw,2,3,dbip,unknown,0,unknown,2026-09-26T14:05:28Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,85.928,392,fresh
159.223.41.216:9090,159.223.41.216,9090,http,782,71,http_probe,2026-09-26T19:41:06Z,SG,anonymous,headers,True,github_raw,7,6,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,85.892,1820,fresh
146.190.80.158:9090,146.190.80.158,9090,http,753,68,http_probe,2026-09-26T19:22:15Z,SG,anonymous,headers,True,github_raw,7,3,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,scanner/spam,84.932,1900,fresh
43.156.248.220:80,43.156.248.220,80,http,675,72,http_probe,2026-09-26T19:15:39Z,SG,anonymous,headers,True,github_raw,8,6,dbip,unknown,0,unknown,2026-09-24T20:01:51Z,unknown,hosting,Aceville Pte.Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,84.874,442,fresh
129.226.206.61:80,129.226.206.61,80,https,493,73,https_connect_probe,2026-09-26T19:35:02Z,SG,elite,protocol,True,github_raw,4,5,dbip,unknown,0,unknown,2026-09-26T14:05:28Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,scanner,84.731,2130,fresh
152.42.170.187:9090,152.42.170.187,9090,http,786,68,http_probe,2026-09-26T19:41:06Z,SG,anonymous,headers,True,github_raw,8,3,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,hosting,DigitalOcean LLC,14061,"DigitalOcean, LLC",Singapore,,geolite2,spam,84.162,1888,fresh
