proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
185.235.16.12:80,185.235.16.12,80,http,1355,62,http_fallback,2026-09-19T16:54:32Z,SY,transparent,headers,False,github_raw,17,158,dbip,unknown,0,unknown,2026-09-19T09:59:23Z,unknown,residential,Bitakat Company Ltd,29256,Syrian Telecommunication Private Closed Joint Stock Company,Damascus,Dimashq,ip2proxy,none,99.998,1271,fresh
185.225.41.170:8080,185.225.41.170,8080,https,1845,57,https_fallback,2026-09-19T17:26:07Z,SY,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-18T03:29:41Z,unknown,unknown,,29256,Syrian Telecommunication Private Closed Joint Stock Company,Damascus,Damascus Governorate,geolite2,unknown,60.548,80,fresh
78.155.66.87:8080,78.155.66.87,8080,https,8859,48,https_connect_probe,2026-09-19T17:39:10Z,SY,elite,protocol,True,github_raw,4,2,dbip,unknown,0,unknown,2026-09-15T06:46:12Z,unknown,residential,Wafa Telecom J.S.C,29256,Syrian Telecommunication Private Closed Joint Stock Company,Homs,Hims,ip2proxy,none,54.77,1416,fresh
89.43.133.201:8080,89.43.133.201,8080,https,5729,50,https_fallback,2026-09-19T17:00:46Z,SY,elite,protocol,True,api,4,0,dbip,unknown,0,unknown,2026-09-13T06:55:56Z,unknown,unknown,,216472,High Speed For Internet Services L.L.C,,,unknown,unknown,51.253,653,fresh
185.225.42.91:1080,185.225.42.91,1080,socks5,14857,44,socks5_fallback,2026-09-19T17:39:23Z,SY,elite,protocol,False,github_raw,16,2,dbip,unknown,0,unknown,2026-09-16T00:22:31Z,unknown,residential,Wafa Telecom J.S.C,29256,Syrian Telecommunication Private Closed Joint Stock Company,Damascus,Dimashq,ip2proxy,scanner,46.037,895,fresh
191.44.127.94:8080,191.44.127.94,8080,http,6321,50,http_probe,2026-09-19T17:00:42Z,SY,anonymous,headers,True,github_raw,16,0,dbip,unknown,0,unknown,2026-09-17T14:01:24Z,unknown,unknown,,216472,High Speed For Internet Services L.L.C,,,unknown,unknown,41.724,15,fresh
89.43.132.219:8080,89.43.132.219,8080,https,9131,47,https_connect_probe,2026-09-19T17:26:06Z,SY,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-09-14T05:12:45Z,unknown,residential,Turk Telekom International HU Kft,216472,High Speed For Internet Services L.L.C,Muhradah,Hamah,ip2proxy,none,40.84,1505,fresh
193.43.140.240:8080,193.43.140.240,8080,https,6641,50,https_connect_probe,2026-09-19T17:32:35Z,SY,elite,protocol,True,github_raw,5,1,dbip,unknown,0,unknown,2026-09-19T15:23:39Z,unknown,residential,Wafa Telecom J.S.C,29256,Syrian Telecommunication Private Closed Joint Stock Company,Damascus,Dimashq,ip2proxy,none,40.094,1416,fresh
195.123.190.38:8080,195.123.190.38,8080,https,9839,44,https_connect_probe,2026-09-19T17:19:35Z,SY,elite,protocol,True,github_raw,2,0,dbip,unknown,0,unknown,2026-09-16T13:40:12Z,unknown,unknown,,216472,High Speed For Internet Services L.L.C,Reyhanlı,Hatay,geolite2,unknown,39.868,1147,fresh
193.43.140.220:7890,193.43.140.220,7890,https,8411,47,https_connect_probe,2026-09-19T17:32:58Z,SY,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-09-19T10:21:58Z,unknown,residential,Wafa Telecom J.S.C,29256,Syrian Telecommunication Private Closed Joint Stock Company,Damascus,Dimashq,ip2proxy,none,38.185,1392,fresh
193.43.159.161:1080,193.43.159.161,1080,socks4,3574,54,socks4_fallback,2026-09-19T16:41:57Z,SY,elite,protocol,False,github_raw,13,0,dbip,unknown,0,unknown,2026-09-18T01:22:21Z,unknown,residential,Wafa Telecom J.S.C,29256,Syrian Telecommunication Private Closed Joint Stock Company,Latakia,Al Ladhiqiyah,ip2proxy,scanner,38.083,981,fresh
