proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
171.4.85.65:5678,171.4.85.65,5678,socks4,3857,63,socks4_probe,2026-09-19T17:26:16Z,TH,elite,protocol,True,github_raw,14,29,dbip,unknown,0,unknown,2026-09-17T20:24:15Z,unknown,residential,,45758,Triple T Broadband Public Company Limited,,,unknown,unknown,99.955,68,fresh
157.85.108.47:3128,157.85.108.47,3128,https,3008,61,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,github_raw,2,17,dbip,unknown,0,unknown,2026-09-16T20:07:55Z,unknown,residential,Readyidc Company Limited,56309,"Siamdata Communication Co.,Ltd.",Don Mueang,Krung Thep Maha Nakhon,ip2proxy,spam,99.55,831,fresh
47.81.56.193:8888,47.81.56.193,8888,https,1368,68,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,github_raw,28,6,dbip,unknown,0,unknown,2026-09-14T02:44:55Z,unknown,hosting,Alibaba Cloud LLC,45102,"Alibaba (US) Technology Co., Ltd.",Bangkok,Bangkok,geolite2,scanner/spam,91.994,1347,fresh
157.85.97.204:3128,157.85.97.204,3128,https,906,66,https_connect_probe,2026-09-19T17:13:27Z,TH,elite,protocol,True,github_raw,3,3,dbip,unknown,0,unknown,2026-09-17T21:50:23Z,unknown,residential,Readyidc Company Limited,56309,"Siamdata Communication Co.,Ltd.",Don Mueang,Krung Thep Maha Nakhon,ip2proxy,scanner/spam,89.735,868,fresh
118.174.14.65:44336,118.174.14.65,44336,socks4,1775,64,socks4_probe,2026-09-19T17:26:16Z,TH,elite,protocol,True,github_raw,10,4,dbip,unknown,0,unknown,2026-09-13T08:01:01Z,unknown,residential,,23969,TOT Public Company Limited,Bangkok,Bangkok,geolite2,unknown,85.474,1223,fresh
125.24.156.113:7080,125.24.156.113,7080,socks5,8306,50,socks5_probe,2026-09-19T17:13:38Z,TH,elite,protocol,True,api,17,2,dbip,unknown,0,unknown,2026-09-17T09:41:56Z,unknown,residential,,23969,TOT Public Company Limited,Lopburi,Lopburi,geolite2,unknown,85.128,1488,fresh
1.179.172.45:31225,1.179.172.45,31225,socks4,6066,54,socks4_probe,2026-09-19T17:32:43Z,TH,elite,protocol,True,github_raw,16,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T11:22:09Z,exit,residential,TOT Public Company Limited,131293,TOT Public Company Limited,Bangkok,Bangkok,geolite2,botnet/scanner,83.512,1448,fresh
157.85.108.47:3128,157.85.108.47,3128,http,1999,63,http_probe,2026-09-19T16:54:32Z,TH,anonymous,headers,True,github_raw,6,5,dbip,unknown,0,unknown,2026-09-16T20:07:55Z,unknown,residential,Readyidc Company Limited,56309,"Siamdata Communication Co.,Ltd.",Don Mueang,Krung Thep Maha Nakhon,ip2proxy,spam,83.17,948,fresh
157.85.111.64:3128,157.85.111.64,3128,http,899,69,http_probe,2026-09-19T17:19:33Z,TH,anonymous,headers,True,github_raw,8,5,dbip,unknown,0,unknown,2026-09-16T21:58:00Z,unknown,residential,Readyidc Company Limited,56309,"Siamdata Communication Co.,Ltd.",Don Mueang,Krung Thep Maha Nakhon,ip2proxy,scanner/spam,82.302,1036,fresh
183.89.250.246:1080,183.89.250.246,1080,socks4,5790,51,socks4_fallback,2026-09-19T17:39:16Z,TH,elite,protocol,False,github_raw,11,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-13T15:12:53Z,exit,residential,Triple T Broadband Public Company Limited,45758,Triple T Broadband Public Company Limited,Mueang Samut Prakan,Samut Prakan,geolite2,scanner,81.953,1291,fresh
180.183.149.236:5678,180.183.149.236,5678,socks4,3814,56,socks4_probe,2026-09-19T17:26:16Z,TH,elite,protocol,True,github_raw,14,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T04:58:29Z,exit,residential,Triple T Broadband Public Company Limited,138524,Triple T Broadband Public Company Limited,Bangkok,Bangkok,geolite2,scanner,79.78,418,fresh
180.183.178.135:3128,180.183.178.135,3128,https,1152,66,https_connect_probe,2026-09-19T17:26:10Z,TH,elite,protocol,True,github_raw,3,5,dbip,unknown,0,unknown,2026-09-17T04:23:23Z,unknown,unknown,,138524,Triple T Broadband Public Company Limited,Bangkok,Bangkok,geolite2,unknown,79.168,121,fresh
116.204.182.120:80,116.204.182.120,80,https,904,66,https_connect_probe,2026-09-19T17:19:36Z,TH,elite,protocol,True,github_raw,3,3,dbip,unknown,0,unknown,2026-09-17T18:18:41Z,unknown,hosting,Bangmod Enterprise,58955,"Bangmod Enterprise Co., Ltd.",Bangkok,Krung Thep Maha Nakhon,ip2proxy,spam,78.672,801,fresh
157.85.111.64:3128,157.85.111.64,3128,https,868,63,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-16T21:58:00Z,unknown,residential,Readyidc Company Limited,56309,"Siamdata Communication Co.,Ltd.",Don Mueang,Krung Thep Maha Nakhon,ip2proxy,scanner/spam,78.43,921,fresh
183.88.240.139:4153,183.88.240.139,4153,socks4,4765,54,socks4_fallback,2026-09-19T17:32:43Z,TH,elite,protocol,False,github_raw,17,3,dbip,unknown,0,unknown,2026-09-19T07:03:46Z,unknown,residential,,23969,TOT Public Company Limited,Pattaya,Chon Buri,geolite2,unknown,74.184,1171,fresh
66.59.197.63:4000,66.59.197.63,4000,socks5,2759,58,socks5_fallback,2026-09-19T17:19:46Z,TH,elite,protocol,False,api,16,3,dbip,unknown,0,unknown,2026-09-14T19:16:14Z,unknown,unknown,,212238,Datacamp Limited,Bangkok,Bangkok,geolite2,unknown,72.591,391,fresh
159.192.121.240:4145,159.192.121.240,4145,socks4,1681,62,socks4_fallback,2026-09-19T17:19:43Z,TH,elite,protocol,False,github_raw,16,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T15:39:10Z,exit,residential,CAT Telecom Public Company Ltd,131090,National Telecom Public Company Limited,Bangkok,Bangkok,geolite2,botnet/scanner,70.31,996,fresh
203.150.128.8:8080,203.150.128.8,8080,http,2769,51,http_fallback,2026-09-19T17:26:06Z,TH,transparent,headers,False,api,14,4,dbip,unknown,0,unknown,2026-09-18T01:00:35Z,unknown,residential,,4618,Internet Thailand Company Limited,Bangkok,Bangkok,geolite2,unknown,70.062,90,fresh
180.183.202.53:8080,180.183.202.53,8080,http,1622,55,http_fallback,2026-09-19T17:26:06Z,TH,transparent,headers,False,github_raw,16,4,dbip,unknown,0,unknown,2026-09-17T03:39:52Z,unknown,unknown,,138524,Triple T Broadband Public Company Limited,Bangkok,Bangkok,geolite2,unknown,68.21,138,fresh
157.85.97.204:3128,157.85.97.204,3128,http,879,65,http_probe,2026-09-19T17:39:28Z,TH,anonymous,headers,True,github_raw,8,1,dbip,unknown,0,unknown,2026-09-17T21:50:23Z,unknown,residential,Readyidc Company Limited,56309,"Siamdata Communication Co.,Ltd.",Don Mueang,Krung Thep Maha Nakhon,ip2proxy,scanner/spam,67.456,1002,fresh
125.26.97.176:8080,125.26.97.176,8080,https,5845,50,https_connect_probe,2026-09-19T17:26:11Z,TH,elite,protocol,True,github_raw,2,3,dbip,unknown,0,unknown,2026-09-15T14:37:32Z,unknown,residential,,23969,TOT Public Company Limited,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,geolite2,unknown,66.619,239,fresh
203.172.120.179:1080,203.172.120.179,1080,socks4,3753,54,socks4_fallback,2026-09-19T17:39:14Z,TH,elite,protocol,False,github_raw,15,1,dbip,unknown,0,unknown,2026-09-16T07:15:10Z,unknown,business,Sinokor Merchant Marine (Thailand) Co. Ltd.,4750,CS LOXINFO PUBLIC COMPANY LIMITED,Bangkok,Krung Thep Maha Nakhon,ip2proxy,scanner,65.413,1198,fresh
223.205.180.228:8080,223.205.180.228,8080,https,5165,53,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,github_raw,26,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T20:25:17Z,exit,residential,Triple T Broadband Public Company Limited,45758,Triple T Broadband Public Company Limited,Phatthalung,Phatthalung,ip2proxy,spam,65.393,1596,fresh
203.150.128.130:8080,203.150.128.130,8080,https,4853,51,https_connect_probe,2026-09-19T17:26:15Z,TH,elite,protocol,True,github_raw,2,2,dbip,unknown,0,unknown,2026-09-13T07:18:40Z,unknown,residential,,4618,Internet Thailand Company Limited,Bangkok,Bangkok,geolite2,unknown,65.306,374,fresh
183.88.219.206:34676,183.88.219.206,34676,socks4,1795,59,socks4_fallback,2026-09-19T16:54:43Z,TH,elite,protocol,False,github_raw,11,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-18T12:10:13Z,exit,residential,Triple T Broadband Public Company Limited,45758,Triple T Broadband Public Company Limited,Kamphaeng Saen,Nakhon Pathom,ip2proxy,botnet/scanner,64.621,1190,fresh
116.204.182.120:80,116.204.182.120,80,http,831,66,http_probe,2026-09-19T17:32:34Z,TH,anonymous,headers,True,api,8,2,dbip,unknown,0,unknown,2026-09-17T18:18:41Z,unknown,hosting,Bangmod Enterprise,58955,"Bangmod Enterprise Co., Ltd.",Bangkok,Krung Thep Maha Nakhon,ip2proxy,spam,63.65,738,fresh
58.136.100.104:8080,58.136.100.104,8080,https,766,66,https_fallback,2026-09-19T17:26:12Z,TH,elite,protocol,True,github_raw,2,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-17T01:07:11Z,exit,residential,Advanced Info Service Public Company Limited,133481,AIS Fibre,Bangkok,Krung Thep Maha Nakhon,ip2proxy,none,61.527,1191,fresh
171.5.187.180:8080,171.5.187.180,8080,https,2572,55,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-17T03:39:52Z,unknown,residential,,45758,Triple T Broadband Public Company Limited,Prachin Buri,Prachin Buri,geolite2,unknown,57.022,146,fresh
125.25.82.207:5678,125.25.82.207,5678,socks4,3786,56,socks4_probe,2026-09-19T17:07:35Z,TH,elite,protocol,True,github_raw,12,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T03:25:39Z,exit,residential,TOT Public Company Limited,23969,TOT Public Company Limited,Chiang Mai,Chiang Mai,geolite2,scanner,56.58,1274,fresh
223.207.103.175:8080,223.207.103.175,8080,https,6885,48,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,api,3,1,dbip,unknown,0,unknown,2026-09-17T06:08:27Z,unknown,residential,,45758,Triple T Broadband Public Company Limited,Udon Thani,Udon Thani,geolite2,unknown,56.006,109,fresh
171.103.19.126:8080,171.103.19.126,8080,http,6360,50,http_probe,2026-09-19T17:32:34Z,TH,anonymous,headers,True,api,22,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T16:25:45Z,exit,residential,True Internet Co. Ltd.,7470,"TRUE INTERNET Co.,Ltd.",Bangkok,Bangkok,geolite2,spam,55.78,1322,fresh
1.179.151.165:31948,1.179.151.165,31948,socks4,987,67,socks4_probe,2026-09-19T17:13:35Z,TH,elite,protocol,True,api,17,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-19T13:14:07Z,exit,residential,TOT Public Company Limited,131293,TOT Public Company Limited,Bangkok,Bangkok,geolite2,botnet/scanner,55.184,1479,fresh
118.175.133.22:8080,118.175.133.22,8080,https,2876,55,https_connect_probe,2026-09-19T17:26:15Z,TH,elite,protocol,True,github_raw,2,2,dbip,unknown,0,unknown,2026-09-13T23:12:14Z,unknown,residential,,23969,TOT Public Company Limited,Bangkok,Bangkok,geolite2,unknown,55.138,337,fresh
113.53.91.26:4153,113.53.91.26,4153,socks4,3741,54,socks4_fallback,2026-09-19T17:13:33Z,TH,elite,protocol,False,github_raw,12,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T18:58:21Z,exit,residential,TOT Public Company Limited,23969,TOT Public Company Limited,Chon Buri,Chon Buri,geolite2,scanner,53.314,1083,fresh
183.89.217.91:4153,183.89.217.91,4153,socks4,4100,55,socks4_probe,2026-09-19T17:39:13Z,TH,elite,protocol,True,api,15,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-16T13:20:12Z,exit,residential,Triple T Broadband Public Company Limited,45758,Triple T Broadband Public Company Limited,Nikhom Nam Un,Sakon Nakhon,ip2proxy,scanner,52.712,1435,fresh
159.192.139.42:5678,159.192.139.42,5678,socks4,4910,55,socks4_probe,2026-09-19T17:39:15Z,TH,elite,protocol,True,api,16,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-13T18:05:04Z,exit,residential,CAT Telecom Public Company Ltd,131090,National Telecom Public Company Limited,Phon Phisai,Nong Khai,geolite2,scanner/spam,52.537,1171,fresh
203.150.113.171:8080,203.150.113.171,8080,https,5465,51,https_connect_probe,2026-09-19T17:26:06Z,TH,elite,protocol,True,github_raw,4,1,dbip,unknown,0,unknown,2026-09-16T19:47:31Z,unknown,residential,,4618,Internet Thailand Company Limited,Bangkok,Bangkok,geolite2,unknown,51.33,182,fresh
182.53.216.73:4145,182.53.216.73,4145,socks4,4112,55,socks4_probe,2026-09-19T17:26:16Z,TH,elite,protocol,True,api,12,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-15T09:33:36Z,exit,residential,TOT Public Company Limited,23969,TOT Public Company Limited,Chiang Mai,Chiang Mai,geolite2,botnet/scanner,51.27,1288,fresh
49.48.81.115:8080,49.48.81.115,8080,http,3024,55,http_probe,2026-09-19T17:00:42Z,TH,anonymous,headers,True,github_raw,21,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-14T02:44:55Z,exit,residential,Triple T Broadband Public Company Limited,45758,Triple T Broadband Public Company Limited,Nakhon Ratchasima,Nakhon Ratchasima,geolite2,none,50.886,884,fresh
110.77.135.70:4145,110.77.135.70,4145,socks4,1760,63,socks4_probe,2026-09-19T17:19:43Z,TH,elite,protocol,True,github_raw,12,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-17T10:48:43Z,exit,residential,CAT Telecom Public Company Ltd,131090,National Telecom Public Company Limited,Bangkok,Bangkok,geolite2,botnet/scanner,49.746,1171,fresh
184.82.140.119:8081,184.82.140.119,8081,https,957,62,https_connect_probe,2026-09-19T17:32:34Z,TH,elite,protocol,True,github_raw,2,1,dbip,unknown,0,unknown,2026-09-17T06:08:27Z,unknown,residential,,133481,AIS Fibre,Bang Lamung,Chon Buri,geolite2,unknown,48.088,128,fresh
