proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
107.181.155.86:80,107.181.155.86,80,http,1498,64,http_fallback,2026-09-13T09:15:47Z,TR,elite,headers,False,active_scan,1,66,dbip,unknown,0,unknown,2026-09-11T04:50:59Z,unknown,hosting,,213535,YottaSrc,Istanbul,Istanbul,geolite2,unknown,100.0,66,fresh
95.3.69.222:8080,95.3.69.222,8080,https,2120,68,https_fallback,2026-09-13T09:09:17Z,TR,elite,protocol,True,github_raw,30,142,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Turk Telekomunikasyon Anonim Sirketi,9121,Turk Telekom,Istanbul,Istanbul,geolite2,scanner,99.998,796,fresh
95.3.69.222:8080,95.3.69.222,8080,http,1573,60,http_fallback,2026-09-13T09:09:16Z,TR,transparent,headers,False,api,30,141,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,Turk Telekomunikasyon Anonim Sirketi,9121,Turk Telekom,Istanbul,Istanbul,geolite2,scanner,99.998,766,fresh
188.132.249.66:1080,188.132.249.66,1080,socks4,3499,62,socks4_fallback,2026-09-13T09:09:27Z,TR,elite,protocol,False,github_raw,15,17,dbip,unknown,0,unknown,2026-09-06T22:00:01Z,unknown,residential,Guneydogu Telekom Int.bil. ve Ilt. Hiz. Tic. Ltd. Sti.,216472,High Speed For Internet Services L.L.C,Kilis,Kilis,ip2proxy,scanner,98.32,939,fresh
91.228.227.23:80,91.228.227.23,80,http,1512,61,http_fallback,2026-09-13T08:55:57Z,TR,transparent,headers,False,github_raw,17,10,dbip,unknown,0,unknown,2026-09-11T19:09:02Z,unknown,hosting,Tres Teknoloji A.S.,214195,Tres Teknoloji A.S.,Istanbul,Istanbul,ip2proxy,none,97.852,509,fresh
88.245.138.87:1080,88.245.138.87,1080,socks4,5957,58,socks4_fallback,2026-09-13T08:56:07Z,TR,elite,protocol,False,api,11,10,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T13:12:59Z,exit,residential,Turk Telekomunikasyon Anonim Sirketi,9121,Turk Telekom,Yalova,Yalova,geolite2,botnet/scanner,96.566,1258,fresh
147.45.66.116:1082,147.45.66.116,1082,socks4,6918,59,socks4_probe,2026-09-13T09:15:57Z,TR,elite,protocol,True,github_raw,32,11,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Global Connectivity Solutions LLP,215540,Global Connectivity Solutions Llp,Frankfurt am Main,Hesse,geolite2,scanner/spam,96.522,1468,fresh
85.105.194.113:4153,85.105.194.113,4153,socks4,4384,62,socks4_probe,2026-09-13T09:09:27Z,TR,elite,protocol,True,api,11,10,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,residential,ADSL-TT Net Static Pool,9121,Turk Telekom,Istanbul,Istanbul,geolite2,scanner,96.076,1153,fresh
176.235.182.84:1080,176.235.182.84,1080,socks4,3485,62,socks4_probe,2026-09-13T09:27:49Z,TR,elite,protocol,True,github_raw,9,7,dbip,unknown,0,unknown,2026-09-12T10:36:58Z,unknown,residential,Superonline Iletisim Hizmetleri A.S.,34984,Superonline Iletisim Hizmetleri A.S.,Gaziantep,Gaziantep,geolite2,scanner/spam,94.981,1291,fresh
88.247.31.164:4153,88.247.31.164,4153,socks4,5881,60,socks4_probe,2026-09-13T09:09:27Z,TR,elite,protocol,True,api,15,9,dbip,unknown,0,unknown,2026-09-12T10:59:54Z,unknown,residential,Turk Telekomunikasyon Anonim Sirketi,9121,Turk Telekom,Çankaya,Ankara,geolite2,scanner/spam,94.936,1227,fresh
