proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
5.252.154.218:80,5.252.154.218,80,http,561,67,http_fallback,2026-09-06T20:17:11Z,UA,unknown,unknown,False,active_scan,1,263,dbip,unknown,0,unknown,2026-09-04T17:55:48Z,unknown,unknown,,30860,Virtual Systems LLC,,,unknown,unknown,100.0,263,fresh
5.252.154.217:80,5.252.154.217,80,http,721,65,http_fallback,2026-09-06T20:17:11Z,UA,unknown,unknown,False,active_scan,1,263,dbip,unknown,0,unknown,2026-09-04T17:55:48Z,unknown,unknown,,30860,Virtual Systems LLC,,,unknown,unknown,100.0,263,fresh
195.140.226.32:5678,195.140.226.32,5678,socks4,5677,58,socks4_fallback,2026-09-06T20:55:25Z,UA,elite,protocol,False,github_raw,12,11,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Therecom Ltd,56465,Therecom Ltd,Kharkiv,Kharkiv Oblast,geolite2,botnet/scanner,97.14,922,fresh
91.247.92.63:5678,91.247.92.63,5678,socks4,3408,64,socks4_probe,2026-09-06T20:29:58Z,UA,elite,protocol,True,github_raw,11,9,dbip,unknown,0,unknown,2026-09-05T16:44:32Z,unknown,hosting,Privately Owned Enterprise Alexsandrov Yuriy Viktorovich,49389,Privately owned enterprise Alexsandrov Yuriy Viktorovich,Kharkiv,Kharkiv Oblast,geolite2,botnet/scanner/spam,94.486,423,fresh
178.150.77.204:10801,178.150.77.204,10801,socks5,7667,55,socks5_probe,2026-09-06T20:30:01Z,UA,elite,protocol,True,github_raw,15,6,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,Content Delivery Network Ltd,13188,Content Delivery Network Ltd,Kyiv,Kyiv City,geolite2,scanner,91.219,882,fresh
45.76.171.230:8181,45.76.171.230,8181,socks5,5670,57,socks5_fallback,2026-09-06T20:36:07Z,UA,elite,protocol,False,api,13,8,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,2914,"NTT America, Inc.",Ashburn,Virginia,geolite2,unknown,91.139,69,fresh
176.37.107.86:11111,176.37.107.86,11111,socks5,7766,54,socks5_probe,2026-09-06T20:36:07Z,UA,elite,protocol,True,api,15,5,dbip,likely_residential,70,ip2proxy_lite,2026-09-01T22:31:42Z,exit,residential,Lanet Network Ltd,39608,Lanet Network Ltd,Kyiv,Kyiv City,geolite2,scanner,90.545,918,fresh
185.244.158.4:3129,185.244.158.4,3129,socks4,5360,56,socks4_probe,2026-09-06T21:01:29Z,UA,elite,protocol,True,github_raw,13,4,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Demenin B.V.,41985,Stargroup LLC,Kyiv,Kyiv City,geolite2,scanner,90.49,977,fresh
195.78.100.162:3629,195.78.100.162,3629,socks4,5176,58,socks4_probe,2026-09-06T21:01:29Z,UA,elite,protocol,True,api,11,6,dbip,unknown,0,unknown,2026-08-30T21:58:13Z,unknown,residential,Ukrtranstelecom TC Ltd,50772,"Ukrtranstelecom tc, ltd",Kharkiv,Kharkiv Oblast,geolite2,botnet/scanner/spam,88.422,771,fresh
37.52.13.164:5678,37.52.13.164,5678,socks4,3420,59,socks4_probe,2026-09-06T20:36:04Z,UA,elite,protocol,True,api,10,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T11:44:27Z,exit,wireless,JSC Ukrtelecom,0,,Tyvriv,Vinnytska oblast,ip2proxy,botnet/scanner/spam,88.286,913,fresh
82.193.116.160:21003,82.193.116.160,21003,socks5,5750,55,socks5_probe,2026-09-06T20:42:47Z,UA,elite,protocol,True,api,15,4,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,Industrial Media Network LLC,25521,Industrial Media Network LLC,Kyiv,Kyiv City,geolite2,scanner,88.082,1078,fresh
185.132.2.133:80,185.132.2.133,80,http,602,67,http_fallback,2026-09-06T20:29:56Z,UA,unknown,unknown,False,active_scan,1,9,dbip,unknown,0,unknown,2026-09-02T16:06:08Z,unknown,unknown,,203447,Miratel Ltd,Odesa,Odesa,geolite2,unknown,86.599,296,fresh
212.3.127.242:10801,212.3.127.242,10801,socks5,6148,54,socks5_probe,2026-09-06T20:42:47Z,UA,elite,protocol,True,github_raw,15,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-04T03:23:43Z,exit,residential,Science Production Company Trifle Ltd.,6702,Science Production Company Trifle Ltd.,Dnipro,Dnipropetrovsk Oblast,geolite2,scanner,81.97,543,fresh
80.92.227.185:5678,80.92.227.185,5678,socks4,3618,57,socks4_probe,2026-09-06T20:36:06Z,UA,elite,protocol,True,api,14,2,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Load.me Sp. z o. o.,1820,WNET TELECOM USA Corp.,Kyiv,Kyiv City,geolite2,botnet/scanner,79.462,1058,fresh
185.132.1.221:4145,185.132.1.221,4145,socks4,3290,61,socks4_probe,2026-09-06T20:36:04Z,UA,elite,protocol,True,api,15,5,dbip,unknown,0,unknown,2026-09-04T14:27:23Z,unknown,residential,Miratel Ltd,203447,Miratel Ltd,Odesa,Odesa,geolite2,botnet/scanner,79.399,831,fresh
176.120.32.135:5678,176.120.32.135,5678,socks4,2654,59,socks4_fallback,2026-09-06T20:36:04Z,UA,elite,protocol,False,github_raw,10,4,dbip,unknown,0,unknown,2026-09-03T02:05:37Z,unknown,hosting,Langate Ltd,58309,Langate Ltd,Chernivtsi,Chernivtsi,geolite2,botnet/scanner,78.078,613,fresh
193.105.62.11:58973,193.105.62.11,58973,socks4,3803,58,socks4_probe,2026-09-06T20:36:05Z,UA,elite,protocol,True,api,15,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-01T07:22:48Z,exit,residential,PE Brunarsky Andrey Romanovich,196906,PE Brunarsky Andrey Romanovich,Kyiv,Kyiv,ip2proxy,botnet/scanner,71.326,672,fresh
194.31.212.115:1080,194.31.212.115,1080,socks4,2137,61,socks4_probe,2026-09-06T21:01:29Z,UA,elite,protocol,True,github_raw,13,2,dbip,unknown,0,unknown,2026-09-02T18:38:33Z,unknown,hosting,IrpenComunikaciaService LLC,209548,IrpenComunikaciaService LLC,Bucha,Kyiv Oblast,geolite2,scanner,70.555,455,fresh
193.106.57.96:5678,193.106.57.96,5678,socks4,5667,50,socks4_fallback,2026-09-06T20:55:25Z,UA,elite,protocol,False,github_raw,14,1,dbip,unknown,0,unknown,2026-08-31T22:38:11Z,unknown,residential,PE Magic-Line,42510,FOP Makurin Stanislav Volodimirovich,Kyiv,Kyiv City,geolite2,scanner,61.399,909,fresh
31.43.63.70:4145,31.43.63.70,4145,socks4,3822,57,socks4_probe,2026-09-06T20:42:44Z,UA,elite,protocol,True,api,11,3,dbip,unknown,0,unknown,2026-09-05T11:03:11Z,unknown,residential,Ukrainian Telecommunication Group LLC,50581,Ukrainian Telecommunication Group LLC,Kyiv,Kyiv City,geolite2,botnet/scanner,55.986,836,fresh
195.226.213.254:8888,195.226.213.254,8888,https,8538,50,https_connect_probe,2026-09-06T20:55:23Z,UA,elite,protocol,True,github_raw,25,2,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Private Enterprise KTV AIDA,197192,Private Enterprise KTV AIDA,Fontanka,Odesa,geolite2,scanner,52.28,1027,fresh
31.43.33.56:4153,31.43.33.56,4153,socks4,4269,55,socks4_probe,2026-09-06T19:38:52Z,UA,elite,protocol,True,github_raw,10,0,dbip,unknown,0,unknown,2026-08-31T16:28:00Z,unknown,residential,Ukrainian Telecommunication Group LLC,50581,Ukrainian Telecommunication Group LLC,Kaharlyk,Kyivska oblast,ip2proxy,botnet/scanner,50.072,478,fresh
193.200.151.69:32777,193.200.151.69,32777,socks4,7699,48,socks4_fallback,2026-09-06T20:42:44Z,UA,elite,protocol,False,github_raw,10,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T05:42:24Z,exit,residential,LIMANET Ltd.,42905,LIMANET Ltd.,Rozdil'na,Odeska oblast,ip2proxy,botnet/scanner/spam,39.934,409,fresh
31.43.33.55:4153,31.43.33.55,4153,socks4,2188,60,socks4_probe,2026-09-06T20:17:19Z,UA,elite,protocol,True,github_raw,9,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Ukrainian Telecommunication Group LLC,50581,Ukrainian Telecommunication Group LLC,Kaharlyk,Kyivska oblast,ip2proxy,scanner,39.262,946,fresh
81.162.249.129:4153,81.162.249.129,4153,socks4,1604,60,socks4_fallback,2026-09-06T20:36:03Z,UA,elite,protocol,False,github_raw,15,0,dbip,unknown,0,unknown,2026-08-31T23:00:00Z,unknown,residential,PP Trccity TV Center,44032,PP TRCCity TV center,Kropyvnytskyi,Kirovohrad Oblast,geolite2,scanner,39.24,621,fresh
193.24.222.150:33500,193.24.222.150,33500,socks5,7927,50,socks5_probe,2026-09-06T21:01:45Z,UA,elite,protocol,True,github_raw,15,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-04T21:10:48Z,exit,residential,Net-City 2020 LLC,50633,Net-city 2020 LLC,Zhytomyr,Zhytomyr Oblast,geolite2,scanner,36.338,165,fresh
193.107.75.242:33500,193.107.75.242,33500,socks5,4023,55,socks5_probe,2026-09-06T19:38:54Z,UA,elite,protocol,True,api,15,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-04T21:10:48Z,exit,residential,Net-City 2020 LLC,50633,Net-city 2020 LLC,Zhytomyr,Zhytomyr Oblast,geolite2,scanner,35.189,164,fresh
185.151.86.121:3699,185.151.86.121,3699,socks5,4936,54,socks5_probe,2026-09-06T20:36:07Z,UA,elite,protocol,True,github_raw,17,0,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,unknown,,208139,FOP Avator Myhaylo Mykolayovych,,,unknown,unknown,33.565,148,fresh
195.226.213.251:8888,195.226.213.251,8888,http,5284,43,http_fallback,2026-09-06T20:42:52Z,UA,transparent,headers,False,text_site,22,0,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,Private Enterprise KTV AIDA,197192,Private Enterprise KTV AIDA,Fontanka,Odesa,geolite2,scanner,28.622,644,fresh
91.203.61.52:6789,91.203.61.52,6789,http,5105,51,http_probe,2026-09-06T20:30:10Z,UA,anonymous,headers,True,api,17,0,dbip,unknown,0,unknown,2026-08-30T23:23:39Z,unknown,unknown,,44894,Ukrchermetavtomatika LLC,Dnipro,Dnipropetrovsk Oblast,geolite2,unknown,27.572,239,fresh
176.105.212.219:8080,176.105.212.219,8080,http,5090,51,http_probe,2026-09-06T20:30:11Z,UA,anonymous,headers,True,github_raw,18,0,dbip,unknown,0,unknown,2026-09-05T10:42:40Z,unknown,unknown,,49817,F-COM LLC,Poltava,Poltava Oblast,geolite2,unknown,26.451,561,fresh
95.182.78.18:5678,95.182.78.18,5678,socks4,4380,54,socks4_probe,2026-09-06T20:55:40Z,UA,elite,protocol,True,github_raw,11,1,dbip,unknown,0,unknown,2026-08-31T18:57:12Z,unknown,unknown,,50648,PE UAinet,Liuboml,Volyn,geolite2,unknown,25.536,149,fresh
89.19.116.161:8080,89.19.116.161,8080,http,5301,47,http_probe,2026-09-06T20:30:11Z,UA,anonymous,headers,True,github_raw,2,0,dbip,unknown,0,unknown,2026-09-01T08:28:25Z,unknown,residential,,29491,Kievline LLC,Kyiv,Kyiv City,geolite2,unknown,23.23,606,fresh
93.123.118.15:1080,93.123.118.15,1080,socks5,2475,59,socks5_probe,2026-09-06T20:49:33Z,UA,elite,protocol,True,api,17,1,dbip,unknown,0,unknown,2026-09-01T14:12:46Z,unknown,hosting,IPXO NET,209630,LLC Vash Kredit Bank,Amsterdam,Noord-Holland,ip2proxy,scanner/spam,21.97,481,fresh
134.249.86.47:8080,134.249.86.47,8080,http,5415,51,http_probe,2026-09-06T20:30:11Z,UA,anonymous,headers,True,github_raw,19,0,dbip,likely_residential,70,ip2proxy_lite,2026-08-31T04:24:35Z,exit,wireless,Kyivstar PJSC,15895,Kyivstar PJSC,Kyiv,Kyiv City,geolite2,none,19.595,560,fresh
94.179.153.218:8081,94.179.153.218,8081,https,6888,49,https_connect_probe,2026-09-06T20:11:19Z,UA,elite,protocol,True,github_raw,4,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T10:00:58Z,exit,wireless,JSC Ukrtelecom,0,,Bobrynets,Kirovohradska oblast,ip2proxy,none,16.498,887,fresh
195.34.91.67:8080,195.34.91.67,8080,https,7607,48,https_fallback,2026-09-06T20:11:19Z,UA,elite,protocol,True,github_raw,4,0,dbip,unknown,0,unknown,2026-09-06T00:56:10Z,unknown,residential,Modus-Global LLC,25514,Modus-Global LLC,Kyiv,Kyiv City,geolite2,none,15.774,728,fresh
176.105.212.219:8080,176.105.212.219,8080,https,4351,53,https_connect_probe,2026-09-06T20:11:19Z,UA,elite,protocol,True,github_raw,5,0,dbip,unknown,0,unknown,2026-09-05T10:42:40Z,unknown,unknown,,49817,F-COM LLC,Poltava,Poltava Oblast,geolite2,unknown,13.001,813,fresh
