proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
107.167.18.122:443,107.167.18.122,443,socks5,789,76,socks5_probe,2026-09-06T20:23:57Z,US,elite,protocol,True,api,28,94,dbip,unknown,0,unknown,2026-09-03T18:33:16Z,unknown,hosting,,46844,Sharktech,Los Angeles,California,geolite2,unknown,100.0,94,fresh
107.167.18.122:443,107.167.18.122,443,https,929,74,https_connect_probe,2026-09-06T20:23:51Z,US,elite,protocol,True,github_raw,28,93,dbip,unknown,0,unknown,2026-09-03T18:33:16Z,unknown,hosting,,46844,Sharktech,Los Angeles,California,geolite2,unknown,100.0,93,fresh
107.181.252.58:1081,107.181.252.58,1081,socks5,1026,74,socks5_probe,2026-09-06T20:17:20Z,US,elite,protocol,True,github_raw,15,48,dbip,unknown,0,unknown,2026-09-05T06:46:46Z,unknown,unknown,,53850,"GorillaServers, Inc.",Ogden,Utah,geolite2,unknown,100.0,48,fresh
216.105.130.131:4145,216.105.130.131,4145,socks4,830,73,socks4_fallback,2026-09-06T20:17:17Z,US,elite,protocol,False,github_raw,10,76,dbip,unknown,0,unknown,2026-09-04T06:39:05Z,unknown,hosting,,20081,NET2ATLANTA.COM LLC,Simpsonville,South Carolina,geolite2,unknown,100.0,76,fresh
72.194.42.131:4145,72.194.42.131,4145,socks4,915,73,socks4_fallback,2026-09-06T20:17:17Z,US,elite,protocol,False,github_raw,10,76,dbip,unknown,0,unknown,2026-09-04T06:59:06Z,unknown,residential,,22773,Cox Communications Inc.,San Diego,California,geolite2,unknown,100.0,76,fresh
107.181.252.58:1082,107.181.252.58,1082,http,1159,71,http_probe,2026-09-06T20:17:11Z,US,anonymous,headers,True,github_raw,21,33,dbip,unknown,0,unknown,2026-09-05T06:46:46Z,unknown,unknown,,53850,"GorillaServers, Inc.",Ogden,Utah,geolite2,unknown,100.0,33,fresh
50.30.36.17:1080,50.30.36.17,1080,socks5,1440,71,socks5_probe,2026-09-06T20:17:20Z,US,elite,protocol,True,github_raw,16,39,dbip,unknown,0,unknown,2026-09-05T14:13:29Z,unknown,unknown,,30083,velia.net,St Louis,Missouri,geolite2,unknown,100.0,39,fresh
107.181.252.58:1082,107.181.252.58,1082,https,1214,69,https_connect_probe,2026-09-06T20:48:48Z,US,elite,protocol,True,github_raw,3,33,dbip,unknown,0,unknown,2026-09-05T06:46:46Z,unknown,unknown,,53850,"GorillaServers, Inc.",Ogden,Utah,geolite2,unknown,100.0,33,fresh
199.7.149.96:3128,199.7.149.96,3128,http,1372,69,http_probe,2026-09-06T20:23:50Z,US,anonymous,headers,True,api,26,475,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,400859,EXO BROADBAND,,,unknown,unknown,100.0,475,fresh
217.77.2.242:3129,217.77.2.242,3129,http,1833,67,http_probe,2026-09-06T20:29:56Z,US,anonymous,headers,True,github_raw,15,34,dbip,unknown,0,unknown,2026-09-05T18:48:24Z,unknown,hosting,,40021,Contabo Inc.,St Louis,Missouri,geolite2,unknown,100.0,34,fresh
