proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
190.97.241.106:999,190.97.241.106,999,https,2043,68,https_connect_probe,2026-09-15T23:04:07Z,VE,elite,protocol,True,github_raw,27,52,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Viginet C.A,263703,VIGINET C.A,Merida,Merida,ip2proxy,none,99.998,1071,fresh
154.3.76.14:999,154.3.76.14,999,https,1831,65,https_connect_probe,2026-09-15T23:29:40Z,VE,elite,protocol,True,github_raw,2,39,dbip,unknown,0,unknown,2026-09-09T08:32:59Z,unknown,unknown,,274255,"M&S.NET, C.A.",Quíbor,Lara,geolite2,unknown,99.994,419,fresh
190.97.241.106:999,190.97.241.106,999,http,2217,58,http_fallback,2026-09-15T23:04:07Z,VE,transparent,headers,False,text_site,27,16,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Viginet C.A,263703,VIGINET C.A,Merida,Merida,ip2proxy,none,99.411,863,fresh
38.51.207.104:8080,38.51.207.104,8080,http,2826,64,http_probe,2026-09-15T23:22:59Z,VE,anonymous,headers,True,api,18,13,dbip,unknown,0,unknown,2026-09-09T02:33:13Z,unknown,unknown,,269730,TECNOVEN SERVICES CA,Maracaibo,Zulia,geolite2,unknown,94.805,220,fresh
38.172.160.16:999,38.172.160.16,999,https,3876,61,https_connect_probe,2026-09-15T22:51:58Z,VE,elite,protocol,True,github_raw,5,8,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,270026,"RED SERVITEL, CA",Barquisimeto,Lara,geolite2,unknown,93.306,1393,fresh
190.97.229.118:999,190.97.229.118,999,https,9949,55,https_connect_probe,2026-09-15T23:16:31Z,VE,elite,protocol,True,github_raw,27,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Viginet C.A,263703,VIGINET C.A,La Villa del Rosario,Zulia,ip2proxy,scanner,92.751,1422,fresh
154.3.76.14:999,154.3.76.14,999,http,6337,53,http_probe,2026-09-15T23:16:31Z,VE,anonymous,headers,True,github_raw,17,4,dbip,unknown,0,unknown,2026-09-09T08:32:59Z,unknown,unknown,,274255,"M&S.NET, C.A.",Quíbor,Lara,geolite2,unknown,90.086,575,fresh
154.59.56.74:999,154.59.56.74,999,http,2754,50,http_fallback,2026-09-15T23:29:40Z,VE,transparent,headers,False,github_raw,19,3,dbip,unknown,0,unknown,2026-09-09T11:03:37Z,unknown,hosting,Cogent Communications LLC,264778,TotalCom Venezuela C.A.,Caracas,Distrito Capital,ip2proxy,none,73.855,817,fresh
38.172.160.16:999,38.172.160.16,999,http,8188,44,http_fallback,2026-09-15T22:57:59Z,VE,transparent,headers,False,github_raw,14,5,dbip,unknown,0,unknown,2026-09-12T09:35:55Z,unknown,residential,,270026,"RED SERVITEL, CA",Barquisimeto,Lara,geolite2,unknown,73.51,1308,fresh
200.59.191.27:999,200.59.191.27,999,https,4134,57,https_fallback,2026-09-15T23:35:44Z,VE,elite,protocol,True,github_raw,29,3,dbip,unknown,0,unknown,2026-09-09T13:57:35Z,unknown,hosting,Cogent Communications LLC,264778,TotalCom Venezuela C.A.,Caracas,Distrito Capital,ip2proxy,scanner,71.781,1262,fresh
154.59.56.76:999,154.59.56.76,999,https,4096,57,https_fallback,2026-09-15T23:35:44Z,VE,elite,protocol,True,github_raw,26,3,dbip,unknown,0,unknown,2026-09-09T11:03:37Z,unknown,hosting,Cogent Communications LLC,264778,TotalCom Venezuela C.A.,Caracas,Distrito Capital,ip2proxy,none,70.249,718,fresh
170.254.173.6:1080,170.254.173.6,1080,socks4,3872,57,socks4_probe,2026-09-15T23:10:19Z,VE,elite,protocol,True,api,15,3,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Telecomunicaciones Rocarli C.A,265641,TELECOMUNICACIONES ROCARLI C.A (CIX BROADBAND),Maturin,Monagas,ip2proxy,scanner,69.09,1305,fresh
