proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
42.96.16.226:80,42.96.16.226,80,http,496,72,http_fallback,2026-09-15T23:04:07Z,VN,elite,headers,False,active_scan,1,366,dbip,unknown,0,unknown,2026-09-10T07:08:16Z,unknown,unknown,,131423,Branch of Long Van System Solution JSC - Hanoi,,,unknown,unknown,100.0,366,fresh
160.191.242.81:80,160.191.242.81,80,http,395,74,http_fallback,2026-09-15T23:04:07Z,VN,elite,headers,False,active_scan,1,151,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,153416,Hoang Dieu Cloud Computing Company Limited,,,unknown,unknown,99.998,836,fresh
14.251.13.20:8080,14.251.13.20,8080,http,749,74,http_probe,2026-09-15T23:04:07Z,VN,anonymous,headers,True,text_site,27,186,dbip,unknown,0,unknown,2026-09-14T15:39:10Z,unknown,residential,,45899,VNPT Corp,,,unknown,unknown,99.998,658,fresh
103.162.30.189:10808,103.162.30.189,10808,socks5,1134,73,socks5_probe,2026-09-15T23:04:09Z,VN,elite,protocol,True,text_site,15,56,dbip,unknown,0,unknown,2026-09-12T10:36:58Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,99.998,106,fresh
14.251.13.20:8080,14.251.13.20,8080,https,1609,70,https_connect_probe,2026-09-15T23:04:07Z,VN,elite,protocol,True,github_raw,27,186,dbip,unknown,0,unknown,2026-09-14T15:39:10Z,unknown,residential,,45899,VNPT Corp,,,unknown,unknown,99.998,657,fresh
14.225.204.32:10800,14.225.204.32,10800,socks5,1672,70,socks5_probe,2026-09-15T23:04:09Z,VN,elite,protocol,True,text_site,16,37,dbip,unknown,0,unknown,2026-09-12T11:22:53Z,unknown,wireless,Vietnam Posts and Telecommunications Group,135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,Hanoi,Ha Noi,ip2proxy,scanner/spam,99.993,746,fresh
171.242.14.54:1080,171.242.14.54,1080,socks4,1827,69,socks4_probe,2026-09-15T23:29:40Z,VN,elite,protocol,True,github_raw,15,34,dbip,likely_residential,70,ip2proxy_lite,2026-09-13T22:49:20Z,exit,residential,Viettel Group,7552,Viettel Group,Hanoi,Hanoi,geolite2,scanner/spam,99.986,1110,fresh
210.211.113.33:80,210.211.113.33,80,http,1435,69,http_probe,2026-09-15T23:22:59Z,VN,anonymous,headers,True,api,26,19,dbip,unknown,0,unknown,2026-09-14T22:32:05Z,unknown,wireless,Viettel - CHT Company Ltd,38731,CHT Compamy Ltd,Ho Chi Minh City,Ho Chi Minh,geolite2,scanner/spam,99.362,701,fresh
42.96.15.210:60001,42.96.15.210,60001,http,784,69,http_probe,2026-09-15T23:22:59Z,VN,anonymous,headers,True,github_raw,1,18,dbip,unknown,0,unknown,2026-09-13T15:34:13Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,Hanoi,Hanoi,geolite2,unknown,98.322,74,fresh
42.96.15.210:60001,42.96.15.210,60001,https,992,69,https_connect_probe,2026-09-15T23:04:07Z,VN,elite,protocol,True,github_raw,1,18,dbip,unknown,0,unknown,2026-09-13T15:34:13Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,Hanoi,Hanoi,geolite2,unknown,98.322,49,fresh
