proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
165.0.100.149:5678,165.0.100.149,5678,socks4,6959,59,socks4_probe,2026-09-06T20:17:17Z,ZA,elite,protocol,True,api,12,23,dbip,unknown,0,unknown,2026-09-03T07:27:35Z,unknown,residential,RSAWEB (Pty) Ltd,37053,RSAWEB (PTY) LTD,Cape Town,Western Cape,geolite2,botnet/scanner,99.81,684,fresh
105.27.127.70:1080,105.27.127.70,1080,socks4,4156,63,socks4_probe,2026-09-06T20:36:03Z,ZA,elite,protocol,True,api,15,12,dbip,unknown,0,unknown,2026-09-06T11:56:55Z,unknown,hosting,SEACOM Limited,37100,SEACOM Limited,Nairobi,Nairobi County,geolite2,scanner,95.107,45,fresh
105.27.180.194:1080,105.27.180.194,1080,socks4,4187,62,socks4_probe,2026-09-06T20:23:53Z,ZA,elite,protocol,True,github_raw,11,8,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,37100,SEACOM Limited,Cape Town,Western Cape,geolite2,unknown,95.054,833,fresh
196.216.133.18:1080,196.216.133.18,1080,socks4,4749,59,socks4_probe,2026-09-06T20:48:58Z,ZA,elite,protocol,True,github_raw,9,6,dbip,likely_residential,70,ip2proxy_lite,2026-09-01T04:26:12Z,exit,residential,Hero Telecoms (Pty) Ltd,328471,HERO TELECOMS (PTY) LTD,Ventersdorp,North-West,ip2proxy,scanner,87.251,814,fresh
105.30.248.241:1080,105.30.248.241,1080,socks4,6412,52,socks4_probe,2026-09-06T20:36:06Z,ZA,elite,protocol,True,api,16,2,dbip,unknown,0,unknown,2026-09-05T16:44:32Z,unknown,unknown,,37100,SEACOM Limited,Durban,KwaZulu-Natal,geolite2,unknown,87.154,286,fresh
102.206.118.204:8088,102.206.118.204,8088,https,6034,58,https_connect_probe,2026-09-06T20:48:48Z,ZA,elite,protocol,True,github_raw,24,7,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,Telasera Technologies Pty Ltd,328723,Telasera Technologies PTY LTD,Cape Town,Western Cape,ip2proxy,none,85.422,968,fresh
196.223.129.21:80,196.223.129.21,80,http,2020,62,http_fallback,2026-09-06T20:23:50Z,ZA,elite,headers,False,api,18,5,dbip,likely_residential,70,ip2proxy_lite,2026-08-31T02:58:57Z,exit,residential,Hero Telecoms (Pty) Ltd,328471,HERO TELECOMS (PTY) LTD,Strand,Western Cape,geolite2,botnet/spam,84.454,802,fresh
160.226.220.30:1080,160.226.220.30,1080,socks4,2363,57,socks4_fallback,2026-09-06T20:48:57Z,ZA,elite,protocol,False,github_raw,13,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-03T00:20:12Z,exit,residential,ICLIX (Pty) Ltd,37542,Iclix (PTY) Ltd,Bloemfontein,Free State,geolite2,scanner,79.782,739,fresh
102.217.190.157:7080,102.217.190.157,7080,socks5,8901,49,socks5_probe,2026-09-06T20:55:27Z,ZA,elite,protocol,True,github_raw,16,1,dbip,unknown,0,unknown,2026-08-31T02:38:42Z,unknown,residential,Cloudgistics,328970,CloudGistics,Cape Town,Western Cape,geolite2,scanner/spam,72.684,985,fresh
165.165.178.142:4153,165.165.178.142,4153,socks4,2163,58,socks4_fallback,2026-09-06T20:04:48Z,ZA,elite,protocol,False,api,15,0,dbip,unknown,0,unknown,2026-09-03T20:18:36Z,unknown,wireless,Telkom SA Ltd.,5713,Telkom SA Ltd.,Witbank,Mpumalanga,ip2proxy,scanner/spam,69.64,272,fresh
