proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
54.238.38.227:80,54.238.38.227,80,http,9,94,http_fallback,2026-09-15T23:04:07Z,JP,unknown,unknown,False,active_scan,1,132,dbip,unknown,0,unknown,2026-09-11T10:12:24Z,unknown,business,Amazon Data Services Japan,16509,"Amazon.com, Inc.",Tokyo,Tokyo,geolite2,none,100.0,132,fresh
140.227.61.201:3128,140.227.61.201,3128,https,100,91,https_connect_probe,2026-09-15T23:04:07Z,JP,elite,protocol,True,github_raw,25,1754,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1181,fresh
140.227.61.201:3128,140.227.61.201,3128,http,98,89,http_probe,2026-09-15T23:04:07Z,JP,anonymous,headers,True,github_raw,25,1382,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1167,fresh
42.96.16.226:80,42.96.16.226,80,http,496,72,http_fallback,2026-09-15T23:04:07Z,VN,elite,headers,False,active_scan,1,366,dbip,unknown,0,unknown,2026-09-10T07:08:16Z,unknown,unknown,,131423,Branch of Long Van System Solution JSC - Hanoi,,,unknown,unknown,100.0,366,fresh
45.202.241.6:80,45.202.241.6,80,http,555,71,http_fallback,2026-09-15T23:22:59Z,US,elite,headers,False,active_scan,1,75,dbip,unknown,0,unknown,2026-09-13T10:57:02Z,unknown,residential,,61112,AKILE LTD,,,unknown,unknown,100.0,75,fresh
91.107.251.112:80,91.107.251.112,80,http,508,68,http_fallback,2026-09-15T23:04:07Z,DE,unknown,unknown,False,active_scan,1,523,dbip,unknown,0,unknown,2026-09-11T19:09:02Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,100.0,523,fresh
3.10.170.234:80,3.10.170.234,80,http,515,68,http_fallback,2026-09-15T23:04:07Z,GB,unknown,unknown,False,active_scan,1,576,dbip,unknown,0,unknown,2026-09-09T12:30:16Z,unknown,business,Amazon Data Services UK,16509,"Amazon.com, Inc.",City of London,England,geolite2,scanner,100.0,576,fresh
3.10.170.234:8080,3.10.170.234,8080,http,552,68,http_fallback,2026-09-15T23:04:07Z,GB,unknown,unknown,False,active_scan,1,576,dbip,unknown,0,unknown,2026-09-09T12:30:16Z,unknown,business,Amazon Data Services UK,16509,"Amazon.com, Inc.",City of London,England,geolite2,scanner,100.0,576,fresh
85.209.157.30:80,85.209.157.30,80,http,586,67,http_fallback,2026-09-15T23:04:07Z,IL,unknown,unknown,False,active_scan,1,536,dbip,unknown,0,unknown,2026-09-11T07:43:35Z,unknown,unknown,,206446,CLOUD LEASE Ltd,Los Angeles,California,geolite2,unknown,100.0,536,fresh
85.209.157.33:80,85.209.157.33,80,http,587,67,http_fallback,2026-09-15T23:04:07Z,IL,unknown,unknown,False,active_scan,1,536,dbip,unknown,0,unknown,2026-09-11T07:43:35Z,unknown,hosting,Beafort Limited,206446,CLOUD LEASE Ltd,Los Angeles,California,geolite2,none,100.0,536,fresh
