proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,http,93,90,http_probe,2026-09-06T20:23:50Z,JP,anonymous,headers,True,github_raw,25,1116,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,901,fresh
43.210.246.54:8080,43.210.246.54,8080,http,199,75,http_fallback,2026-09-06T20:17:11Z,TH,unknown,unknown,False,active_scan,1,173,dbip,unknown,0,unknown,2026-08-31T21:30:19Z,unknown,business,,16509,"Amazon.com, Inc.",Bangkok,Bangkok,geolite2,unknown,100.0,173,fresh
103.121.90.82:37628,103.121.90.82,37628,http,438,75,http_fallback,2026-09-06T20:29:56Z,VN,elite,headers,False,github_raw,3,45,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,100.0,45,fresh
43.210.246.54:80,43.210.246.54,80,http,245,74,http_fallback,2026-09-06T20:17:11Z,TH,unknown,unknown,False,active_scan,1,173,dbip,unknown,0,unknown,2026-08-31T21:30:19Z,unknown,business,,16509,"Amazon.com, Inc.",Bangkok,Bangkok,geolite2,unknown,100.0,173,fresh
42.96.16.226:80,42.96.16.226,80,http,457,73,http_fallback,2026-09-06T20:17:11Z,VN,elite,headers,False,active_scan,1,105,dbip,unknown,0,unknown,2026-09-03T07:05:34Z,unknown,unknown,,131423,Branch of Long Van System Solution JSC - Hanoi,,,unknown,unknown,100.0,105,fresh
107.181.252.58:1082,107.181.252.58,1082,http,1159,71,http_probe,2026-09-06T20:17:11Z,US,anonymous,headers,True,github_raw,21,33,dbip,unknown,0,unknown,2026-09-05T06:46:46Z,unknown,unknown,,53850,"GorillaServers, Inc.",Ogden,Utah,geolite2,unknown,100.0,33,fresh
101.66.199.188:8085,101.66.199.188,8085,http,872,70,http_fallback,2026-09-06T20:48:47Z,CN,elite,headers,False,github_raw,3,59,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,unknown,,4837,CHINA UNICOM China169 Backbone,,,unknown,unknown,100.0,59,fresh
103.161.17.117:39294,103.161.17.117,39294,http,926,70,http_probe,2026-09-06T20:29:56Z,VN,anonymous,headers,True,github_raw,3,45,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,100.0,45,fresh
3.10.170.234:80,3.10.170.234,80,http,480,69,http_fallback,2026-09-06T20:17:11Z,GB,unknown,unknown,False,active_scan,1,315,dbip,unknown,0,unknown,2026-09-02T12:30:02Z,unknown,business,Amazon Data Services UK,16509,"Amazon.com, Inc.",City of London,England,geolite2,scanner,100.0,315,fresh
3.10.170.234:8080,3.10.170.234,8080,http,480,69,http_fallback,2026-09-06T20:17:11Z,GB,unknown,unknown,False,active_scan,1,315,dbip,unknown,0,unknown,2026-09-02T12:30:02Z,unknown,business,Amazon Data Services UK,16509,"Amazon.com, Inc.",City of London,England,geolite2,scanner,100.0,315,fresh
199.7.149.96:3128,199.7.149.96,3128,http,1372,69,http_probe,2026-09-06T20:23:50Z,US,anonymous,headers,True,api,26,475,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,400859,EXO BROADBAND,,,unknown,unknown,100.0,475,fresh
91.107.251.112:80,91.107.251.112,80,http,525,68,http_fallback,2026-09-06T20:17:11Z,DE,unknown,unknown,False,active_scan,1,262,dbip,unknown,0,unknown,2026-09-04T19:02:22Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,100.0,262,fresh
85.209.157.33:80,85.209.157.33,80,http,536,68,http_fallback,2026-09-06T20:17:11Z,IL,unknown,unknown,False,active_scan,1,275,dbip,unknown,0,unknown,2026-09-04T07:41:22Z,unknown,hosting,Beafort Limited,206446,CLOUD LEASE Ltd,Los Angeles,California,geolite2,none,100.0,275,fresh
85.209.157.30:80,85.209.157.30,80,http,538,68,http_fallback,2026-09-06T20:17:11Z,IL,unknown,unknown,False,active_scan,1,275,dbip,unknown,0,unknown,2026-09-04T07:41:22Z,unknown,unknown,,206446,CLOUD LEASE Ltd,Los Angeles,California,geolite2,unknown,100.0,275,fresh
157.90.10.104:80,157.90.10.104,80,http,552,68,http_fallback,2026-09-06T20:17:11Z,DE,unknown,unknown,False,active_scan,1,277,dbip,unknown,0,unknown,2026-09-04T06:17:48Z,unknown,hosting,,24940,Hetzner Online GmbH,Falkenstein,Saxony,geolite2,unknown,100.0,277,fresh
5.252.154.218:80,5.252.154.218,80,http,561,67,http_fallback,2026-09-06T20:17:11Z,UA,unknown,unknown,False,active_scan,1,263,dbip,unknown,0,unknown,2026-09-04T17:55:48Z,unknown,unknown,,30860,Virtual Systems LLC,,,unknown,unknown,100.0,263,fresh
185.110.189.26:80,185.110.189.26,80,http,583,67,http_fallback,2026-09-06T20:17:11Z,DE,unknown,unknown,False,active_scan,1,230,dbip,unknown,0,unknown,2026-09-05T22:04:45Z,unknown,unknown,,202269,BitCommand LLC,Frankfurt am Main,Hesse,geolite2,unknown,100.0,230,fresh
62.217.181.202:80,62.217.181.202,80,http,618,67,http_fallback,2026-09-06T20:17:11Z,RU,unknown,unknown,False,active_scan,1,196,dbip,unknown,0,unknown,2026-08-31T02:38:42Z,unknown,business,,198610,Beget LLC,St Petersburg,St.-Petersburg,geolite2,unknown,100.0,196,fresh
31.76.51.152:80,31.76.51.152,80,http,1382,67,http_fallback,2026-09-06T20:48:47Z,FI,elite,headers,False,github_raw,4,139,dbip,unknown,0,unknown,2026-09-02T02:51:26Z,unknown,business,,215590,DpkgSoft International Limited,,,unknown,unknown,100.0,139,fresh
217.77.2.242:3129,217.77.2.242,3129,http,1833,67,http_probe,2026-09-06T20:29:56Z,US,anonymous,headers,True,github_raw,15,34,dbip,unknown,0,unknown,2026-09-05T18:48:24Z,unknown,hosting,,40021,Contabo Inc.,St Louis,Missouri,geolite2,unknown,100.0,34,fresh
5.42.127.131:80,5.42.127.131,80,http,1719,66,http_fallback,2026-09-06T20:48:47Z,DE,elite,headers,False,github_raw,4,85,dbip,unknown,0,unknown,2026-09-03T23:51:06Z,unknown,unknown,,210976,"Timeweb, LLP",Frankfurt am Main,Hesse,geolite2,unknown,100.0,85,fresh
5.252.154.217:80,5.252.154.217,80,http,721,65,http_fallback,2026-09-06T20:17:11Z,UA,unknown,unknown,False,active_scan,1,263,dbip,unknown,0,unknown,2026-09-04T17:55:48Z,unknown,unknown,,30860,Virtual Systems LLC,,,unknown,unknown,100.0,263,fresh
167.233.169.253:1082,167.233.169.253,1082,http,2333,65,http_probe,2026-09-06T20:48:47Z,US,anonymous,headers,True,api,19,54,dbip,unknown,0,unknown,2026-09-05T02:08:54Z,unknown,unknown,,203020,HostRoyale Technologies Pvt Ltd,New York,New York,geolite2,unknown,100.0,54,fresh
116.203.206.48:80,116.203.206.48,80,http,863,64,http_fallback,2026-09-06T20:17:11Z,DE,unknown,unknown,False,active_scan,1,586,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,100.0,586,fresh
45.76.170.96:80,45.76.170.96,80,http,580,63,http_fallback,2026-09-06T20:17:11Z,US,transparent,headers,False,active_scan,1,44,dbip,unknown,0,unknown,2026-09-05T10:21:43Z,unknown,unknown,,20473,"The Constant Company, LLC",Los Angeles,California,geolite2,unknown,100.0,44,fresh
167.233.89.17:1084,167.233.89.17,1084,http,3481,62,http_probe,2026-09-06T20:23:50Z,US,anonymous,headers,True,api,25,93,dbip,unknown,0,unknown,2026-09-03T17:50:19Z,unknown,unknown,,11878,"tzulo, inc.",Kansas City,Missouri,geolite2,unknown,100.0,93,fresh
185.186.143.190:9001,185.186.143.190,9001,http,2462,61,http_probe,2026-09-06T20:29:56Z,RU,anonymous,headers,True,github_raw,2,45,dbip,unknown,0,unknown,2026-09-06T20:31:41Z,unknown,unknown,,204490,Kontel LLC,Moscow,Moscow,geolite2,unknown,100.0,45,fresh
167.233.169.253:1084,167.233.169.253,1084,http,3832,61,http_probe,2026-09-06T20:17:11Z,AU,anonymous,headers,True,github_raw,19,43,dbip,unknown,0,unknown,2026-09-06T11:14:09Z,unknown,unknown,,136557,Host Universal Pty Ltd,Adelaide,South Australia,geolite2,unknown,100.0,43,fresh
178.253.55.228:80,178.253.55.228,80,http,1385,56,http_fallback,2026-09-06T20:48:47Z,RU,transparent,headers,False,active_scan,1,64,dbip,unknown,0,unknown,2026-09-04T17:35:26Z,unknown,unknown,,203273,NetCrafters OU,Moscow,Moscow,geolite2,unknown,100.0,64,fresh
160.248.7.177:80,160.248.7.177,80,http,46,95,http_fallback,2026-09-06T20:17:11Z,JP,elite,headers,False,api,18,162,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",Matsudo,Chiba,geolite2,unknown,99.998,892,fresh
45.146.163.31:80,45.146.163.31,80,http,51,94,http_fallback,2026-09-06T20:48:47Z,JP,elite,headers,False,api,17,94,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,MB Ziniu Valda,38136,Akari Networks,Tokyo,Tokyo,geolite2,scanner/spam,99.998,911,fresh
8.209.255.13:3128,8.209.255.13,3128,http,57,89,http_fallback,2026-09-06T20:17:11Z,JP,unknown,unknown,False,github_raw,24,45,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",Tokyo,Tokyo,geolite2,unknown,99.998,942,fresh
203.19.38.114:1080,203.19.38.114,1080,http,325,81,http_fallback,2026-09-06T20:17:11Z,HK,elite,headers,False,github_raw,19,162,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,residential,ChinaNet Fujian Province Network,23764,CTGNet,Hong Kong,Hong Kong,ip2proxy,botnet/scanner/spam,99.998,890,fresh
97.74.87.226:80,97.74.87.226,80,http,380,79,http_fallback,2026-09-06T20:48:47Z,SG,elite,headers,False,api,20,145,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,GoDaddy.com LLC,26496,"GoDaddy.com, LLC",Singapore,,geolite2,scanner/spam,99.998,908,fresh
13.212.156.81:8081,13.212.156.81,8081,http,143,78,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,186,fresh
13.212.156.81:3128,13.212.156.81,3128,http,144,78,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,186,fresh
13.212.156.81:80,13.212.156.81,80,http,144,78,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,186,fresh
13.212.156.81:8888,13.212.156.81,8888,http,144,78,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,184,fresh
13.212.156.81:8080,13.212.156.81,8080,http,145,78,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,185,fresh
8.213.151.128:3128,8.213.151.128,3128,http,265,78,http_fallback,2026-09-06T20:23:50Z,KR,unknown,unknown,False,api,25,81,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",Seoul,Seoul,geolite2,unknown,99.998,924,fresh
1.231.81.166:3128,1.231.81.166,3128,http,477,78,http_probe,2026-09-06T20:23:50Z,KR,anonymous,headers,True,api,28,117,dbip,likely_residential,70,ip2proxy_lite,2026-09-05T09:40:34Z,exit,residential,SK Broadband Co Ltd,9318,SK Broadband Co Ltd,Dobong-gu,Seoul,geolite2,scanner/spam,99.998,932,fresh
13.212.156.81:8118,13.212.156.81,8118,http,148,77,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,186,fresh
13.212.156.81:4145,13.212.156.81,4145,http,149,77,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,187,fresh
13.212.156.81:443,13.212.156.81,443,http,149,77,http_fallback,2026-09-06T20:17:11Z,SG,unknown,unknown,False,active_scan,1,79,dbip,unknown,0,unknown,2026-08-31T23:43:44Z,unknown,business,,16509,"Amazon.com, Inc.",Singapore,,geolite2,unknown,99.998,184,fresh
103.95.34.186:3128,103.95.34.186,3128,http,487,77,http_fallback,2026-09-06T20:48:47Z,MY,elite,headers,False,api,17,105,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,9930,"TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah A",Kuala Lumpur,Kuala Lumpur,geolite2,unknown,99.998,813,fresh
40.177.65.8:80,40.177.65.8,80,http,612,76,http_fallback,2026-09-06T20:17:11Z,CA,elite,headers,False,api,6,162,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,Amazon.com Inc.,16509,"Amazon.com, Inc.",Calgary,Alberta,geolite2,none,99.998,884,fresh
167.172.64.190:8080,167.172.64.190,8080,http,209,75,http_fallback,2026-09-06T20:48:47Z,SG,unknown,unknown,False,active_scan,1,101,dbip,unknown,0,unknown,2026-09-03T09:36:19Z,unknown,hosting,,14061,"DigitalOcean, LLC",Singapore,,geolite2,unknown,99.998,104,fresh
103.75.117.248:80,103.75.117.248,80,http,342,75,http_fallback,2026-09-06T20:17:11Z,HK,elite,headers,False,active_scan,1,162,dbip,unknown,0,unknown,2026-08-31T02:38:42Z,unknown,hosting,,133752,LEASEWEB HONG KONG LIMITED,Hong Kong,,geolite2,unknown,99.998,405,fresh
129.226.93.232:80,129.226.93.232,80,http,401,75,http_fallback,2026-09-06T20:29:56Z,SG,unknown,unknown,False,github_raw,14,40,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,Tencent Cloud Computing (Beijing) Co. Ltd.,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,none,99.998,786,fresh
43.160.242.118:3128,43.160.242.118,3128,http,655,75,http_probe,2026-09-06T20:29:56Z,SG,anonymous,headers,True,github_raw,29,59,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Singapore,,geolite2,unknown,99.998,818,fresh
45.38.210.156:80,45.38.210.156,80,http,386,74,http_fallback,2026-09-06T20:48:47Z,SG,elite,headers,False,active_scan,1,142,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,,209604,2e Telekomunikasyon Ltd Sti,Singapore,,geolite2,unknown,99.998,454,fresh
137.220.150.6:80,137.220.150.6,80,http,401,74,http_fallback,2026-09-06T20:48:47Z,SG,elite,headers,False,active_scan,1,142,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,152194,CTG Server Limited,,,unknown,unknown,99.998,539,fresh
153.72.68.0:8080,153.72.68.0,8080,http,559,74,http_fallback,2026-09-06T20:23:50Z,IN,anonymous,headers,False,api,25,157,dbip,unknown,0,unknown,2026-09-05T10:00:58Z,unknown,unknown,,396982,Google LLC,Mumbai,Maharashtra,geolite2,unknown,99.998,911,fresh
219.65.73.81:80,219.65.73.81,80,http,578,74,http_fallback,2026-09-06T20:48:47Z,IN,anonymous,headers,False,api,17,135,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,55836,Reliance Jio Infocomm Limited,Kolkata,West Bengal,geolite2,unknown,99.998,769,fresh
3.10.170.234:3128,3.10.170.234,3128,http,517,73,http_fallback,2026-09-06T20:17:11Z,GB,unknown,unknown,False,api,12,259,dbip,unknown,0,unknown,2026-09-02T12:30:02Z,unknown,business,Amazon Data Services UK,16509,"Amazon.com, Inc.",City of London,England,geolite2,scanner,99.998,329,fresh
219.93.101.62:80,219.93.101.62,80,http,669,73,http_fallback,2026-09-06T20:17:11Z,MY,anonymous,headers,False,github_raw,15,94,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Batu Pahat,Johor,geolite2,unknown,99.998,900,fresh
219.93.101.60:80,219.93.101.60,80,http,688,73,http_fallback,2026-09-06T20:17:11Z,MY,anonymous,headers,False,github_raw,16,46,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Batu Pahat,Johor,geolite2,unknown,99.998,914,fresh
219.93.101.63:80,219.93.101.63,80,http,707,73,http_fallback,2026-09-06T20:17:11Z,MY,anonymous,headers,False,github_raw,16,46,dbip,unknown,0,unknown,2026-09-05T09:17:31Z,unknown,residential,,4788,TM TECHNOLOGY SERVICES SDN. BHD.,Batu Pahat,Johor,geolite2,unknown,99.998,902,fresh
18.216.55.100:80,18.216.55.100,80,http,825,73,http_fallback,2026-09-06T20:17:11Z,US,elite,headers,False,api,11,162,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,16509,"Amazon.com, Inc.",Columbus,Ohio,geolite2,unknown,99.998,891,fresh
14.251.13.20:8080,14.251.13.20,8080,http,836,73,http_probe,2026-09-06T20:23:50Z,VN,anonymous,headers,True,api,27,338,dbip,unknown,0,unknown,2026-08-31T15:04:34Z,unknown,residential,,45899,VNPT Corp,,,unknown,unknown,99.998,388,fresh
8.219.77.141:80,8.219.77.141,80,http,847,73,http_fallback,2026-09-06T20:48:47Z,US,elite,headers,False,api,7,101,dbip,unknown,0,unknown,2026-09-05T10:00:58Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",,,unknown,unknown,99.998,932,fresh
47.85.161.37:3128,47.85.161.37,3128,http,857,73,http_fallback,2026-09-06T20:17:11Z,US,elite,headers,False,github_raw,16,162,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",,,unknown,unknown,99.998,889,fresh
61.158.175.38:9002,61.158.175.38,9002,http,865,73,http_fallback,2026-09-06T20:48:47Z,CN,elite,headers,False,api,19,122,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,Yingpanzxx SCH,4837,CHINA UNICOM China169 Backbone,Zhengzhou,Henan,ip2proxy,botnet/scanner/spam,99.998,901,fresh
