proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
54.238.38.227:8080,54.238.38.227,8080,socks4,70,88,socks4_fallback,2026-09-15T23:04:08Z,JP,unknown,unknown,False,api,6,133,dbip,unknown,0,unknown,2026-09-11T10:12:24Z,unknown,business,Amazon Data Services Japan,16509,"Amazon.com, Inc.",Tokyo,Tokyo,geolite2,none,99.998,152,fresh
103.149.75.82:1080,103.149.75.82,1080,socks4,940,74,socks4_probe,2026-09-15T23:04:08Z,BD,elite,protocol,True,api,11,47,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Amader Net,63969,Race Online Limited,Dhaka,Dhaka,ip2proxy,scanner/spam,99.998,1156,fresh
216.105.130.131:4145,216.105.130.131,4145,socks4,821,73,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,api,11,89,dbip,unknown,0,unknown,2026-09-11T06:59:34Z,unknown,hosting,Net2Atlanta.com LLC,20081,NET2ATLANTA.COM LLC,Simpsonville,South Carolina,geolite2,none,99.998,349,fresh
3.10.170.234:3128,3.10.170.234,3128,socks4,699,71,socks4_fallback,2026-09-15T23:04:08Z,GB,unknown,unknown,False,api,6,201,dbip,unknown,0,unknown,2026-09-09T12:30:16Z,unknown,business,Amazon Data Services UK,16509,"Amazon.com, Inc.",City of London,England,geolite2,scanner,99.998,592,fresh
199.66.183.226:4145,199.66.183.226,4145,socks4,1143,71,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,github_raw,12,89,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Net2Atlanta.com LLC,20081,NET2ATLANTA.COM LLC,Hampton,Georgia,geolite2,scanner/spam,99.998,1184,fresh
216.105.143.146:4145,216.105.143.146,4145,socks4,1143,71,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,github_raw,11,89,dbip,unknown,0,unknown,2026-09-10T07:08:16Z,unknown,hosting,Net2Atlanta.com LLC,20081,NET2ATLANTA.COM LLC,Simpsonville,South Carolina,geolite2,none,99.998,385,fresh
199.66.183.251:4145,199.66.183.251,4145,socks4,1154,71,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,github_raw,12,89,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Net2Atlanta.com LLC,20081,NET2ATLANTA.COM LLC,Hampton,Georgia,geolite2,scanner/spam,99.998,1187,fresh
199.66.182.232:4145,199.66.182.232,4145,socks4,1162,71,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,github_raw,11,89,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Net2Atlanta.com LLC,20081,NET2ATLANTA.COM LLC,Hampton,Georgia,geolite2,scanner/spam,99.998,761,fresh
199.66.182.243:4145,199.66.182.243,4145,socks4,1170,71,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,github_raw,12,89,dbip,unknown,0,unknown,2026-09-12T09:56:32Z,unknown,hosting,Net2Atlanta.com LLC,20081,NET2ATLANTA.COM LLC,Hampton,Georgia,geolite2,spam,99.998,1199,fresh
184.182.240.211:4145,184.182.240.211,4145,socks4,1397,69,socks4_fallback,2026-09-15T23:04:08Z,US,elite,protocol,False,api,10,497,dbip,likely_residential,70,ip2proxy_lite,2026-09-12T09:56:32Z,exit,residential,Cox Communications LLC,22773,Cox Communications Inc.,San Diego,California,ip2proxy,scanner/spam,99.998,1163,fresh
