proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,freshnessTier
103.75.118.84:1080,103.75.118.84,1080,socks5,46,95,socks5,2026-07-12T06:35:59Z,JP,elite,False,api,12,24,dbip,unknown,0,unknown,2026-07-12T02:11:49Z,unknown,fresh
139.162.78.109:1080,139.162.78.109,1080,socks5,5,92,socks5,2026-07-12T07:13:34Z,JP,unknown,False,github_raw,2,4,dbip,unknown,0,unknown,2026-07-12T06:18:10Z,unknown,fresh
47.245.62.151:20000,47.245.62.151,20000,socks5,13,89,socks5,2026-07-12T06:43:47Z,JP,elite,False,github_raw,1,2,dbip,unknown,0,unknown,,unknown,fresh
43.206.240.252:12109,43.206.240.252,12109,socks5,9,88,socks5,2026-07-12T07:13:34Z,JP,unknown,False,github_raw,1,3,dbip,unknown,0,unknown,2026-07-12T06:18:10Z,unknown,fresh
43.207.141.180:53641,43.207.141.180,53641,socks5,9,88,socks5,2026-07-12T07:13:34Z,JP,unknown,False,github_raw,1,3,dbip,unknown,0,unknown,2026-07-12T06:18:10Z,unknown,fresh
43.207.132.28:27106,43.207.132.28,27106,socks5,10,88,socks5,2026-07-12T07:13:34Z,JP,unknown,False,github_raw,1,3,dbip,unknown,0,unknown,2026-07-12T06:18:10Z,unknown,fresh
35.78.252.142:30619,35.78.252.142,30619,socks5,15,86,socks5,2026-07-12T07:13:25Z,JP,unknown,False,github_raw,1,3,dbip,unknown,0,unknown,2026-07-12T02:11:49Z,unknown,fresh
43.161.217.219:1080,43.161.217.219,1080,socks5,154,86,socks5,2026-07-12T06:35:59Z,HK,elite,False,api,13,33,dbip,unknown,0,unknown,2026-07-12T02:11:49Z,unknown,fresh
119.28.234.212:1080,119.28.234.212,1080,socks5,155,86,socks5,2026-07-12T06:43:32Z,KR,elite,False,api,14,17,dbip,unknown,0,unknown,2026-07-12T02:11:49Z,unknown,fresh
119.28.13.138:1080,119.28.13.138,1080,socks5,159,86,socks5,2026-07-12T06:43:32Z,HK,elite,False,api,14,17,dbip,unknown,0,unknown,2026-07-12T02:11:49Z,unknown,fresh
140.245.99.105:7890,140.245.99.105,7890,socks5,206,84,socks5,2026-07-12T06:43:34Z,SG,elite,False,api,24,10,dbip,unknown,0,unknown,2026-07-12T02:11:49Z,unknown,fresh
