proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,https,103,91,https_connect_probe,2026-09-26T18:24:03Z,JP,elite,protocol,True,github_raw,25,2068,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1495,recent
140.227.61.201:3128,140.227.61.201,3128,http,97,89,http_probe,2026-09-26T18:24:02Z,JP,anonymous,headers,True,github_raw,25,1693,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1478,recent
213.188.192.1:80,213.188.192.1,80,http,39,83,http_fallback,2026-09-26T18:24:02Z,JP,transparent,headers,False,active_scan,1,268,dbip,unknown,0,unknown,2026-09-24T12:27:51Z,unknown,hosting,,30081,CacheFly,Tokyo,Tokyo,geolite2,unknown,100.0,268,recent
66.112.208.147:80,66.112.208.147,80,http,231,74,http_fallback,2026-09-26T18:24:02Z,US,unknown,unknown,False,active_scan,1,66,dbip,unknown,0,unknown,2026-09-24T13:31:12Z,unknown,hosting,,25820,IT7 Networks Inc,Los Angeles,California,geolite2,unknown,100.0,66,recent
154.17.10.75:80,154.17.10.75,80,http,271,73,http_fallback,2026-09-26T18:24:02Z,US,unknown,unknown,False,active_scan,1,172,dbip,unknown,0,unknown,2026-09-20T20:03:01Z,unknown,unknown,,906,DMIT Cloud Services,Los Angeles,California,geolite2,unknown,100.0,172,recent
140.245.38.123:80,140.245.38.123,80,http,444,73,http_fallback,2026-09-26T18:24:02Z,SG,elite,headers,False,active_scan,1,47,dbip,unknown,0,unknown,2026-09-25T05:19:29Z,unknown,hosting,,31898,Oracle Corporation,Singapore,,geolite2,unknown,100.0,47,recent
107.174.242.71:80,107.174.242.71,80,http,305,72,http_fallback,2026-09-26T18:24:02Z,US,unknown,unknown,False,active_scan,1,291,dbip,unknown,0,unknown,2026-09-23T16:35:26Z,unknown,unknown,,36352,HostPapa,Seattle,Washington,geolite2,unknown,100.0,291,recent
43.173.120.13:8899,43.173.120.13,8899,https,958,72,https_connect_probe,2026-09-26T18:24:03Z,US,elite,protocol,True,github_raw,4,75,dbip,unknown,0,unknown,2026-09-24T05:34:57Z,unknown,hosting,,132203,"Tencent Building, Kejizhongyi Avenue",Santa Clara,California,geolite2,unknown,100.0,75,recent
104.36.71.248:80,104.36.71.248,80,http,605,71,http_fallback,2026-09-26T18:24:02Z,US,elite,headers,False,active_scan,1,305,dbip,unknown,0,unknown,2026-09-23T04:44:08Z,unknown,hosting,,25820,IT7 Networks Inc,Los Angeles,California,geolite2,unknown,100.0,305,recent
129.151.240.183:1080,129.151.240.183,1080,socks4,1512,71,socks4_probe,2026-09-26T18:30:26Z,FR,elite,protocol,True,api,10,78,dbip,unknown,0,unknown,2026-09-24T03:06:30Z,unknown,hosting,,31898,Oracle Corporation,Marseille,Provence-Alpes-Côte d'Azur,geolite2,unknown,100.0,78,recent
